status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"Zia Later Junk and Trash Removal","8316 Mesa Top Rd NW, Albuquerque, NM 87120",https://ziajunk.com/,5052259187,,5,98,,,,,,,1100,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/zialaterjunkandtrashremoval/,https://twitter.com/ziajunkremoval,,https://www.youtube.com/channel/UCY95udzknygXmgLDNhMj4dA,,"Junk removal service in Albuquerque, New Mexico",google-places,1,0,0,295212053
,"Whole Lotta Junk Services","Bernalillo, NM 87004",https://www.wholelottajunkservices.com,5059916341,,,,5,7,,,69,,78,1,1,0,0,0,0,0,0,1,0,https://facebook.com/WholeLottaJunkServicesLLC,,,,http://instagram.com/wholelottajunkservicesllc/,,yelp,1,0,0,96082933
New,"United Tree Service & Landscape","Serving theAlbuquerque Area",https://www.unitedtreeandland.com,5054143271,eliu.m@hotmail.com,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree Service,Arborists",yellowpages,1,0,0,561890994
,"TruGreen Lawn Care","8621 San Mateo Blvd NE, Albuquerque, NM 87113",https://www.trugreen.com/local-lawn-care/new-mexico/albuquerque/?utm_source=gmb_yext&utm_medium=organic&y_source=1_MTUzOTUxOTctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,5058212361,customercare@trugreenmail.com,3.9,211,,,,,453082,,454000,1,1,1,1,0,0,0,1,1,0,https://www.facebook.com/trugreen,"//www.twitter.com/intent/tweet?url=https%3A%2F%2Fwww.trugreen.com%2Fabout%2Fprivacy-policy&text=TruGreen Privacy Policy",,https://www.youtube.com/trugreen,https://www.instagram.com/trugreen_lawn/,"Lawn care service in Albuquerque, New Mexico",google-places,1,0,0,8556739
,"Trillanes Landscaping","Albuquerque, NM 87109",https://www.trillaneslandscaping.com,5055513169,trillaneslandscaping@gmail.com,,,4.5,10,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/profile.php?id=100080218534547,,,,,Landscaping,yelp,1,0,0,96082733
,"Trees R’ Us","Albuquerque, NM 87114",https://www.treesrusnm.com,5052201855,davila.eric86@gmail.com,5,7,4.4,7,,,,,,1,0,0,0,0,0,0,0,1,0,,,,,,"Tree Services,Landscaping",yelp,1,0,0,96084097
,"Trees of Corrales Ltd","7752 Corrales Rd, Corrales, NM 87048",https://www.treesofcorrales.com,5058982327,andrew@treesofcorrales.com,5,3,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/pages/Love-Son-Nursery/142450199156769,,,,,"Tree Service,Nursery-Wholesale & Growers,Garden Centers",yellowpages,1,0,0,96081091
,"Kloeppel's Tree Service","Serving theAlbuquerque Area",https://www.treeservicefortworth.org/,5058043728,,4.5,43,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/TreeServiceFortWorth/,https://twitter.com/TreesFortWorth,,https://www.youtube.com/channel/UC8VXjAkCEK8WnqMBMMfM1fA?view_as=subscriber,,"Tree Service",yellowpages,1,0,0,96081130
,"ABQ Tree Removal","9100 2nd St NW Albuquerque, NM 87114",https://www.treeremoval-albuquerque.com,5053571299,support@tcpacompliance.co,,,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree Services",yelp,1,0,0,96081466
,"Tree Experts","Los Lunan, Lunan, NM 87031",https://www.treeexpertsnm.com,5058611883,sandragallucci@msn.com,4.8,19,5,2,,,3,,5,1,1,0,0,0,0,0,1,1,0,https://facebook.com/tree-experts-llc-109410831203498,,,,,"Tree Services",yelp,1,0,0,96081685
