status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"Yard Dogs Tree Works","Hampton, GA 30228",https://yarddogstreeworks.square.site,7624359079,hi@mystore.com,,,5,1,,,,,,1,0,0,0,0,0,0,0,1,0,,,,,,"Tree Services",yelp,1,0,0,96088792
,"YS Tree Service","Woodstock, GA 30188",https://www.ystreeservicellc.com,7705682950,ystreeservice@outlook.com,4.9,143,5,15,,,508,,527,1,1,0,0,0,0,0,0,1,0,https://facebook.com/YsTreeService,,,,,"Tree Services",yelp,1,0,0,96089798
,"William Word Tree, LLC","3704 Peachtree Park Dr NE, Atlanta, GA 30309",http://williamwordtreellc.com,6789138733,billyword@me.com,5,6,,,,,,,,1,0,0,0,0,0,0,0,1,0,https://facebook.com/#,,,,,"Tree service",google,1,0,0,7113547
,"William Word Tree, Llc","3704 Peachtree Park Dr NE, Atlanta, Ga 30309",https://treexpertatlanta.com/,6788722122,info@treexpertatlanta.com,5,6,,,,,,,,0,0,0,0,0,0,0,1,1,1,https://www.facebook.com/treexpertatl/,https://twitter.com/tree_xpert,,https://www.youtube.com/user/TreeXpertsAtlanta,,"Tree services",bing,1,0,0,96092047
,"Monster Tree Service of North Atlanta","4020 Ridgehurst Dr SE, Smyrna, GA 30080",https://www.whymonster.com/our-locations,7707660601,josh@whymonster.com,,,,,,,,,,1,1,1,0,0,0,0,1,1,0,facebook.net/en_US/fbevents.js,,https://www.linkedin.com/company/monster-tree-service-of-bridgewater,,https://www.instagram.com/monstertreeservices/,"Tree Service",yellowpages,1,0,0,96087667
,"VMG Tree Care","282 Renae Ln SW Marietta, GA 30060",https://www.vmgtreecare.com,4044566794,contact@vmgtreecare.com,,,5,1,4.7,22,,,66,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/vmgtreecare,,,,,"Tree Services",yelp,1,0,0,96090556
,"Uriel Tree Service","6801 Cochran Rd, Austell, GA 30168",https://www.urieltreetrimservice.com/,4042472980,ujuarez2980@gmail.com,5,11,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/profile.php?id=100071848743850,,,,,"Tree service in Cobb County, Georgia",google-places,1,0,0,442316307
,"TruGreen Lawn Care","1910 Brannan Dr, Stockbridge, GA 30281",https://www.trugreen.com/local-lawn-care/georgia/mcdonough/?utm_source=gmb_yext&utm_medium=organic&y_source=1_MTUzOTUyMDMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,7702842000,customercare@trugreenmail.com,4.3,651,,,,,451653,,453000,1,1,1,1,0,0,0,1,1,0,https://www.facebook.com/trugreen,"//www.twitter.com/intent/tweet?url=https%3A%2F%2Fwww.trugreen.com%2Fabout%2Fprivacy-policy&text=TruGreen Privacy Policy",,https://www.youtube.com/trugreen,https://www.instagram.com/trugreen_lawn/,"Tree Service,Lawn Maintenance,Landscaping & Lawn Services",yellowpages,1,0,0,127749186
,TreeWise,"Norcross, GA 30092",https://www.treewise.biz,7709054335,treewisemail@gmail.com,5,37,5,8,,,135,,139,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/treewisega/,,,,https://www.instagram.com/p/CgUS6QXFKD7/,"Tree Services",yelp,1,0,0,96088402
,"Tree Surgeon Atlanta","Buford, GA 30519",https://www.treesurgeonatlanta.com,4706605580,treesurgeonatlanta@gmail.com,4.9,70,5,4,,,125,,,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/treesurgeonatlanta,,,,https://www.instagram.com/treesurgeonatlanta/,"Tree Services",yelp,1,0,0,96088788
,"All In Tree Service of Smyrna","4500 W Village Pl Ste 2015 Smyrna, GA 30080",https://www.treeservicesmyrna.com,6786582550,,5,5,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/Tree-Service-Smyrna-108334871311704,,,,,"Tree Services,Excavation Services",yelp,1,0,0,96090424
,"All In Tree Service of Mableton","907 Wandering Vine Dr SE, Mableton, GA 30126",https://www.treeservicemableton.com,6786582455,,5,15,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree Service",yellowpages,1,0,0,127084808
,"Omar & Brothers Tree Service","6409 Boyett Dr, Norcross, GA 30093",https://www.treesbyomar.com/,6784784445,,4.6,138,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Tree Service",yellowpages,1,0,0,242885336
,"Trees Atlanta","825 Warner St SW Suite A, Atlanta, GA 30310",http://treesatlanta.org,4045224097,info@treesatlanta.org,4.8,79,,,,,17867,3623,19000,1,1,0,0,0,0,0,1,1,1,https://facebook.com/treesatlanta,https://twitter.com/treesatlanta,https://www.linkedin.com/company/treesatlanta,http://www.youtube.com/user/treesatlanta,https://instagram.com/treesatlanta,"Non-profit organization",google,1,0,0,115228808
,"VR Contracting Services - Tree Service College Park GA","3945 Pittman Rd SW, College Park, GA 30349",http://treesatl.com,4046180010,,5,3,,,,,,,22,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/pages/VR-Contracting-Tree-Service/454759534665727,https://twitter.com/treesatl,,http://www.youtube.com/watch?v=cy-RLevyo_8,,"Tree service",google,1,0,0,7113721
,"Tree Removal Service Atlanta","3620 Piedmont Rd NE Ste B 5141, Atlanta, GA 30305",https://www.treeremovalserviceatlanta.com,4049204820,pw-5043a2678d18e10b466087560fdae2e1@privacyguardian.org,,,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Tree Service",yellowpages,1,0,0,127084768
,"TreeDog Atlanta Services","334 N Clarendon Ave, Scottdale, GA 30079",https://www.treedogatl.com,6788006848,info@treedogatl.com,5,150,,,,,,,,1,1,1,0,0,0,0,1,1,0,,,,,,"Tree Service",yellowpages,1,0,0,127085192
,"Timberline Expert Tree Service","4196 Buford HWY, Duluth, GA 30096",https://www.timberlineexperttree.com,7703759296,timberlineexperttree@yahoo.com,5,3,4.2,20,,,180,2,486,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/pg/timberlineexperttree/reviews/?ref=page_internal,,,,,"Tree Services",yelp,1,0,0,96088235
,"The Real Tree Service","3355 Lenox Rd NE, Atlanta, GA 30326",http://therealtreeservice.com,4702605771,therealtreeco@gmail.com,5,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree service",google,1,0,0,8560329
,"Terreces At Peach Tree","1 Biscayne Dr NW, Atlanta, GA 30309",https://www.terracesatpeachtree.com/contact.php,4043514815,board@terracesatpeachtree.com,4.6,15,,,,,,,,1,0,0,0,0,0,0,1,0,0,,,,,,"Tree Service",yellowpages,1,0,0,127084850
,"Teran Tree Experts","7210 Selkirk Dr NE, Atlanta, GA 30328",http://terantreeexperts.com,6788868896,terantreeexperts@gmail.com,4.9,61,,,,,365,6,389,1,1,0,0,0,0,0,0,1,0,https://facebook.com/terantreeexperts,,,,https://www.instagram.com/terantree/?igsh=MTZwZmpzbXVrZXQ1NA%3D%3D#,"Tree service",google,1,0,0,7113718
,"Superior Scapes Landscaping","3067 River Oak Rd, Decatur, GA 30034",https://www.superiorscapes.com,4048498304,superiorscapesinc@gmail.com,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,http://www.facebook.com/2008/fbml,,https://www.linkedin.com/company/superior-scapes,,,"Tree Service,Landscape Contractors,Landscaping & Lawn Services",yellowpages,1,0,0,411204789
,"Steve’s Tree Service & Landscape","Atlanta, GA 30303",https://www.stevestreeinc.com,7704745565,,4.3,6,4.2,38,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree Services,Landscaping",yelp,1,0,0,95485490
,"Southwest Tree Professionals","2497 Fairfield Ct SW, Marietta, GA 30064",https://www.southwesttreeprofessionals.com,4705143112,southwesttreepros@gmail.com,,,,,,,,,,1,0,0,0,0,0,0,1,1,0,https://www.facebook.com/profile.php?id=61557488291288&amp,,,,https://www.instagram.com/southwest_tree/,"Tree Service",yellowpages,1,0,0,374818728
,"Southern Tree Pros","2743 Orchard Knob Dr, Atlanta, GA 30339",http://southerntreepros.com,7708411684,ben@southerntreepros.com,4.8,188,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://connect.facebook.net/en_US/fbevents.js,,https://www.linkedin.com/company/southerntreeprofessionals,,https://www.instagram.com/southerntreepros/?hl=en,"Tree service",google,1,0,0,7113443
,"Southern Tree Pros","2743 Orchard Knob Dr, Atlanta, GA 30339",https://www.southerntreepros.com/,7708411684,southerntreepros@gmail.com,,,,,,,289,,,1,1,0,0,0,0,0,1,1,1,https://connect.facebook.net/en_US/fbevents.js,,https://www.linkedin.com/company/southerntreeprofessionals,,https://www.instagram.com/southerntreepros/?hl=en,"Tree service in Vinings, Georgia",google-places,1,0,0,34826488
,SoutheastTree.com,"4710 Lower Roswell Rd, Marietta, GA 30068",http://southeasttree.com,7709778733,info@southeasttree.com,4.9,214,,,,,1,,1,1,1,1,0,0,0,0,1,1,1,https://connect.facebook.net/en_US/fbevents.js,https://twitter.com/southeasttree,,https://www.youtube.com/channel/UC3IVWVN5otzoz4v7n-rIXxw,https://www.instagram.com/southeasttree/,"Tree service",google,1,0,0,7113739
,"Solis Tree Service","Suwanee, GA 30024",https://www.solistreeservicesllc.com,4705898619,solistreega@gmail.com,5,18,4.9,9,,,,,,0,1,0,0,0,0,0,1,1,0,,,,,,"Tree Services",yelp,1,0,0,96089799
,"Solgreen Solutions","Snellville, GA 30078",https://www.solgreensol.com,6784576908,info@solgreensol.com,5,7,,,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,http://www.instagram.com/solgreensol/,"Landscaping,Tree Services,Landscape Architects or Designers",yelp,1,0,0,92339157
,"Simply Green Lawn and Tree Shrub","1323 Turner Rd SW, Lilburn, GA 30047",https://www.simplygreenlawncare.com/contact-us,7709230387,mthompson@simplygreenlawncare.com,4.7,313,,,,,459,,,1,1,1,0,0,0,0,1,1,1,https://connect.facebook.net/en_US/fbevents.js,,https://www.linkedin.com/company/simply-green-lawn-care,,https://www.instagram.com/SimplyGreenLawnCare/,"Tree Service,Gardeners,Weed Control Service",yellowpages,1,0,0,109164048
,"SavATree - Tree Service & Lawn Care","585 Langford Ln, Norcross, GA 30071",https://www.savatree.com/georgia-tree-service-lawn-care.html,4042888733,mgalvin@savatree.com,,,,,,,,,,1,1,1,0,0,0,0,0,1,0,https://www.facebook.com/SavATreeHQ/,,https://www.linkedin.com/company/savatree/,https://www.youtube.com/user/naturestrees,https://www.instagram.com/savatree_official/,"Tree Service",yellowpages,1,0,0,540647059
,"SavATree Norcross","Norcross, GA 30071",https://www.savatree.com/georgia-tree-service-lawn-care,4042888733,experts@savatree.com,4.6,262,3.4,33,,,3835,99,4300,1,1,0,0,0,0,0,1,1,1,https://connect.facebook.net/en_US/fbevents.js,https://twitter.com/savatree,https://www.linkedin.com/company/savatree,https://www.youtube.com/user/naturestrees,https://www.instagram.com/savatree_official/,"Tree Services",yelp,1,0,0,96089158
,Saddletree,"Serving theAtlanta Area",https://www.saddletreeatl.com,4042249646,,5,27,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,https://instagram.com/saddletree_atl,"Tree Service",yellowpages,1,0,0,127084941
,"Southern Scapes Tree Experts","211 Stewart Rd Sharpsburg, GA 30277",https://www.S2Tree.com,7702535883,jeremy@s2tree.com,4.9,123,3.9,10,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Tree Services,Firewood",yelp,1,0,0,96090038
,"Rubber Boots Lawn Care Service","Fayetteville, GA 30215",https://www.rubberbootslawncareservice.com,6783334522,info@rubberbootslawncareservice.com,,,3.9,8,,,,,17,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/Rubber-Boots-Lawn-Care-Service-102072315681951,,,https://www.youtube.com/channel/UCB6vtXEGC8SwVAcJalKrcAA,https://www.instagram.com/rubberbootslawncareservice/,"Lawn Services,Tree Services,Pressure Washers",yelp,1,0,0,95485484
,"Richmond Tree Experts","1715 Nekoma St, Marietta, GA 30068",https://www.richmondtree.com,4709459473,richmondtreega@gmail.com,4.6,20,4.3,9,,,,,,1,1,1,0,0,0,0,1,1,1,https://connect.facebook.net/en_US/fbevents.js?v=next,,https://www.linkedin.com/company/richmond-tree-experts-ga,,https://www.instagram.com/richmondtreega/,"Landscaping,Tree Services,Damage Restoration",yelp,1,0,0,96088410
