status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"Yards Apart Landscaping & Tree Services","Austin, TX 78729",https://yardsapartatx.com,5129702858,yardsapart@yahoo.com,4.5,8,,,,,,,52,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/YardsApart/,,,,,"Tree Service,Landscape Designers & Consultants,Landscaping & Lawn Services",yellowpages,1,0,0,542083394
,"We Love Trees","5701 W Slaughter Ln, Austin, TX 78749",https://www.welovetreestx.com/contact,5124227234,info@welovetreestx.com,4.9,76,,,,,21,,27,1,1,1,1,0,0,0,1,1,1,https://www.facebook.com/We-Love-Trees-TX-102104212587728,https://twitter.com/welovetreestx,https://www.linkedin.com/shareArticle?mini=true&url=https://www.welovetreestx.com/arborist-services-near-me-how-to-choose-the-best-tree-experts-in-wimberley/&title=Arborist%20Services%20Near%20Me%20%26%238211%3B%20How%20to%20Choose%20the%20Best%20Tree%20E,,,"Tree Service,Landscape Designers & Consultants,Landscape Contractors",yellowpages,1,0,0,107241657
,"Viridian Tree Care","Georgetown, TX 78633",https://www.viridiantreecare.com,5129021976,viridiantreecare@yahoo.com,,,5,32,,,,,,1,1,0,0,0,0,0,1,1,0,,,https://www.linkedin.com/company/wix-com,,,"Tree Services",yelp,1,0,0,95529500
,"Veterans Arbor Tech","900 E Bowman Rd Round Rock, TX 78664",https://www.veteransarbortech.com,5125022977,,5,4,5,7,,,,,,0,1,0,0,0,0,0,1,1,0,,,,,,"Tree Services",yelp,1,0,0,95530232
,"Tree Service Austin","3201 Bee Cave Rd Ste 163961, Austin, TX 78716",https://www.treeserviceaustintx.net/,5124002746,,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,,bing,1,0,0,95538295
,"Tree Patrol Service","Serving theAustin Area",https://www.treepatrolservices.com,5122946940,,5,8,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree Service",yellowpages,1,0,0,95536600
,"Tree Green Services","10101 Brownie Dr, Austin, TX 78753",http://treegreenservices.com,5128034144,amadorgarcia64@gmail.com,5,3,,,,,,,,1,1,0,0,0,0,0,0,1,0,http://www.facebook.com/2008/fbml,,,,,"Tree service",google,1,0,0,28967546
,"Tree Service & Consulting LLC","3218 Gonzales St, Austin, TX 78702",http://treeconsulting.us,5124170400,scheduling@treeconsulting.us,5,42,,,,,,,44,1,1,0,0,0,0,0,1,1,0,https://m.facebook.com/people/Tree-Service-Consulting-LLC/100086435025725/,,,,https://www.instagram.com/treeconsultingllc/?next=%2Fp%2FCNIXnsinCZ4%2F&hl=zh-cn,"Tree service",google,1,0,0,28967265
,"Texas Tree Pros","Austin, TX 78701",https://www.texastreepros.net,7372224824,info@texastreepros.net,,,4,4,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree Services",yelp,1,0,0,95530073
,"Texas Tree Experts","1015 Quail Rd, Manchaca, TX 78652",https://www.texastreeexperts.com/,5129813439,texastreeexperts@gmail.com,5,105,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/p/Texas-Tree-Experts-LLC-100068232493715/,,,,,"Tree service in Hays County, Texas",google-places,1,0,0,28965090
,"Texas Rain Irrigation","Austin, TX 78724",https://www.texasrainirrigation.com,5127518825,customerservice@texasrainirrigation.com,5,2,,,,,,,12,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/txrainirrigation,,https://www.linkedin.com/company/texasrainirrigation/,,https://www.instagram.com/txrainirrigation,"Tree Service,Irrigation Consultants,Sod & Sodding Service",yellowpages,1,0,0,105028855
,"Texas Lawn Pride","Round Rock, TX 78664",https://www.texaslawnpride.com,5125453790,texaslawnpride@yahoo.com,5,9,5,15,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Lawn Services,Tree Services",yelp,1,0,0,95529926
,"Ted's Trees Ltd","1118 Tillery St, Austin, TX 78702",https://www.tedstrees.com,5127746750,tedstrees@aol.com,3.5,44,,,,,,,,1,1,0,0,0,0,0,1,1,0,http://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.tedstrees.com,,,,,"Tree Service,Irrigation Systems & Equipment,Sprinklers-Garden & Lawn",yellowpages,1,0,0,557681537
,"Sullivan's Landscaping & Lawn Service","Serving theAustin Area",https://www.sullivanslandscapingservice.com,5125994565,customerservice@sullivanslandscapingservice.com,,,,,,,563,20,653,1,1,1,1,0,0,0,1,1,1,https://www.facebook.com/sullivanslandscapingservice/,,,,,"Tree Service,Landscaping & Lawn Services,Landscape Contractors",yellowpages,1,0,0,542083490
,"Sophora Outdoors","Serving theAustin Area",https://www.sophoraoutdoors.com,5122286108,info@sophoraoutdoors.com,,,,,,,,,,1,1,1,0,0,0,0,1,1,0,https://www.facebook.com/SophoraLawnCare01/,,,https://www.youtube.com/channel/UCREhP1tKAwT6egZfZhtVYcA/,https://www.instagram.com/sophoraoutdoorsaustin/,"Landscape Contractors,Landscape Designers & Consultants,Patio Builders",yellowpages,1,0,0,504500921
,SavATree,"2113 Boricco Ln, Austin, TX 78728",http://savatree.com,5129739090,experts@savatree.com,5,98,,,,,4205,106,4800,1,1,1,0,0,0,0,0,1,0,https://www.facebook.com/SavATreeHQ/,,https://www.linkedin.com/company/savatree/,https://www.youtube.com/user/naturestrees,https://www.instagram.com/savatree_official/,"Tree service",google,1,0,0,249259433
,SavATree,"2113 Boricco Ln, Austin, TX 78728",https://www.savatree.com/locations/austin-texas/?utm_source=GMB&utm_medium=organic&utm_campaign=austin,5129739090,mgalvin@savatree.com,5,98,,,,,,,,1,1,1,0,0,0,0,0,1,0,https://www.facebook.com/SavATreeHQ/,,https://www.linkedin.com/company/savatree/,https://www.youtube.com/user/naturestrees,https://www.instagram.com/savatree_official/,"Tree service in Austin, Texas",google-places,1,0,0,249743450
,SavATree,"11612 Brandon Parke Trl, Austin, TX 78750",https://www.savatree.com,5129739090,sjensen@savatree.com,,,,,,,,,,1,1,1,0,0,0,0,0,1,0,https://www.facebook.com/SavATreeHQ/,,https://www.linkedin.com/company/savatree/,https://www.youtube.com/user/naturestrees,https://www.instagram.com/savatree_official/,"Tree Service",yellowpages,1,0,0,457840683
,"Ramos Tree Services","169 Black Jack Ln, Bastrop, TX 78602",https://www.ramostreeservicesaustin.com,5129889140,ramostreesvc@gmail.com,4.7,246,4.2,13,4.7,38,3209,8,,0,0,0,0,0,0,0,1,1,1,https://www.facebook.com/Ramostreeservices,,,,https://instagram.com/ramos_tree_services_llc?igshid=YmMyMTA2M2Y=,"Tree Services",yelp,1,0,0,95530503
,"Prados Tree Service","110 Seneca Lp Kyle, TX 78640",https://www.pradostreeservice.com,5122941612,,,,5,5,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree Services",yelp,1,0,0,95530507
,"Pierce Land Clearing","Austin, TX 78704",https://www.piercelandclearing.com,2549984468,support@piercelandclearing.com,4.8,160,3,2,4.8,34,2577,,2900,1,1,1,0,0,0,0,1,1,0,https://www.facebook.com/piercelandclearing/,,,https://www.youtube.com/watch?v=Xpn6kGEulm8,,"Tree Services,Excavation Services",yelp,1,0,0,95532456
,"Phillips Trio Tree Service","3421 Couch Dr, Pflugerville, TX 78860",https://www.phillipstrio.com,5128098904,strioatx@gmail.com,4.9,25,5,50,,,,,38,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/phillipstriolawncare/,,,,,"Tree Services",yelp,1,0,0,95529212
,"Patton Works Tree Service","9901 Brodie Ln, Austin, TX 78748",https://www.pattonworkstreeservice.com?utm_source=elite&utm_medium=url&utm_campaign=website_url,2143935512,pattonworkstreeservice@tradys.com,,,,,,,,,,1,0,1,0,0,0,0,0,1,0,,,,,,"Tree Service",yellowpages,1,0,0,95533842
,"Outdoor Appeal","Austin, TX 78753",https://www.oappeal.com,7378430387,outdoorappeal21@gmail.com,,,4.6,42,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Pressure Washers,Landscaping,Irrigation",yelp,1,0,0,94324852
,"Monster Tree Service of Greater Austin","Austin, TX 78731",https://www.monstertreeservice.com/greater-austin/,5126415638,privacyofficer@authoritybrands.co,5,28,,,,,47,,,1,1,1,0,0,0,0,1,1,0,facebook.net/en_US/fbevents.js,,,,https://www.instagram.com/Monster.Tree.Service.ATX/,"Tree Services",yelp,1,0,0,95530367
,"American Tree Service","7631 US-290 #318, Austin, TX 78736",https://www.mcjtreeservicellc.com/,,info@mcjtreeservicellc.com,,,,,,,,,,1,0,0,0,0,0,0,1,1,1,https://www.facebook.com/MCJTreeService,,,,https://www.instagram.com/mcjtreeservice/profilecard/?igsh=MWRpejBkMzVrbjJ5Mw==,,google-places,1,0,0,34825919
,"MCJ Tree Service","Austin, TX 68754",https://www.mcjtreeservice.com,5129152499,info@mcjtreeservice.com,5,14,5,2,,,54,,60,1,1,0,1,0,0,0,0,1,0,https://www.facebook.com/people/MCJ-TREE/100080207117712/,,,,,"Tree Services",yelp,1,0,0,95529256
,"Maven Landscape Services","8524 Peaceful Hill Ln, Austin, TX 78748",https://www.mavenlandscapes.com,5122633669,info@mavenlandscapes.com,4.5,21,,,,,,,,1,1,1,0,0,0,0,1,1,0,https://www.facebook.com/MavenLandscapeServices,,https://www.linkedin.com/company/maven-landscapes/,,https://www.instagram.com/mavenlandscapes/,"Tree Service,Landscape Designers & Consultants,Gardeners",yellowpages,1,0,0,106616927
,"Liberty Tree Service","1403 Normeadows Cir, Round Rock, TX 78681",http://libertytreesservice.com,7377034886,liberty@libertytreesservice.com,5,77,,,,,30,,36,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/libertytreesservice/,,,https://www.youtube.com/@libertytreesservice/videos,,"Tree service",google,1,0,0,249261982
,"Leander Tree Service","Leander, TX 78641",https://www.leandertreeservice.com,7372141070,e39d374abb3245799b917903286f1a07.protect@withheldforprivacy.com,,,5,1,,,247,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/leandertreeservice/,,,https://www.youtube.com/channel/UCtWnGY4bATJXRLASOQuyzaA,https://www.instagram.com/leandertreeservice/,"Tree Services",yelp,1,0,0,95532350
,"Leaf Tree Services","1510 Sam Bass Rd Round Rock, TX 78681",https://www.leaftreeservicesatx.com,5126706766,info@leaftreeservicesatx.com,5,25,4.6,11,,,164,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/leaftreeservicesatx/,,,,,"Tree Services",yelp,0,0,0,95531979
New,"Leaf Tree Services","1510 Sam Bass Rd, Round Rock, TX 78681",https://www.leaftreeservicesatx.com/,5126706766,jeff@leaftreeservicesatx.com,5,62,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/leaftreeservicesatx/,,https://www.linkedin.com/company/leaf-tree-services-atx/,https://www.youtube.com/@LeafTreeServices,https://www.instagram.com/leaftreeservicesatx/,"Tree service in Round Rock, Texas",google-places,1,0,0,557683101
,"Countryside Nursery & Landscape","13292 Pond Springs Rd, Austin, TX 78729",https://www.leaflandscapesupply.com/,5122490100,info@leaflandscapesupply.com,4.7,129,,,,,2439,229,2700,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/LeafLandscapeSupply,,https://www.linkedin.com/company/leaf-landscape-supply,https://www.youtube.com/watch?v=qQzsEnsaQLY,https://www.instagram.com/leaflandscapesupply/,"Tree Service,Landscape Designers & Consultants,Garden Centers",yellowpages,1,0,0,105028561
,"Lawn Doctor of Southwest Austin","Serving theAustin Area",https://www.lawndoctor.com/sw-austin-tx,5126436449,customerservice@lawndoctor.com,4.8,22,,,,,117,,121,1,1,1,1,0,0,0,1,1,1,https://www.facebook.com/lawndoctor512/,https://twitter.com/LawnDoctor,https://www.linkedin.com/company/lawn-doctor-of-massachusetts,https://www.youtube.com/user/LawnDoctor,http://www.instagram.com/lawndoctorinc,"Tree Service,Weed Control Service,Lawn Maintenance",yellowpages,1,0,0,105028978
,"Larry’s Tree Service","411 Cindi Cir 78676-4914, TX 78676",https://www.larrystreeservicetx.com,5128475020,,4.9,145,5,8,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Tree Services",yelp,1,0,0,95529619
,"Landscaping Bastrop","Bastrop, TX 78602",https://www.landscapingbastrop.net,5129919125,glandscapingmore@gmail.com,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,https://facebook.com/Landscapingbastrop,,,,,"Landscaping,Tree Services,Masonry/Concrete",yelp,1,0,0,94326140
,"Complete Landscapes Inc","1719 Fleischer Dr, Austin, TX 78728",https://www.landscape-texas.com/,5122520141,info@landscape-texas.com,2.9,35,,,,,137,3,143,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/CompleteLandscapesInc,,,,https://www.instagram.com/cli_texas/,"Tree Service,Landscape Contractors,Drainage Contractors",yellowpages,1,0,0,106617341
,"Austin Tree Service","15396 Ranch Rd 620N Austin, TX 78717",http://www.keepaustingreen.com,5123418888,info@keepaustingreen.com,,,4.6,40,,,,,,1,1,0,0,0,0,0,1,1,1,,https://twitter.com/AustinTreeServ,https://www.linkedin.com/company/austin-tree-service,,,"Tree Services",yelp,0,0,0,95530954
,"JP’s Tree Service","Austin, TX 78754",https://www.jpstreehelp.com,5125505978,jpstreeservice2@gmail.com,4.8,43,4.6,9,,,,,115,1,0,0,0,0,0,0,1,1,1,https://www.facebook.com/jpstreehelp,,,,https://www.instagram.com/jpstreeservice2/,"Tree Services,Damage Restoration,Landscaping",yelp,1,0,0,94326145
,"Joe’s Tree Care","5800 Johnny Morris Rd, Austin, TX 78724",https://www.joestreecare.net,5122151551,joestreecare@gmail.com,4.1,24,4.4,296,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,https://www.instagram.com/joestreecarejbg/,"Tree Services,Landscaping,Fences & Gates",yelp,1,0,0,92647638
,"Hill Country Tree Trimming","1019 Pathfinder Way, Round Rock, TX 78665",https://www.hillcountryarborist.com,5129054126,,5,149,4.8,88,,,,,,1,1,1,0,0,0,0,1,1,0,https://www.facebook.com/hillcountryarborist,,,,https://instagram.com/hillcountryarborist,"Tree Services,Landscaping",yelp,1,0,0,95530068
,"Healing Tree Counseling P","2208 E 14th St, Austin, TX 78702",https://www.healingtreecounselingatx.com/contact,5126365881,info@healingtreecounselingatx.com,5,3,,,,,,,,1,1,0,0,0,0,0,0,1,0,http://www.facebook.com/2008/fbml,,https://www.linkedin.com/in/michelle-silva-segura-lpc-s-lmft-s-sep-6980417/,,,"Tree Service",yellowpages,1,0,0,95534509
,"Hill Country Landscape And Tree","Austin, TX 78748",https://www.hclandandtree.com,2102378822,hclandandtree@gmail.com,,,5,2,,,471,21,479,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/HillCountryLandscapeAndTree/,,,,,"Landscaping,Tree Services,Firewood",yelp,1,0,0,94324754
,"Tree Clinic","757 Shady Ln, Austin, TX 78702",https://www.gstatic.com/images/branding/product/1x/googleg_48dp.png,5123856604,ncrowther@bartlett.com,5,1,,,,,9435,,,0,0,0,0,0,0,0,1,1,0,,,https://www.linkedin.com/company/scott-bros.-power-limited,,,"Tree Service,Snow Removal Service,Lawn Maintenance",yellowpages,1,0,0,107242295
,"The Grounds Guys of Lakeway and Bee Cave","Serving theAustin Area",https://www.groundsguys.com/lakeway-bee-cave/?cid=LSTL_GUY000264,5128850197,social@groundsguys.com,5,18,,,,,18,100,34,1,1,1,1,0,0,0,1,1,0,https://www.facebook.com/TheGroundsGuysofLakewayBeeCave,,https://www.linkedin.com/company/the-ground-guys,https://www.youtube.com/user/GroundsGuys/,https://www.instagram.com/thegroundsguys/?hl=en/,"Tree Service,Landscape Designers & Consultants,Gardeners",yellowpages,1,0,0,126581173
,"Green Tree Service Austin TX Experts","5311 Indio Dr, Austin, Tx 78745",https://www.greentreeserviceaustintxexperts.com/,7372103765,contact@greentreeserviceaustintxexperts.com,5,9,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree services",bing,1,0,0,95538473
New,"Greenstar Tree and Land Services","Serving theAustin Area",https://www.greenstartreeservices.com,5129399707,info@greenstartreeservices.com,5,27,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://facebook.com/profile.php?id=61566806011217,,,,https://instagram.com/greenstartx/,"Tree Service",yellowpages,1,0,0,557681809
,"Grass Works Lawn Care","13505 Ranch Road 620 N Ste A, Austin, TX 78717",https://www.grassworksaustin.com/contact-us,5127971640,info@grassworksaustin.com,,,,,,,216744,192,238000,1,1,0,1,0,0,0,1,1,0,https://www.facebook.com/cloudflare,,https://www.linkedin.com/company/cloudflare,https://www.youtube.com/cloudflare,https://instagram.com/cloudflare,"Tree Service,Gardeners,Landscape Designers & Consultants",yellowpages,1,0,0,94327597
,"A Good Morning Tree Service","Leander, TX 78641",https://www.goodmorningtreeservice.com,7372007272,tracy@goodmorningtreeservice.com,,,3.5,11,,,,,,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/GoodMorningTreeService/,,,https://www.youtube.com/channel/UCg75bRyOwT335lg_0Fq5cDA/featured,https://www.instagram.com/agoodmorningtree/,"Tree Services",yelp,1,0,0,95529370
,"Good Guys Tree Service","10713 N FM 620 BLDG E, Ste 521, Austin, TX 78726",http://goodguystreeservice.com,5127433909,bob@goodguystreeservice.com,4.9,1282,,,,,963,12,,1,1,1,1,0,0,0,1,1,1,https://www.facebook.com/pages/Good-Guys-Tree-Service/270850059598806,,https://www.linkedin.com/company/good-guys-tree-service,https://www.youtube.com/c/Goodguystreeservice,https://www.instagram.com/austinarborist/,"Tree service",google,1,0,0,8519088
,"Full Canopy Tree Care","13740 Research Blvd, Austin, TX 78750",http://fullcanopy.com,5123368733,info@fullcanopy.com,4.8,15,,,,,25,,,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/FullCanopy/,https://twitter.com/,,https://youtube.com/,https://www.instagram.com/fullcanopytreecare/,"Tree service",google,1,0,0,28967617
,"Full Canopy Tree Care","13740 Research Blvd, Austin, TX 78750",https://www.fullcanopy.com/,5123368733,brennon@fullcanopy.com,4.9,28,,,,,26,,36,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/FullCanopy/,https://twitter.com/,,https://youtube.com/,,"Tree service in Austin, Texas",google-places,1,0,0,34827123
,"Douglas Tree Service","Austin, TX 78681",https://www.douglastreeserviceatx.com,5129810697,j.isaac@douglastreeserviceatx.com,,,4.3,6,,,,,2,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/douglas.treeservice.tx,,,,,"Tree Services",yelp,0,0,0,95532191
,"The Davey Tree Expert Company","16085 Ronald Reagan Blvd, Leander, TX 78641",http://davey.com,5127460052,info@davey.com,4.4,36,,,,,18345,,21149,1,1,1,1,0,0,0,1,1,0,https://www.facebook.com/DaveyTree,https://twitter.com/DaveyTree,http://www.linkedin.com/company/the-davey-tree-expert-company,http://www.youtube.com/user/DaveyTreeExpertCo,https://instagram.com/DaveyTree/,"Tree service",google,1,0,0,28967745
,"Cutting Edge Lawn Care, Inc.","1606 Hydro Dr, Austin, TX 78728",https://www.cuttinglawns.com/contact.php,5128354144,cuttingedge@mow.co,4.8,72,,,,,5522,8,5500,1,0,0,0,0,0,0,0,1,0,https://www.facebook.com/cuttinglawns,,,,,"Tree Service,Lawn Maintenance,Landscape Contractors",yellowpages,1,0,0,107241615
