status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"GreenPal Lawn Care","320 N Charles St, Baltimore, MD 21201",https://www.yourgreenpal.com/local/lawn-care-baltimore-md,4432196260,,,,5,1,,,3413,24,4100,1,1,1,0,0,0,0,1,1,0,https://www.facebook.com/pages/GreenPal/495779490484818,https://twitter.com/YourGreenPal,,,https://www.instagram.com/yourgreenpal/,"Lawn Services",yelp,1,0,0,96081945
,"Y&L Landscaping & Tree Service","62 Gwynns Mill Ct, Owings Mills, MD 21117",https://www.yandllandscaping.com/,4105787111,info@yandllandscaping.com,4.8,131,,,,,278,,295,1,0,1,0,0,0,0,1,1,0,https://www.facebook.com/Yandllandscapingandtreeservice/,https://twitter.com/yandllandscape,https://www.linkedin.com/company/y&l-landscaping-inc,,https://www.instagram.com/yandllandscape,"Landscaper in Owings Mills, Maryland",google-places,1,0,0,25127532
,"Unlimbited Tree Service","538 Jones Rd Severn, MD 21144",https://www.unlimbitedtreeservice.com,4435176881,info@unlimbitedtreeservice.com,5,2,4.3,30,4.6,89,951,16,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/unlimbitedtreeservice,https://twitter.com/unlimbitedtree,,https://www.youtube.com/channel/UCplsjcZtvzsI8s4SOpKmaLw,https://www.instagram.com/unlimbitedtreeservice/,"Tree Services",yelp,1,0,0,96079523
,"A-AAA Tree Service","4134 E Joppa Rd Ste 203, Nottingham, MD 21236",http://www.treeworkmd.com,4103210921,webmaster@dramaticvisions.com,4.8,103,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree Service,Arborists",yellowpages,1,0,0,96077720
,"Machado Landscaping & Tree Services","22 Wengate Rd, Owings Mills, MD 21117",https://www.treeservicesandlandscapinginmd.com,4435093945,,5,20,4.5,4,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Lawn Services,Tree Services,Irrigation",yelp,1,0,0,96081569
,"Little Sneedville Tree Services","803 Oella Ave, Ellicott City, MD 21043",https://www.treeremovalellicottcity.com,4109365988,support@tcpacompliance.co,,,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree Service",yellowpages,1,0,0,96077683
,"SBC Outdoor Services","320 W 24th St, Baltimore, MD 21211",https://www.sbclandscaping.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-website&utm_content=baltimore,4109894674,sbclandscaping@gmail.com,4.4,30,,,,,1680,5,1700,1,1,1,1,0,0,0,1,1,1,https://www.facebook.com/sbcoutdoorservices/,,https://www.linkedin.com/company/sbc-landscaping/,https://www.youtube.com/channel/UC2eu3HpD_Bhu-yX90klv0Yw,https://www.instagram.com/sbclandscaping/,"Landscape designer in Baltimore, Maryland",google-places,1,0,0,39158034
,Sandco,"6378 Winters Ln Hanover, MD 21076",https://www.sandcollc.com,2404614569,daryl@sandcollc.com,5,77,5,5,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/Sandco.Construction,,https://www.linkedin.com/company/sandco,,https://www.instagram.com/sandco_construction,"Painters,Demolition Services,Landscaping",yelp,1,0,0,96081966
,"Sam's Services LLC","7375 E Furnace Branch Rd, Glen Burnie, MD 21060",http://samsservicesllc.com,4436771447,,5,66,,,,,,,,1,1,1,0,0,0,0,0,1,0,https://connect.facebook.net/en_US/fbevents.js,,,,,"Tree service",google,1,0,1,8556342
,"RJO Services LLC","517 Glenbrook Rd, Glen Burnie, MD 21061",https://www.rjoservicesllc.net,4439621276,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree Service,Stump Removal & Grinding,Weed Control Service",yellowpages,1,0,0,96077498
,"Professional Stump Removal of Baltimore","Baltimore, MD 21217",https://www.prostumpremoval.com/service-areas/baltimore,8148839444,contact@prostumpremoval.com,,,,,,,,,,1,1,1,0,0,0,0,0,1,0,,,,https://www.youtube.com/channel/UCHnpViRUB_ZuqQnOfhnLyVQ,,"Landscaping,Excavation Services,Tree Services",yelp,1,0,0,96079740
,"Plowz & Mowz of Baltimore - Lawn Care Services","405 S Patterson Park Ave, Baltimore, MD 21231",https://www.plowzandmowz.com/md/best-residential-lawn-care-landscaping-in-baltimore/,8004898128,hello@plowz.com,5,2,,,,,21408,,25000,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/plowzapp/,https://twitter.com/plowzapp,https://www.linkedin.com/company/caribou-apps,https://www.youtube.com/c/Plowzandmowzapp,https://www.instagram.com/plowzandmowz/,"Lawn care service in Baltimore, Maryland",google-places,1,0,0,39169209
,"Pikesville Tree Service","2302 Baythrone Ct, Baltimore, MD 21209",https://www.pikesvilletreeservice.com,4439608760,,5,15,5,6,,,,,,1,1,1,0,0,0,0,0,1,0,https://www.facebook.com/pikesvilletreeservice/,,,,,"Tree Services",yelp,1,0,0,96079521
,"Mervin Construction","Severn, MD 21144",https://www.mervinconstructionllc.com,4434006578,,5,2,4.2,6,,,,,,1,0,0,0,0,0,0,1,1,1,,,,,https://www.instagram.com/invites/contact/?i=n8xhe7lyukpi&utm_content=r0230ah,"General Contractors,Roofing,Masonry/Concrete",yelp,1,0,0,96083765
,"MD Pro Services","7919 Old Jessup Rd Baltimore, MD 21215",https://www.mdproservices.net,4439830645,info@mdproservices.net,5,304,4.8,29,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/people/MD-Pro-Services-LLC/100090431349390/,,,,https://www.instagram.com/mdproservicesllc/,"Junk Removal & Hauling,Gutter Services,Pressure Washers",yelp,1,0,0,96080185
,"Maryland Outdoor Specialist","22 Blister St, Middle River, MD 21220",https://www.mdoutdoorspecialist.com,4435062070,,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Landscape Contractors,Hardscape,Tree Service",yellowpages,1,0,0,96077716
New,"Express Tree Service","Private Address in Brooklyn Park, MD",https://www.mdexpresstreeservices.com/,4105017997,contact@mdexpresstreeservices.com,5,10,,,,,,,,1,1,1,0,0,0,0,1,1,0,https://www.facebook.com/ExpressTreeServices/?business_id=162151711716663,,,,,,bing,1,0,0,561893456
,"Maryland Tree Experts","11106 Red Lion Rd, White Marsh, MD 21162",https://www.marylandtreeex.com,4434786124,marylandtreeexperts@gmail.com,3.9,73,3,22,4.5,20,748,,803,1,1,0,0,0,0,0,1,1,0,http://www.facebook.com/mdtreeexperts,,,,https://instagram.com/wix/,"Tree Services",yelp,1,0,0,96078335
New,"Maryland Tree Care","1716 Stokesley Rd, Dundalk, MD 21222-4837",https://www.marylandtreecare.com/,4435866432,kenny.marylandtreecare@gmail.com,4.8,70,,,,,,,,1,1,0,0,0,0,0,1,1,1,http://www.facebook.com/MARYLANDTRECARE/,,,,,,bing,1,0,0,561893585
