status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"Workman Tree Service","Quincy, MA 95945",https://www.workmantreeservice.com,7743205253,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree Services",yelp,1,0,0,96083215
,Woodsman,"Phillipston, MA 01331",https://www.woodsmaninc.com,9782577852,tomashton@woodsmaninc.com,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/profile.php?id=100083366720020,,,http://www.youtube.com/@MJS_Image,https://www.instagram.com/woodsman_inc/,"Tree Services",yelp,1,0,0,96083406
,"Woodchuck Stump Grinding","Weymouth, MA 02190",https://www.woodchuckgrinding.com,7816501119,team@latofonts.com,5,30,5,2,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree Services",yelp,1,0,0,96081588
New,"Walnut Tree Service","1518 Washington St, Stoughton, MA 02072",https://www.walnuttreeservice.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,7816400377,walnuttreeservicecorp@gmail.com,5,1039,,,,,1096,42,1500,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/walnuttreeservice/,,,https://www.youtube.com/@walnuttreeservice,https://www.instagram.com/walnuttreeservice/,"Tree service in Stoughton, Massachusetts",google-places,1,0,0,561319567
,"Tree Service Of Metro Boston","35 Magnolia St, Arlington, MA 02474",http://treeservicesofmetroboston.com,6174609309,treeserviceofmetroboston@gmail.com,5,55,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Tree service",google,1,0,0,119711010
,"Tree Service of Metro Boston","Braintree, MA 02184",https://www.treeservicesofmetroboston.com,6174609309,treeserviceofmetroboston.com@wix-domains.com,,,4.7,14,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree Services,Gutter Services",yelp,1,0,0,96082229
,"Tree Services of New England","8 Washington Pl Unit 303, Braintree, MA 02184",http://treeservicesne.com,7819855001,treeservicesne@gmail.com,4.9,147,,,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,https://www.instagram.com/wix,"Tree service",google,1,0,0,8551184
,"Chop Chop Tree","44 School St, Boston, MA 02108",https://treeservicesinboston.com/,6174019282,,,,,,,,,,,0,1,0,0,0,0,0,1,1,0,https://www.facebook.com/Chop-Chop-Tree-1644593309126611/,https://twitter.com/Arbor_BostonMA,,,,"Tree services",bing,1,0,0,8550473
,"TC Pro Cleaning","Medfield, MA 02052",https://www.tcprocleaninginc.com,7745410636,tcprocleaning88@gmail.com,,,,,,,,,,1,0,0,0,0,0,0,1,1,0,https://www.facebook.com/profile.php?id=100089960989139&amp,https://twitter.com/Tcpro33,,,https://instagram.com/tcpro33?igshid=MzRlODBiNWFlZA==,Landscaping,yelp,1,0,0,96083415
,"Stump Pros","17 Myrtle St, Boston, MA 02114",https://www.stumppros.com/,5084006429,service@stumppros.com,5,5,,,,,,,168,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/stumppros/,,https://www.linkedin.com/company/stump-pros,https://www.youtube.com/stumppros,https://www.instagram.com/stumppros/,"Tree service in Boston, Massachusetts",google-places,1,0,0,8550578
New,"William Stewart Tree Service","9 Adams Ave, Everett, MA 02149",https://www.stewarttreeservice.com/,7816086992,info@stewarttreeservice.com,5,1,,,,,,,,1,0,0,0,0,0,0,1,1,1,,,,https://www.youtube.com/@StewartTreeService,https://www.instagram.com/stewarttreeserv/,"Tree service in Everett, Massachusetts",google-places,1,0,0,561321292
,"SavATree - Tree Service & Lawn Care","15 Lewis St, Lincoln, MA 01773",http://savatree.com,7812598400,mgalvin@savatree.com,4.9,300,,,,,3737,93,4421,0,0,0,1,0,0,0,1,1,0,,,,,,"Tree service",google,1,0,0,8551220
,"SavATree - Tree Service & Lawn Care","15 Lewis St, Lincoln, MA 01773",https://www.savatree.com/locations/lincoln-massachusetts/?utm_source=GMB&utm_medium=organic&utm_campaign=lincoln,7812598400,experts@savatree.com,4.9,408,,,,,4278,105,4900,1,1,1,1,0,0,0,0,1,0,https://www.facebook.com/SavATreeHQ/,,https://www.linkedin.com/company/savatree/,https://www.youtube.com/user/naturestrees,https://www.instagram.com/savatree_official/,"Tree service in Lincoln, Massachusetts",google-places,1,0,0,338711845
,"Royer Tree Service Inc","45 Merchants Drive, Walpole, MA 02081",https://www.royertreeservice.com,7813555041,info@royertreeservice.com,,,,,,,554,23,574,1,1,0,0,0,0,0,0,1,0,https://facebook.com/Royer-Tree-Service-153815094655472/,https://twitter.com/RoyerTree,,,,"Tree Service,Stump Removal & Grinding",yellowpages,1,0,0,530848763
,"Rose Landscaping and Construction","Arlington, MA 02474",https://www.roselandscapingllc.com,7817996544,roselandscaping54@gmail.com,5,18,5,8,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Landscaping,Snow Removal,Masonry/Concrete",yelp,1,0,0,96079634
,"Reliable Janitorial Services","Boston, MA 02121",https://www.reliablejanitorialservicesboston.com,6174426665,office@reliablejanitorialservicesboston.com,,,5,1,,,,,,1,0,1,0,0,0,0,1,1,0,,,,,https://www.instagram.com/reliablejanitorialservices,"Office Cleaning,Landscaping",yelp,1,0,0,96082612
,"Professional Tree Service","Lynn, MA 01905",https://www.professionaltreeremovalandlandscaping.com,6178650949,,,,1,1,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/plugins/video.php?height=476&href=https%3A%2F%2Fwww.facebook.com%2F100091645429936%2Fvideos%2F660273062759556%2F&show_text=false&width=267&t=0,,,,,"Tree Services",yelp,1,0,0,96078269
,"Perez Brothers tree & Paving service","53A Chatham St Lynn, MA 01902",https://www.pereztreeservicema.com,9788760985,,,,5,1,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree Services",yelp,1,0,0,96082609
New,"Pema Tree Service","85 Newburyport Turnpike, Rowley, MA 02151",https://www.pematreeservices.com/,7813211888,contact@pematreeservices.com,4.3,39,,,,,,,,1,0,0,0,0,0,0,1,1,1,,,,,,"Tree service in Revere, Massachusetts",google-places,1,0,0,561320380
,"Tree Service","800 Washington Ave, Revere, MA 02151",https://www.pemainc.com/,7813211888,elmer@pemainc.com,4.3,26,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree services",bing,1,0,0,8550597
,"Patriot Tree Service","Cambridge, MA 02139",https://www.patriottreeinc.com,6174177478,patriottreeinc@yahoo.com,5,3,4.7,28,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Tree Services,Crane Services",yelp,1,0,0,96078268
,"Osorio Brothers Landscaping","115 Freeman St, Auburndale, MA 02466",https://www.osoriobrolandscaping.com,9784895838,,5,13,5,1,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree Services,Landscaping",yelp,1,0,0,96081801
,"Orozco Landscaping","Spencer, MA 01562",https://www.orozcolawnservices.com,7813305541,orozcos0812@gmail.com,,6,,,,,89,36,90,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/OrozcosLandscape/,,,,https://www.instagram.com/orozcolawnlandscape,"Tree Services,Landscaping,Irrigation",yelp,1,0,0,96082227
,"McKinnon Tree & Landscaping","179 Boylston St, Jamaica Plain, MA 02130",https://www.nutrilawn.com,6179835272,nutrilawn.com@contactprivacy.com,,,,,,,1698,,1800,1,1,1,1,0,0,0,1,1,0,https://www.facebook.com/Nutrilawn/,https://twitter.com/nutrilawn,https://www.linkedin.com/company/nutri-lawn,https://www.youtube.com/user/nutrilawn,,"Tree Service,Snow Removal Service,Firewood",yellowpages,1,0,0,541601098
,"Northeast Tree Inc","62 Holton St, Woburn, MA 01801",https://www.northeasttreeinc.com/,7819449885,office@northeasttreeinc.com,4.3,32,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/NorthEastTreeInc1/,,,,,,bing,1,0,0,96077402
,"Norfolk Tree Service, LLC","40 Fairmont Ave, Waltham, MA 02453",http://norfolktreeservice.com,7818990913,npm.llc1998@gmail.com,4.9,107,,,,,,,,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/norfolkpm,,,,,"Tree service",google,1,0,0,555245276
,Moodscapes,"216 Hillside Ave, Arlington, MA 02476",https://www.moodscapesdesign.com,7814883200,info@moodscapesdesign.com,4.8,20,,,,,298,,,1,1,0,0,0,0,0,1,1,0,,https://twitter.com/MoodscapesLLC,https://www.linkedin.com/company/moodscapes-llc/,,https://www.instagram.com/moodscapes/,"Tree Service,Landscape Designers & Consultants,Gardeners",yellowpages,1,0,0,112314022
,"Middlesex Tree Service","256 Salem St Ste 7 Woburn, MA 01801",https://www.middlesextree.com,7815891202,mtreeserv@gmail.com,4.9,34,4,29,,,123,8,,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/middlesextree/,,,,,"Tree Services",yelp,1,0,0,96080060
,"McKinney Brothers Tree Service","Westwood, MA 02090",https://www.mckinneybrothers.com,7813209500,sales@mckinneybrothers.com,4.9,46,4.9,62,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/McKinneyBrothers,https://twitter.com/McKinneyBros,https://www.linkedin.com/company/mckinney-brothers-tree-service/,,https://www.instagram.com/mckinney.brothers/,"Tree Services",yelp,1,0,0,96077386
