status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"Low Cost Tree Removal And Trim","Serving theCharlotte Area",https://x3dz52.wixsite.com/lowcosttreeremovaltr,7044933405,,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/wix,https://twitter.com/Wix,https://www.linkedin.com/company/wix-com,,,"Tree Service",yellowpages,1,0,0,90130369
,"Tree Masters","701 East Blvd, Charlotte, NC 28203",http://waxhawtreeservicecompany.com,7048021150,hello@treemasterscarolina.com,4.5,17,,,,,281,,,1,1,1,1,0,0,0,1,1,0,https://www.facebook.com/yourtreemasters/,,,,,"Tree service",google,1,0,0,8525477
,"TruGreen Lawn Care","Charlotte, NC 28278",https://www.trugreen.com/local-lawn-care/north-carolina/charlotte/?utm_source=gmb_yext&utm_medium=organic&y_source=1_MTUzOTUxNDItNTUzLWxvY2F0aW9uLndlYnNpdGU%3D,7049000123,customercare@trugreenmail.com,3.7,728,,,,,452156,,454000,1,1,1,1,0,0,0,1,1,0,https://www.facebook.com/trugreen,"//www.twitter.com/intent/tweet?url=https%3A%2F%2Fwww.trugreen.com%2Fabout%2Fprivacy-policy&text=TruGreen Privacy Policy",,https://www.youtube.com/trugreen,https://www.instagram.com/trugreen_lawn/,"Tree Service,Lawn Maintenance,Landscaping & Lawn Services",yellowpages,1,0,0,111018150
,"Triplett Stump Grinding","9100 Arbourgate Meadows Lane, Charlotte, Nc 28277",https://www.triplettsstumpgrinding.com/,7044507005,,5,147,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree services",bing,1,0,0,95545622
,"Flores Tree services","2213 Diamond Creek Cir, Charlotte, NC 28273",http://treeserviceflores.com,7046247718,,5,11,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://facebook.com/profile.php?id=61571462095608,,,,,"Tree service",google,1,0,0,540649480
,Charlotte,"10130 Mallard Creek Rd #300, Charlotte, NC 28262",https://www.treescapeonline.xyz/,7046443812,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,google-places,1,0,0,540649818
,"A1 Stump Grinding & Tree Service","Serving theCharlotte Area",https://www.treemancharlotte.com,7049196829,,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,http://www.facebook.com/2008/fbml,,,,,"Tree Service",yellowpages,1,0,0,540646018
,"K.O. Tree Services","Charlotte, NC 28273",https://www.treekos.com,8004305283,sales@treekos.com,4.1,89,2.7,18,,,,,,1,1,0,0,0,0,0,1,1,0,https://facebook.com/cltnctree,,,,https://instagram.com/kotreeservice,"Tree Services",yelp,1,0,0,95543640
,"Tree Amigos Charlotte","Charlotte, NC 28214",https://www.treeamigoscharlottenc.com,9808750591,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree Services",yelp,1,0,0,95546320
,"The Plant Guys","Charlotte, NC 28226",https://www.theplantguys.com,7042776624,theplantguyscharlotte@gmail.com,4.9,70,5,6,,,337,,357,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/PlantGuys,,,,https://www.instagram.com/theplantguys/,"Landscaping,Landscape Architects or Designers",yelp,1,0,0,95544706
,"The Art of Pruning","Charlotte, NC 28105",https://www.theartofpruning.net,7046701769,healthymark70@gmail.com,3.3,24,5,3,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/pg/TheArtofPruning.net/,http://www.twitter.com,,,,"Tree Services",yelp,1,0,0,95547097
,"Stump Co","2101 Rexford Rd, Charlotte, NC 28211",https://www.stumpnet.com/employees/contact,7043753953,randy@stumpnet.com,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,https://www.linkedin.com/company/the-stump-corporation/,,,"Tree Service",yellowpages,1,0,0,540645356
,"Strider Trees","Huntersville, NC 28070",https://www.stridertrees.com,5302057486,stridertrees@gmail.com,,,5,3,5,5,1440,,1400,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/stridertrees/,,https://www.linkedin.com/in/josiah-georgeson-651a60149/,https://www.youtube.com/channel/UCkONEE9b3TPtBqFm29qGjwQ,https://www.instagram.com/tree_strider/?hl=en,"Tree Services",yelp,0,0,0,95546622
,"Spring Green Lawn Care of Pineville","2425 Westinghouse Blvd Ste C, Charlotte, NC 28273",https://www.spring-green.com/lawn-care-locations/fort-mill-area,7046358230,info@spring-green.com,,,,,,,,,,1,1,1,0,0,0,0,1,1,0,,,https://www.linkedin.com/company/spring-green-lawn-care,,,"Tree Service,Lawn Maintenance,Weed Control Service",yellowpages,1,0,0,326562078
,"Spikes Out Tree Service","Charlotte, NC 28202",https://www.spikes-out.com,7044308646,info@spikes-out.com,,,5,3,,,,,,1,0,0,0,0,0,0,1,1,1,,,,,,"Tree Services",yelp,1,0,0,95546317
,"Southern Canopies","3116 Allenwood Rd, Charlotte, NC 28270",https://www.southerncanopies.com,7043714628,joe@southerncanopies.com,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,https://www.facebook.com/pages/Southern-Canopies-Tree-Service/525850407444922?fref=ts,,,,,"Tree Service",yellowpages,1,0,0,559273961
,"Simple Stump","Charlotte, NC 28211",https://www.simplestump.com,9803199188,,4.9,47,4.5,8,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree Services,Landscaping",yelp,1,0,0,95546109
,"Southeastern Tree","646 Sutton Rd S, Fort Mill, SC 29715",https://www.setreesc.com,8035487000,chuck.segal@comporium.com,4.7,55,5,1,,,444,10,461,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/SETREE1950/,,,,,"Tree Services",yelp,1,0,0,95546486
,"Arborscapes - SavATree","8924 Crump Rd, Pineville, NC 28134",http://savatree.com,7045257148,sjensen@savatree.com,4.8,124,,,,,4224,105,4900,1,1,1,0,0,0,0,0,1,0,https://www.facebook.com/SavATreeHQ/,,https://www.linkedin.com/company/savatree/,https://www.youtube.com/user/naturestrees,https://www.instagram.com/savatree_official/,"Tree service",google,1,0,0,404581144
,"Ruppert Landscape, Inc.","Serving theCharlotte Area",https://www.ruppertlandscape.com,7049623331,info@ruppertcompanies.com,3,19,,,,,5560,114,6500,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/ruppertlandscape,,https://www.linkedin.com/company/ruppert-landscape/,https://www.youtube.com/channel/UClg3mI3WCdZbgET0RNlABcA,https://www.instagram.com/ruppertlandscape/,"Tree Service,Landscape Contractors,Landscaping & Lawn Services",yellowpages,1,0,0,395374058
,"RLTW Land Clearing","Blythewood , SC 29016",https://www.rltwlandclearing.com,8506930973,rltwlc275@gmail.com,,,1,1,,,,,,0,0,0,0,0,0,0,1,1,1,,,,,https://instagram.com/rltw_landclearing?igshid=NTc4MTIwNjQ2Yq==,"Excavation Services,Tree Services",yelp,1,0,0,92922027
,"Rene Tree Service LLC","6233 Old Coach Rd, Charlotte, NC 28215",http://renetreeservicellcnc.com/,9808758723,renetreeservicesllc.com@wix-domains.com,4.9,54,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Tree service in Charlotte, North Carolina",google-places,1,0,0,90133133
,"Rene Tree Service","6233 Old Coach Rd, Charlotte, NC 28215",https://www.renetreeservicesllc.com,7049675933,renetreeservice704@gmail.com,5,5,5,7,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,,"Tree Services,Lawn Services,Fences & Gates",yelp,1,0,0,95546854
,"Queen City Excavation","Charlotte, NC 28210",https://www.queencityexcavation.com,7043122558,jason@queencityimprovements.com,5,7,5,4,,,,,,1,1,1,0,0,0,0,1,1,1,http://www.facebook.com/QueenCityExcavation/,,,,,"Landscaping,Excavation Services,Demolition Services",yelp,1,0,0,95544701
