status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"WOODS TREE SERVICE","306 W Riverside Dr, Lakemoor, IL",https://www.woodstreeservice.online/,18157647216,,5,29,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree services",bing,1,0,0,95540888
,"Winkler Tree & Lawn Care","Bellwood, IL 60104",https://www.winklerstreeservice.com/?utm_source=yelp&utm_medium=ppc&utm_campaign=tree_care,2244944025,info@winklerstreeservice.com,4.7,195,3.5,18,,,67,4,,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/Winklers-Tree-Landscaping-159852500702261/,,,,,"Landscaping,Tree Services",yelp,1,0,0,92440402
,"White and Black Tree Service","3N266 McNair Ave, Addison, IL 60101",https://www.whiteblacktreeservices.com/,6302908806,guillermotaboada00@gmail.com,5,21,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree service in DuPage County, Illinois",google-places,1,0,0,419491612
,"Twin Pines Tree Care Experts","3S410 Manning Ave, Warrenville, IL 60555",https://www.twinpinestreecare.com/,6309404909,sales@twinpinestreecare.com,4.7,23,,,,,181,3,,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/TwinPinesTreeCare/,,,,,,bing,1,0,0,95539181
,"Chop Chop Tree","3425 N Pulaski Rd, Chicago, IL 60642",https://www.treeservicesinchicago.com,3123134116,,,,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Tree Service Equipment & Supplies",yellowpages,1,0,0,95535283
,"Arbor Tree Care","1780 Green Bay Rd, Highland Park, IL 60035",https://www.treeservicehighlandparkil.com/,2247654442,,,14,,,,,,,,0,1,0,0,0,0,0,1,1,0,https://www.facebook.com/Arbor-Tree-Care-568904039939477/,https://twitter.com/tshighlandpark,,,,"Tree services",bing,1,0,0,95540089
,"Mario’s Tree Service","Addison, IL 60101",https://www.treeservicecompanyaddison.com,6306249894,,,,4.3,34,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree Services",yelp,0,0,0,95493891
,"Tree Service Chicago","Chicago, IL 60604",https://www.treeservicechicago.net,3128472234,pw-70baf9ad4e189e2b1b542bd63bf5a734@privacyguardian.org,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree Services",yelp,1,0,0,95529661
,Tomotto,"6417 N Ravenswood Ave Chicago, IL 60626",https://www.tomottoco.com,7734657852,,3,12,3,4,,,,,,0,0,0,0,0,0,0,1,1,1,,,,,,"Landscaping,Snow Removal,Tree Services",yelp,1,0,0,95531454
,"Timber Point Tree Service","14716 IL-176, Woodstock, IL 60098",https://www.timberpointtreeservice.com/,8157935470,timberpointtreeservice.com@wix-domains.com,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree services",bing,1,0,0,95540639
,"Super Star Tree Service INC","130 W Brown St, West Chicago, IL 60185",https://www.superstartreeserviceinc.com/,6306396465,superstarlandscaping@yahoo.com,4.6,44,,,,,,,,0,1,0,0,0,0,0,1,1,0,,,,,,Landscaping,bing,1,0,0,95538830
,"S Gonzalez Landscaping","Carpentersville, IL 60110",https://www.sgonzalezlandscaping.com,2249013494,,5,5,4.5,8,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Lawn Services,Tree Services,Snow Removal",yelp,1,0,0,92440642
,"Sawvell Tree Service","207 E Park St Ste A Mundelein, IL 60060",https://www.sawvelltreeservice.com,8475669372,sawvelltree@gmail.com,5,14,4.3,10,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,https://www.instagram.com/sawvelltreeservice/,"Tree Services,Gardeners,Landscape Architects or Designers",yelp,1,0,0,95531552
,"Savatree - Tree Service & Lawn Care","20278 N Rand Rd, Palatine, Il 60074",https://www.savatree.com/tree-service-barrington-illinois,8477261991,mgalvin@savatree.com,4.8,24,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Tree services",bing,1,0,0,95541301
,"SavATree - Tree Service & Lawn Care","3520 Commercial Ave, Northbrook, IL 60062",https://www.savatree.com/locations/northbrook-illinois/?utm_source=GMB&utm_medium=organic&utm_campaign=northbrook,8477291963,sjensen@savatree.com,4.9,170,,,,,4223,105,4900,1,1,1,0,0,0,0,0,1,0,https://www.facebook.com/SavATreeHQ/,,https://www.linkedin.com/company/savatree/,https://www.youtube.com/user/naturestrees,https://www.instagram.com/savatree_official/,"Tree service in Northbrook, Illinois",google-places,1,0,0,419493726
,"Roy's Tree Service","150 E Morrison Ave, Mount Prospect, IL 60056",https://www.roystreeservicemtprospect.com/,8478242865,roystreeservices@gmail.com,4.2,5,,,,,,,18,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/Roys-Tree-Service-792864330851879/,,,,,,bing,1,0,0,95540017
,"Ringers Landscape and Drainage Services","2101 IL-176, Crystal Lake, IL 60014",https://www.ringerslandscaping.com/campaigns/design-build/patio-finance-offer,8479895593,info@ringerslandscaping.com,4.5,120,4.3,32,,,,,,1,1,1,0,0,0,0,0,1,0,https://www.facebook.com/RingersLandscaping/,,https://www.linkedin.com/company/ringer-services,https://www.youtube.com/channel/UC1WHVG4z7zkZn5bsPgMPV9A,https://www.instagram.com/ringerslandscaping/,"Landscaping,Masonry/Concrete,Irrigation",yelp,1,0,0,95529999
,"RG Tree LLC","Chicago, IL 60629",https://www.rgtree.com,7737890233,management@rgtree.com,,,,,,,581917,,46,1,1,0,1,0,0,0,1,1,0,,,,,,"Tree Service,Stump Removal & Grinding",yellowpages,1,0,0,419486357
,"R&S Landscaping and Nursery","2884 W Rt 126 Plainfield, IL 60554",https://www.randslandscapingservices.com,8152542057,rslandscapingservices@gmail.com,4.5,15,5,5,,,,,,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/profile.php?id=100089590397694,,,,https://www.instagram.com/rslandscapingandnursery/,"Landscaping,Nurseries & Gardening,Masonry/Concrete",yelp,1,0,0,95531569
,"Ramos Tree Service","706 W 116th Pl, Chicago, IL 60628",https://www.ramostreeserviceil.com,3128853899,ramostreeservice1@gmail.com,5,36,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/profile.php?id=61554265463611,,,,https://www.instagram.com/ramostreeservice5/,"Tree Service",yellowpages,1,0,0,95534775
,"Pro Tree Service","19253 S Blackhawk Pkwy, Mokena, IL 60448",http://protreeservice.com,7084245885,inquiries@protreeservice.com,4.6,340,,,,,,,,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/therealprotreeservice,,,,,"Tree service",google,1,0,0,340122459
New,"Prairie Tree Care","3444 West Walnut Street, Chicago, IL 60624",https://www.prairietreecare.com,7735993335,friends@prairietreecare.com,5,33,,,,,,,,1,1,1,0,0,0,0,1,1,0,https://www.facebook.com/prairietreecare,,,,https://www.instagram.com/prairietreecare/,"Tree Service",yellowpages,1,0,0,552278114
,"Perez Landscaping","695 Dulles Rd, Des Plaines, IL 60016",https://www.perezlandscapes.com/,8476873180,,4.6,41,,,,,,,,1,1,1,0,0,0,0,1,1,0,,,,,,,bing,1,0,0,95539853
,"Paul Bunyon &amp; Sons","2913 Kensington Ave, Westchester, IL 60154",https://www.paulbunyonandsons.com,7086819031,pbs.timmullis@aol.com,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,,,,,,"Tree Service,Firewood,Landscape Contractors",yellowpages,1,0,0,92445294
,"Patch Landscaping & Snow Removal","6107 N Ravenswood Ave Chicago, IL 60660",https://www.patchlandscaping.com,7732627282,mail@patchlandscaping.com,4.3,29,3.2,47,,,,,25,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/1Patch.Landscaping,https://twitter.com/Patch_Employees,,,https://www.instagram.com/patchlandscaping/,"Landscaping,Snow Removal",yelp,1,0,0,95532228
New,"Paradise Tree service LLC","3117 163rd Pl, Hammond, IN 46323",https://www.paradisetreeservicellc.com/,2192382409,paradisetreeservice1980@gmail.com,5,60,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/paradisetreeremovalservices,,,,,"Tree service in Hammond, Indiana",google-places,1,0,0,552279156
,"Morales Tree Service","1025 Abbeywood Ct, Elgin, IL 60120",https://www.moralestreeservice.com,2248565569,moralestreeservice08@gmail.com,4.8,39,4.8,12,,,106,,125,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/MoralesTreeService/,,,,https://www.instagram.com/moralestreeservice08/?hl=en,"Tree Services,Firewood",yelp,1,0,0,92440054
,"Micky’s Citywide Tree Services","5903 W Dakin St Chicago, IL 60634",https://www.mickyscitywideservices.com,7739085645,,,,5,2,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree Services",yelp,1,0,0,92441976
,"Mark's Tree Service","3816 Bull Valley Rd, McHenry, IL 60050",https://www.markstreemchenry.com/,8153853700,,4,31,,,,,,,,0,0,0,0,0,0,0,0,1,0,,https://twitter.com/MarksTreeSer,,,,"Tree services",bing,1,0,0,95540798
,"Maple Leaf Landscaping & Brick Paving","6054 W Bryn Mawr Ave, Chicago, IL 60646",https://www.mapleleaflandscapingandbrickpaving.com,7734574218,mapleleaflandscaping@yahoo.com,4,8,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Tree Service,Landscape Contractors,Landscape Designers & Consultants",yellowpages,1,0,0,499150244
,"Maple Cut","Addison, IL",https://www.maplecut.net/,6303979784,treeservices@maplecut.net,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree services",bing,1,0,0,95539502
,"Madrid’s Landscaping","Lombard, IL 60148",https://www.madridlandscaping.net,2244558543,sdvdmadrid@gmail.com,,,4.4,9,,,,,,1,0,0,0,0,0,0,1,1,0,https://www.facebook.com/madridslandscape,,,,,"Landscaping,Snow Removal,Masonry/Concrete",yelp,1,0,0,92441209
,"MacDougall Tree Service","327 W Prairie Ave, Wheaton, IL 60187",https://www.macdougalltree.com/,6308903903,info@royaloakstree.com,4.8,23,,,,,,,,0,1,0,0,0,0,0,1,1,0,//www.facebook.com/macdtree,,//www.linkedin.com/in/wayne-macdougall-ba058783,//www.youtube.com/channel/UCSy2pkCzh9QTikeWFT65tiw,,"Tree services",bing,1,0,0,95538623
,"Ler Garden & Tree Care","158 W Belvidere Rd, Grayslake, IL 60030",https://www.lergardentreecare.com/,8473619674,,,,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Tree services",bing,1,0,0,95541475
,"Lagunas Tree Service","926 N Cedar Lake Rd Round Lake Beach, IL 60073",https://www.lagunastreeservice.com,8472395629,lagunastreeservice@gmail.com,4.8,94,4.5,35,,,124,2,126,1,1,0,1,0,0,0,1,1,0,https://facebook.com/Lagunastreeservice,,,,,"Tree Services,Damage Restoration,Landscaping",yelp,1,0,0,92441310
,"JSR Enterprises, Inc.","57 Holly Dr, Crystal Lake, IL 60014",https://www.jsrtreeservices.com/,8479878503,jeff@jsrtreeservices.com,,3,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree services",bing,1,0,0,95540815
,"Jose's Tree Service","1900 N Austin Ave, Chicago, IL 60639",http://josestreeservices.com,7738895446,josetreeservice2115@gmail.com,4.7,73,,,,,,,,1,1,0,0,0,0,0,0,1,0,http://www.facebook.com/2008/fbml,,,,,"Tree service",google,1,0,0,8511900
,"Jose's Tree Service","1900 N Austin Ave, Chicago, IL 60639",https://www.josestreeservices.com/hire-us,7738895446,jose_tree_service@yahoo.com,4.7,73,,,,,145,,,1,1,0,0,0,0,0,1,1,0,,,,,,,bing,1,0,0,95492370
