status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"TruGreen Lawn Care","Colorado Springs, CO 80939",https://www.trugreen.com/local-lawn-care/colorado/colorado-springs/?utm_source=gmb_yext&utm_medium=organic&y_source=1_MTUzOTUwNDYtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D,7192662819,customercare@trugreenmail.com,3.6,398,,,,,452090,,454000,1,1,1,1,0,0,0,1,1,0,https://www.facebook.com/trugreen,"//www.twitter.com/intent/tweet?url=https%3A%2F%2Fwww.trugreen.com%2Fabout%2Fprivacy-policy&text=TruGreen Privacy Policy",https://www.linkedin.com/company/trugreen-chemlawn,https://www.youtube.com/trugreen,https://www.instagram.com/trugreen_lawn/,"Tree Service,Lawn Maintenance,Landscaping & Lawn Services",yellowpages,1,0,0,111810270
New,"719 Tree&Stump Removal","4423 Centennial Blvd, Colorado Springs, CO 80907",https://www.treeservicescoloradosprings.com/,7192806512,pw-7e74304d0b005d431b1ee2ae4faa20de@privacyguardian.org,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/719-Tree-Stump-Removal-381827755956793,http://twitter.com/share?url=https://www.treeservicescoloradosprings.com/1/post/2020/08/questions-to-ask-before-hiring-a-tree-service.html,,,,,bing,1,0,0,562006038
,"719 Tree Service","4423 Centennial Blvd, Colorado Springs, CO 80907",https://www.treeservicescoloradosprings.com,7192806512,info@treeservicescoloradosprings.com,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/719-Tree-Stump-Removal-381827755956793,http://twitter.com/share?url=https://www.treeservicescoloradosprings.com/1/post/2020/08/questions-to-ask-before-hiring-a-tree-service.html,https://www.linkedin.com/company/trinity-tree-service-colorado-springs,,,"Tree Service",yellowpages,1,0,0,275077895
,"Tree Artisans","5637 Cross Creek Dr, Colorado Springs, CO 80924",https://www.treeartisans.com/,7198226733,clay@treeartisans.com,4.8,120,,,,,,,,1,0,0,0,0,0,0,1,1,1,https://facebook.com/315534138501800,,https://www.linkedin.com/company/tree-artisans-llc,,https://instagram.com/treeartisans,"Tree service in Colorado Springs, Colorado",google-places,1,0,0,334088765
,"Tree Artisans","3415 Cedarlawn Dr Colorado Springs, CO 80920",https://www.treeartisans.com,7196530189,info@treeartisans.com,,,5,5,,,,,280,1,0,0,0,0,0,0,1,1,1,https://facebook.com/315534138501800,,,,https://instagram.com/treeartisans,"Tree Services",yelp,1,0,0,128808120
,"Bob Rundo Tree Surgeon","2626 Gunnison St, Colorado Springs, CO 80909",https://www.timberlinelandscaping.com/residential-landscaping/tree-care-plant-health/,7195981645,agodec@timberlinelandscaping.com,3.6,36,,,,,81,4,82,1,0,0,0,0,0,0,1,1,1,,,https://www.linkedin.com/company/timberline-landscaping,,,,bing,0,0,0,4569798
,"Bob Rundo Tree Surgeon","2626 Gunnison St, Colorado Springs, CO 80909",http://bobrundotreesurgeon.com,7195981645,bobrundotree@aol.com,3.6,36,,,,,83,4,86,1,0,0,0,0,0,0,1,1,1,https://www.facebook.com/bobrundotreesurgeon/,,,,,"Tree Service",yellowpages,1,0,0,209018998
,"Bob Rundo Tree Surgeon","2626 Gunnison St, Colorado Springs, CO 80909",http://timberlinelandscaping.com,7195981645,temick@timberlinelandscaping.com,3.6,36,,,,,,,,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/timberlinelandscaping,https://twitter.com/timberline_co,https://www.linkedin.com/company/timberline-landscaping,https://www.youtube.com/channel/UCiEVKRNA3l3GdG2EWLmBcVw,https://www.instagram.com/timberline_landscaping/?hl=en,"Tree service",google,1,0,0,334090832
,"Tall Timbers Tree & Shrub Service","3616 W High St,, Colorado Springs, CO 80904",http://talltimberstreeservice.com,7196540669,admin@talltimberstreeservice.com,4.8,382,,,,,416,5,444,1,1,1,0,0,0,0,0,1,0,http://www.facebook.com/2008/fbml,,https://www.linkedin.com/company/tall-timbers-tree-and-shrub-service,https://www.youtube.com/@TallTimbersTreeShrubService,https://www.instagram.com/talltimberstree.service/,"Tree Service,Stump Removal & Grinding,Landscape Contractors",yellowpages,1,0,0,209018884
,"SavATree - Tree Service & Lawn Care","3450 Astrozon Pl, Colorado Springs, CO 80910",http://savatree.com,7194448800,experts@savatree.com,4.7,243,,,,,3681,93,4349,1,1,1,1,0,0,0,0,1,0,https://www.facebook.com/SavATreeHQ/,,https://www.linkedin.com/company/savatree/,https://www.youtube.com/user/naturestrees,https://www.instagram.com/savatree_official/,"Tree service",google,1,0,0,8668463
,"Precision Tree",,http://precisiontreeandturf.com,7192087419,precisiontree01@gmail.com,4.4,101,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://facebook.com/PrecisionTreeandTurf,,,,,"Tree service",google,1,0,0,8668644
,"Peak Tree Service",,http://peaktreeco.com,7194657268,peaktreeco.com@contactprivacy.com,5,64,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/sharer/sharer.php?u=,,,,,"Tree service",google,1,0,0,8668577
New,"Mr Stump Tree Service","2102 Janitell Rd Colorado Springs, CO 80906",https://www.mrstumptreeservice.com,7199004237,walt@mrstumptreeservice.com,5,85,4.9,19,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree Services",yelp,1,0,0,562001361
,"Lawn Mower Hospital","2303 N Weber St, Colorado Springs, CO 80907",https://www.lawnmowerhospitalcs.com/,7196326664,,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,http://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.lawnmowerhospitalcs.com,,,,,"Lawn Mowers,Lawn Mowers-Sharpening & Repairing,Snow Removal Equipment",yellowpages,1,0,0,209019027
,"Lawn Doctor of Metro Denver","Serving theColorado Springs Area",https://www.lawndoctordenver.com/,3039368001,group333@lawndoctor.com,4.8,626,,,,,30544,,32000,1,1,0,1,0,0,0,1,1,1,,,,,,"Tree Service,Landscape Contractors,Landscaping & Lawn Services",yellowpages,1,0,0,111810041
,"King Tree Service","4795 Mark Dabling Blvd, Colorado Springs, CO 80918",http://kingtreecolorado.com,7192651704,eben@eyebytes.com,4.7,157,,,,,,,,1,1,1,0,0,0,0,1,1,0,,,,,,"Tree service",google,1,0,0,8668049
,"AA Forestry","4275 Gracewood Dr Ste 101, Colorado Springs, CO 80920",https://www.countryhorizonrealty.net/m/AboutUs.asp,7192664067,cthzrlty@gmail.com,,,,,,,,,,1,0,0,0,0,0,0,1,1,0,,,https://www.linkedin.com/company/country-horizon-realty,,,"Tree Service",yellowpages,1,0,0,209019106
,"Hortus Tree & Landscape Services Corp","27 Mount View Ln, Colorado Springs, CO 80907",https://www.coloradospringstreetrimming.com,7194731138,,,,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Tree Service,Landscaping & Lawn Services,Landscape Contractors",yellowpages,1,0,0,209018987
,"Colorado Springs Tree Removal","3029 Grandview St, Colorado Springs, CO 80907",https://www.coloradospringscotreeremoval.com/,7193006696,221d15a1a3674a2d93521889df252ebc.protect@withheldforprivacy.com,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/ColoradoSpringsTreeRemoval/,,,,,,bing,1,0,0,395416342
New,"BrightView Landscapes","7357 Cole Vw, Colorado Springs, CO 80915",https://www.brightview.com/local/colorado-springs-co/landscape-services,7194489500,brightviewsupport@brightview.com,2.9,42,,,,,,,,1,1,1,0,0,0,0,1,1,0,https://www.facebook.com/BrightView,https://twitter.com/brightview,https://www.linkedin.com/company/brightview-landscape,https://www.youtube.com/c/brightview,,,bing,1,0,0,562005958
,"Black Bear Tree Care","3609 Austin Bluffs Pkwy #31, Colorado Springs, CO 80918",https://www.bbtreecare.com/,7196958828,bbtreecare@protonmail.com,5,112,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree service in Colorado Springs, Colorado",google-places,1,0,0,334082334
New,"Arbor One Tree Service","Serving theColorado Springs Area",https://www.arboronetrees.com,7192560484,seanarborone@yahoo.com,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/sharer/sharer.php?u=,,,,,"Tree Service,Firewood,Stump Removal & Grinding",yellowpages,1,0,0,561991142
New,"All The Above Trees LLC","946 S Sierra Madre St, Colorado Springs, CO 80903",https://www.alltheabovetrees.com/,7193890576,,4.9,140,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree service in Colorado Springs, Colorado",google-places,1,0,0,561990910
,"Affordable Services, Inc","2350 N Powers Frontage Rd, Colorado Springs, CO 80915",https://www.affordableservicescoloradosprings.com,7195721768,affordableservicesinc@live.com,4.6,56,,,,,708,,746,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/affordableservices719,,,,https://www.instagram.com/affordableservices719/,"Tree Service,Landscaping & Lawn Services,Landscape Designers & Consultants",yellowpages,1,0,0,103725627
,"A Cut Above Tree Solutions","11432 Black Forest Rd, Colorado Springs, CO 80908",https://www.acutabovetreesolutionsco.com,7193395180,acutabovecolorado@gmail.com,4.9,33,,,,,,,61,1,0,0,0,0,0,0,0,1,0,,,,,,"Tree Service",yellowpages,1,0,0,209019121
New,"A-Class Tree Service",,http://aclasstreeservice.com,7196493366,treemanr12@gmail.com,5,6,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/A-Class-Tree-Service-Co-648910705237481/,https://twitter.com/AClassTreeSrvc,,,,"Tree service",google,1,0,0,561997140
,"Absolutely Green","160 Cascade Ct Ste C, Colorado Springs, CO 80907",https://www.absolutelygreenco.com,7192037258,info@absolutelygreenco.com,5,72,,,,,,,6,1,1,0,0,0,0,0,1,1,0,https://facebook.com/168301456374451,,https://www.linkedin.com/company/absolutely-green,,,"Tree Service,Lawn Maintenance,Gardeners",yellowpages,1,0,0,151730350
,"Wright Tree, Lawn and Landscape Care","Serving theColorado Springs Area",https://wrighttreeandlawn.com,7196445695,info@wrighttreeandlawn.com,4.9,77,,,,,119,,121,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/wrighttreelawnandlandscapecare,,,,https://instagram.com/wrighttreelawnlandscape/,"Tree Service,Landscape Designers & Consultants",yellowpages,1,0,0,111810678
,"Gem Landscaping & Construction","5102 Galley Rd Lot 207B, Colorado Springs, CO 80915",https://wbmclean.com/maid-brigade,7192294422,rbiaggne@wbmclean.com,,,,,,,389,,401,1,0,0,0,0,0,0,1,1,1,https://www.facebook.com/wbmclean,https://twitter.com/wbm_clean,,,,"Tree Service,Landscape Contractors,Landscaping Equipment & Supplies",yellowpages,1,0,0,122606178
