status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"Yard Solutions","4830 Hendron Rd, Groveport, OH 43125",https://www.yardsolutions.com/contact-us,6148368205,inquiry@yardsolutions.com,3.8,51,,,,,,,,1,1,0,0,0,0,0,0,1,0,http://www.facebook.com/2008/fbml,,https://www.linkedin.com/company/yard-solutions-inc.,,https://www.instagram.com/yard_solutions/?fbclid=IwAR1pSwPlSks3zJ_-O1FFe9J0NnmVZvxIV0sP7E9wTwMZvmvzPsI3FFMRCls,"Tree Service,Landscape Contractors,Landscape Designers & Consultants",yellowpages,1,0,0,109189934
New,"Wright Way Tree Care","1776 Atlas St, Columbus, OH 43228",https://www.wrightwaytreecare.com/,6149055277,joecwright1985@gmail.com,5,17,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree service in Columbus, Ohio",google-places,1,0,0,558573714
,"Wright's Tree Service","164 Vine St, Columbus, OH 43215",https://www.wrightstree-ohio.com/contact,6142377901,service@wrightstree-ohio.com,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,,http://www.twitter.com/wrightstree,,,,"Tree Service",yellowpages,1,0,0,153063531
,"TruGreen Lawn Care","5150 Nike Dr, Hilliard, OH 43026",https://www.trugreen.com/local-lawn-care/ohio/hilliard/?utm_source=gmb_yext&utm_medium=organic&y_source=1_MTUzOTUxMDgtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D,6145277070,customercare@trugreenmail.com,4,219,,,,,452841,,455000,1,1,1,1,0,0,0,1,1,0,https://www.facebook.com/trugreen,"//www.twitter.com/intent/tweet?url=https%3A%2F%2Fwww.trugreen.com%2Fabout%2Fprivacy-policy&text=TruGreen Privacy Policy",,https://www.youtube.com/trugreen,https://www.instagram.com/trugreen_lawn/,"Tree Service,Lawn Maintenance,Weed Control Service",yellowpages,1,0,0,109190005
,"Columbus Tree Service Experts","175 S 3rd St, Columbus, OH 43215",https://www.treeservicecolumbus.com/,6146650647,,5,5,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,,bing,1,0,0,8525285
,"Arbor Tree Care","520 Industrial Mile Rd #2413, Columbus, OH 43228",http://treeremovalcolumbusohio.com,6149454800,,,,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Tree service",google,1,0,0,8525842
,"Tree Pro Ohio","597 High St Unit 723 Columbus, OH 43085",https://www.treeproohio.com,6149571113,cbustreecare@gmail.com,,,5,1,,,20,,23,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/LazadaIndonesia,https://twitter.com/LazadaID,https://www.linkedin.com/company/lazada/,https://www.youtube.com/@LazadaIndonesia,https://www.instagram.com/lazada_id/,"Tree Services",yelp,1,0,0,95538925
,"Kansas City Tree Care","Serving theColumbus Area",https://www.treecompanykansascity.com/,8168944767,,4.9,37,,,,,,,66,0,0,0,0,0,0,0,1,1,0,,,,,,"Tree Service",yellowpages,1,0,0,153064026
,"TCT Property Enterprises","Whitehall, OH 43213",https://www.tctshop.net,8008812948,ohiotct@gmail.com,,,5,7,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,,"Office Cleaning,Lawn Services,Tree Services",yelp,1,0,0,94823142
,"Sarita’s Landscaping","Columbus, OH 43224",https://www.saritaslandscapingllc.com,6143534189,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree Services,Landscaping",yelp,1,0,0,95539787
,"Ryan’s Landscape Maintenance","Delaware, OH 43015",https://www.ryanslandscaping.net,6144036256,ryan@ryanslandscaping.net,3.6,23,5,1,,,545,3,578,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/352980049010,,,,https://www.instagram.com/ryans_landscaping/?hl=en,"Landscaping,Snow Removal,Landscape Architects or Designers",yelp,1,0,0,95540925
,"Russell Tree Experts","3427 E Dublin Granville Rd, Westerville, OH 43081",http://russelltreeexperts.com,6148957000,jrussell@russelltreeexperts.com,4.6,187,,,,,,,,1,1,1,0,0,0,0,0,1,0,http://www.facebook.com/2008/fbml,,https://www.linkedin.com/company/15746140/,https://www.youtube.com/c/RussellTreeExperts,https://www.instagram.com/russelltreeexperts/,"Tree service",google,1,0,0,8525255
,"Russell Tree Experts","3427 E Dublin Granville Rd, Westerville, OH 43081",https://www.russelltreeexperts.com/,6148957000,hello@russelltreeexperts.com,4.6,187,,,,,,,,1,1,1,0,0,0,0,0,1,0,http://www.facebook.com/2008/fbml,,https://www.linkedin.com/company/15746140/,https://www.youtube.com/c/RussellTreeExperts,https://www.instagram.com/russelltreeexperts/,"Tree service in Franklin County, Ohio",google-places,1,0,0,8526004
,"Blue Ring Residential Services","1425 Community Park Dr, Columbus, OH 43229",https://www.residentialservicescolumbus.com,6146336770,dawn@blueringh.com,4.6,40,2.7,3,,,243,4,258,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/blueringresidential/,,https://www.linkedin.com/company/blue-ring-residential-services/,,https://www.instagram.com/blueringresidentialservices/,"Landscaping,Tree Services,Irrigation",yelp,1,0,0,95539455
,"Primo & Pams Lawn & Flowers","Serving theColumbus Area",https://www.primoandpamslawnandflowers.com,6142582298,lawnflowers@hotmail.com,5,2,,,,,598308,,46,1,1,0,1,0,0,0,1,1,0,http://www.facebook.com/wix,,,,http://instagram.com/wix,"Tree Service,Lawn Maintenance,Landscape Contractors",yellowpages,1,0,0,153063373
New,"Phoenix Tree Care","2174 Britains Ln, Columbus, OH 43224",https://www.phoenixtreecare.net/contact.php,6148474040,brad@phoenixtreecare.net,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/treepreservation/,,,,,,google-places,1,0,0,558573920
,"Penningtons Tree Service-Columbus, Ohio","1021 Rowland Ave, Columbus, OH 43228",https://www.penningtonstreeservice.com/,7405609551,mpenntreeservice@gmail.com,5,12,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/profile.php?id=61550053592420&amp,https://www.twitter.com/wix,https://www.linkedin.com/in/michael-pennington-29503a28b,,https://www.instagram.com/wix,"Tree service",google-places,1,0,0,346156912
,"Onyx Landscaping","196 Danhurst Rd, Columbus, OH 43228",https://www.onyxlandscapingllc.com,6144075214,,,,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Tree Service,Landscape Contractors",yellowpages,1,0,0,109189262
,"Ohio Tree and Land Services","Athens, OH 45701",https://www.ohiotreeandland.com,7408986446,ohiotreeandlandservices@gmail.com,4.9,13,,,,,,,,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/profile.php?id=100093935075615,,,,https://www.instagram.com/ohiotreeandland/?igshid=MzRlODBiNWFlZA%3D%3D,"Tree Services",yelp,1,0,0,95540261
,"Nelson Lawn and Landscape","Serving theColumbus Area",https://www.nelsonlawnandlandscapeoh.com,6143605425,nelsonlawnandlandscapeoh.com@contactprivacy.com,5,8,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree Service,Lawn Maintenance,Gardeners",yellowpages,1,0,0,304019128
New,"Mid Ohio Tree Service","200 N High St, Columbus, OH 43215",https://www.midohiotree.com/,6148339127,midohiotree@sbcglobal.net,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,,bing,1,0,0,558573636
,"Lui Irrigation","Serving theColumbus Area",https://www.luiirrigationoh.com,6143007093,lui.irrigation@gmail.com,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree Service,Gardeners",yellowpages,1,0,0,326561094
,"Lopezitos Trees Service",Columbus,https://www.lopezitostreesservice.com,3802200207,en2938198@gmail.com,,,5,1,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Tree Services,Landscaping,Fences & Gates",yelp,1,0,0,499150272
,"TNT Landscaping","3366 Watkins Rd Columbus, OH 43207",https://tntlandscapingusa.com,7403913610,office@tntusa.com,4.3,35,5,1,,,551,,564,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/476349722503476,,,,https://www.instagram.com/tntlandscaping/,"Landscaping,Snow Removal,Fences & Gates",yelp,1,0,0,95538935
,"Landscape Management Group","11500 Tarlton Rd SW, Circleville, OH 43113",https://www.landscapemgtgroup.com,7406012629,office@landscapemgtgroup.com,4.5,58,3.5,11,,,1421,28,1400,1,1,1,1,0,0,0,1,1,1,https://www.facebook.com/landscapemgtgroup,https://twitter.com/Landscapemgt,https://www.linkedin.com/company/landscapemgtgroup,https://www.youtube.com/@Landscapemanagementgroup,https://www.instagram.com/landscapemgtgroup/,"Landscaping,Masonry/Concrete,Landscape Architects or Designers",yelp,1,0,0,95539662
,"Knipp’s Tree Service- Columbus","4910 Reed Rd Unit H Columbus, OH 43220",https://www.knippstreeservice.com,6149993480,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree Services",yelp,1,0,0,95538307
,"Kennedy's Arboriculture","Serving theColumbus Area",https://www.kennedysarboriculture.com,6145609134,dkenned@columbus.rr.com,4.7,14,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://facebook.com/,https://twitter.com/,,https://youtube.com/,,"Tree Service,Arborists,Landscaping & Lawn Services",yellowpages,1,0,0,109189600
New,"Jacob Sauer Tree Care","633 Oakland Park Ave, Columbus, OH 43214",https://www.jacobsauertreecare.com/,6143530855,jacobsauertreecare@gmail.com,4.6,33,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/groups/1348203961874598,,,,,"Tree service in Columbus, Ohio",google-places,1,0,0,558573681
,"Immaculate Image Landscape","1100 Oxfordshire Dr, Columbus, OH 43228",https://www.immaculateimagelandscape.com/contact-us,6147748774,iilandscape@gmail.com,3.9,7,,,,,,,146,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/p/ImmaculateImage-Landscape-100063379020200/,,,,,"Tree Service,Landscape Contractors,Landscape Designers & Consultants",yellowpages,1,0,0,109189331
New,"Hoover Tree","4899 Smeltzer Rd Marion, OH 43302",https://www.hoovertree.net,7409711496,david.hoover@hoovertree.net,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,http://www.facebook.com/2008/fbml,,,,,"Tree Services",yelp,1,0,0,558577666
,"Holleywood Lawn And Landscape","Grove City, OH 43123",https://www.holleywoodlawn.com,6149155665,holleywoodlawn@hotmail.com,4.7,60,5,1,,,563,42,611,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/154789097976069,,,,,"Landscaping,Snow Removal,Landscape Architects or Designers",yelp,1,0,0,95540262
,"HighGrass Lawn Care","Columbus, OH 43202",https://www.highgrass.org,6149069436,prestonwilbur@highgrass.org,,,5,1,,,528,,538,1,1,0,0,0,0,0,0,1,0,https://facebook.com/HighGrassServices/,,,,https://instagram.com/Highgrasslandscaping/,"Lawn Services,Snow Removal,Landscape Architects or Designers",yelp,1,0,0,95539668
,"Hickman Lawn Care","2809 Harrisburg Station Ln, Grove City, OH 43123",https://www.hickmanlawncare.com/contact-us.php,6148756400,don@hickmanlawncare.com,2.8,23,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Tree Service,Lawn Maintenance,Landscape Contractors",yellowpages,1,0,0,109190022
,"McCullough's Tree Service-Franklin County","2335 W Dublin Granville Rd, Columbus, OH 43235",https://www.helpfortrees.com/contact.php,6147998733,wess@helpfortrees.com,5,2,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Tree Service",yellowpages,1,0,0,397154289
New,"GT Contracting Services",Columbus,https://www.GTContractingServices.com,6142146032,support@gtcontractingservices.com,,,5,1,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/gtcsfamily,,,,,"Handyman,Landscaping,Junk Removal & Hauling",yelp,1,0,0,558577508
,"The Grounds Guys of Delaware, OH","Delaware, OH 43015",https://www.groundsguys.com/delaware-oh/?cid=LSTL_GUY000244,7408414387,estimator@groundsguys.com.au,4.5,19,1,1,,,,,,1,1,1,0,0,0,0,1,1,0,https://www.facebook.com/groundsguys/,https://twitter.com/groundsguysus,,https://www.youtube.com/user/GroundsGuys,https://www.instagram.com/thegroundsguys/?hl=en,"Landscaping,Tree Services,Irrigation",yelp,1,0,0,95540252
,"A.S.H LLC Tree Service","6960 E Main St, Reynoldsburg, OH 43068",http://gottrees.org,6147010806,ashtree@gottrees.org,4.9,12,,,,,,,,1,1,0,0,0,0,0,0,1,0,http://www.facebook.com/2008/fbml,,,,,"Tree service",google,1,0,0,8525686
,"ExperiGreen - Columbus","824 N Rose Ave, Columbus, OH 43219",https://www.experigreen.com,6147453381,customerservice@experigreen.com,,,,,,,609,,937,1,1,1,1,0,0,0,1,1,1,https://www.facebook.com/ExperiGreen/,https://twitter.com/ExperiGreenHQ,https://www.linkedin.com/company/experigreen-lawncare,https://www.youtube.com/channel/UC-yP6xzUw4Glexi1u39_GbQ,https://www.instagram.com/experigreen_lawncare/,"Tree Service,Lawn Maintenance,Weed Control Service,Tree Service,Stump Removal & Grinding,Snow Removal Service",yellowpages,1,0,0,109189481
,"Excellent Arborist Tree Company","Groveport, OH 43125",https://www.excellentarborist.com,3802621165,excellentarboristtreecompany@yahoo.com,4.6,18,4.3,6,,,,,167,1,1,0,0,0,0,0,1,1,0,https://facebook.com/420081402080052,,,,,"Tree Services",yelp,1,0,0,95533626
New,"E S Tree Services Llc","2564 Lakebridge Ln, Hilliard, OH 43026",https://www.estreeservicellc.com/,3802099854,estreeservice17@gmail.com,5,54,,,,,,,,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/ES-Tree-Service-111130914919663/,,,,https://www.instagram.com/estreeservice17/,"Tree service in Columbus, Ohio",google-places,1,0,0,558573749
,"Duffey Tree Care","3258 Palomar Ave, Columbus, OH 43231",https://duffeytree.com/,8787887337,hello@duffeytree.com,5,94,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree service in Columbus, Ohio",google-places,1,0,0,153064599
,"DLL Landscaping & Tree Service","3080 Lamb Ave, Columbus, OH 43219",http://dlllandscapingservice.com/,6144718733,info@dllohio.com,3.5,8,,,,,502,14,532,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/DLLLandscapingAndTreeService/,,,https://www.youtube.com/channel/UC9QP1s85Z7EE1ijunNNXVEg,,"Landscaper in Columbus, Ohio",google-places,1,0,0,34006787
,"The Davey Tree Expert Company","3603 Westerville Rd, Columbus, OH 43224",http://davey.com,6143001480,info@davey.com,4,121,,,,,19226,,,1,1,1,1,0,0,0,1,1,0,https://www.facebook.com/DaveyTree,https://twitter.com/DaveyTree,http://www.linkedin.com/company/the-davey-tree-expert-company,http://www.youtube.com/user/DaveyTreeExpertCo,https://instagram.com/DaveyTree/,"Tree service",google,1,0,0,8525170
New,"Cox Tree Service","Columbus, OH 43229",https://www.coxtreeservicecolumbus.com,3802684845,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,https://facebook.com/DexYPHQ,https://twitter.com/DexYPHQ/,,,http://instagram.com/dexyphq/,"Tree Service,Stump Removal & Grinding",yellowpages,1,0,0,558577662
,"Corey’s Stump Grinding","Marion, OH 43302",https://www.coreysstumpgrinding.com,7403835481,stumpgrinding@roadrunner.com,4.9,10,5,1,4.8,17,,,364,1,1,0,0,0,0,0,1,1,0,http://www.facebook.com/coreysstumpgrinding,,,,,"Tree Services",yelp,1,0,0,95539653
