status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"Yanez Tree and Lawn Care","1310 Acton Ave, Duncanville, TX 75137",https://www.yaneztreeserv.com,9724847121,office@yaneztreeserv.com,5,23,4.6,9,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Tree Services",yelp,1,0,0,95531363
,"US Tree Care","2413 E Hebron Pkwy, Carrollton, TX 75010",https://www.ustreecare.com,2149120942,info@ustreecare.com,4.6,14,4,8,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree Services",yelp,1,0,0,95532319
,"Texan Concrete Specialist","904 Cresthaven Dr, Euless, TX 76040",https://www.txconcretespecialist.com,6829705887,,4.8,65,4.3,6,,,625,4,,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/TexanConcreteSpecialist/,,,,https://www.instagram.com/reel/CqVFhVcARuz/?utm_source=ig_embed&utm_campaign=loading,"Masonry/Concrete,Tree Services",yelp,1,0,0,95531783
,"TruGreen Lawn Care","4908 Olson Dr, Dallas, TX 75227",https://www.trugreen.com/local-lawn-care/texas/dallas/,2143884771,customercare@trugreenmail.com,4.2,394,,,,,453501,,455000,1,1,1,1,0,0,0,1,1,0,https://www.facebook.com/trugreen,,,https://www.youtube.com/trugreen,https://www.instagram.com/trugreen_lawn/,,bing,1,0,0,10807953
,"True Arbor Trees","2615 Tealford Dr, Dallas, TX 75228",http://truearbortrees.com,2144980663,raul@truearbortrees.com,5,150,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree service",google,1,1,0,8529799
,"TreeTop Tree Service","3901 Arlington Highlands Blvd, Ste 200 Arlington, TX 76018",https://www.treetoptreeservice.com,8179926670,mark@treetoptreeservice.com,4.9,153,4.7,16,,,,,,1,0,0,0,0,0,0,1,1,1,https://www.facebook.com/TreeTopTreeService/,,,https://www.youtube.com/channel/UCjnk8kgwPE2BDA3DiD3kK0g,https://www.instagram.com/treetoptreeservice/,"Tree Services,Landscaping,Fences & Gates",yelp,1,0,0,95529472
,"Tree Shepherds","314 Carlisle Dr, Lake Dallas, TX 75065",https://www.treeshepherds.net,9723179598,wecare@treeshepherds.net,5,147,5,15,,,556,10,626,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/TheTreeShepherds/,,,,https://www.instagram.com/tree_shepherds/,"Tree Services",yelp,1,0,0,95529196
,"Tree Services 24/7","Irving, TX 75060",https://www.treeservicestx247.com,2145415945,alcidesmartinez69@gmail.com,,,5,1,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Tree Services",yelp,1,0,0,95528427
,"Tree Service Dallas","6125 Luther Ln #422, Dallas, TX 75225",http://treeservicedallas.net,2144140386,treeservicesdallas@gmail.com,4.5,10,,,,,93,,501,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/pages/Tree-Service-Dallas/812458885517187,,,,,"Tree service",google,1,0,0,8530828
,"Tree Fitty Group","2709 Elm St, Dallas, TX 75226",https://www.treesdallas.com,2147494790,info@treesdallas.com,,,,,,,85373,135657,87000,1,0,0,0,0,0,0,1,1,1,https://www.facebook.com/treesdallas,https://www.twitter.com/treesdallas,,,https://www.instagram.com/treesdallas,"Tree Service",yellowpages,1,0,0,95535509
