status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"Monster Tree Service-South Denver","9080 W Bellwood Pl, Denver, CO 80123",https://www.whymonster.com/our-locations,7207534124,josh@whymonster.com,,,,,,,,,,1,1,1,0,0,0,0,1,1,0,,,,,https://www.instagram.com/monstertreeservices/,"Tree Service",yellowpages,1,0,0,250412140
,"Westminster Tree Care","7795 W 52nd Ave, Arvada, CO 80002",https://www.westminstertreecare.com/contact.html,7204106085,westminstertreecare.com@domainprivacygroup.com,,5,,,,,,,,0,0,0,0,0,0,0,1,0,0,,,,,,"Tree services",bing,1,0,0,96078371
,Grassbusters,"Littleton, CO 80127",https://www.wemowgrasscheap.com,3039949221,grassbusters.email@gmail.com,4.4,432,3.5,93,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Lawn Services",yelp,1,0,0,94573697
,"TruGreen Lawn Care","8995 W 44th Ave, Wheat Ridge, CO 80033",https://www.trugreen.com/local-lawn-care/colorado/wheat-ridge/?utm_source=gmb_yext&utm_medium=organic&y_source=1_MTUzOTUwNjUtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D,3034221715,customercare@trugreenmail.com,4.1,698,,,,,451811,,453000,1,1,1,1,0,0,0,1,1,0,https://www.facebook.com/trugreen,"//www.twitter.com/intent/tweet?url=https%3A%2F%2Fwww.trugreen.com%2Fabout%2Fprivacy-policy&text=TruGreen Privacy Policy",,https://www.youtube.com/trugreen,https://www.instagram.com/trugreen_lawn/,"Landscaping & Lawn Services,Lawn Maintenance,Tree Service",yellowpages,1,0,0,111326257
,"Tree Trimming Professionals","Denver, CO 80206",https://www.treetrimmingprofessionals.com,7202586886,info@treetrimmingprofessionals.com,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Tree Services",yelp,1,0,0,96080205
New,"Tree Trim Denver","1240 N Pearl St, Denver, CO 80203",https://www.treetrimdenver.com,7209026613,treetrimdenver.com-1ieuyha11mtet@anonymize.com,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree Service",yellowpages,1,0,0,561318846
,"Langley’s Tree Specialist","Greely, CO 80634",https://www.treeservicecompanygreeley.com,7206890350,luke.langley1971@gmail.com,,,4.8,18,,,,,30,0,0,0,0,0,0,0,1,1,0,,,,,,"Tree Services",yelp,1,0,0,96080012
,"Tiger Concrete","Denver, CO 80218",https://www.tigerconcretellc.com,7208851859,fsantiago@tigerconcretellc.com,,,,,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,,"Masonry/Concrete,Landscaping,Tree Services",yelp,1,0,0,94574873
,"Tierra Gardens Garden Center","Denver, CO 80204",https://www.tierrag.com,7209383154,info@tierrag.com,,,5,2,,,147,,157,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/TierraGardensGC,,,,,"Landscaping,Landscape Architects or Designers,Gardeners",yelp,1,0,0,94572767
,"The Earnest Chop","Aurora, CO 80016",https://www.tectreeservice.com,3039096519,theearnestchopllc@gmail.com,4.9,31,3.9,8,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/TECtreeservice/,,,,https://www.instagram.com/theearnestchopllc/,"Tree Services",yelp,1,0,0,96083027
,"Thate's Tree Service","Serving theDenver Area",https://www.tatestreeserviceok.com/,8002258733,blake.moore0510@gmail.com,4.9,55,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree Service",yellowpages,1,0,0,250411770
,"Tarzan Tree Care","Englewood, CO 80113",https://www.tarzantreecare.com,7209994032,,,,1,1,,,,,,1,1,0,0,0,0,0,1,1,0,,,https://www.linkedin.com/company/tarzan-tree-service,,,"Tree Services",yelp,1,0,0,96081727
,"Stonecreek Tree, Turf & Landscape","9758 W 97th Pl Westminster, CO 80021",https://www.stonecreektree.com,7203507797,,4.7,3,,,,,,,,1,0,0,0,0,0,0,1,1,0,https://www.facebook.com/people/Stonecreek-Tree-Turf-Landscape/100079664675164/,,,,,"Tree Services,Landscaping",yelp,1,0,0,96083442
,"Senn’s Tree Service","Arvada, CO 80002",https://www.sennstreeservice.com,7204709614,,5,124,5,9,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree Services",yelp,1,0,0,96077357
,SavATree,"5717 W 11th Ave, Lakewood, CO 80214",https://www.savatree.com/locations/lakewood-colorado/,3032320666,huntingdonvalley@savatree.com,4.7,386,,,,,,,,1,1,1,0,0,0,0,0,1,0,https://www.facebook.com/SavATreeHQ/,,https://www.linkedin.com/company/savatree/,https://www.youtube.com/user/naturestrees,https://www.instagram.com/savatree_official/,"Tree service in Lakewood, Colorado",google-places,1,0,0,300013842
,"SavATree - Tree Service & Lawn Care","5717 W 11th Ave, Lakewood, CO 80214",http://savatree.com,3032320666,experts@savatree.com,,,,,,,3737,93,4421,1,1,0,1,0,0,0,1,1,1,https://www.facebook.com/SavATreeHQ/,https://twitter.com/savatree,https://www.linkedin.com/company/savatree,https://www.youtube.com/user/naturestrees,https://www.instagram.com/savatree_official/,"Tree service",google,1,0,0,8549238
,"SavATree Denver","6300 S Syracuse Way, Centennial, CO 80111",https://www.savatree.com/lakewood-co-tree-service-lawn-care.html,3032320666,lakewood@savatree.com,,,3.6,49,,,,,,1,1,1,0,0,0,0,0,1,0,https://www.facebook.com/SavATreeHQ/,,https://www.linkedin.com/company/savatree/,https://www.youtube.com/user/naturestrees,https://www.instagram.com/savatree_official/,"Landscaping,Tree Services",yelp,1,0,0,94573990
,Savatree,"8585 E Warren Ave, Denver, CO 80231",https://www.savatree.com/denver-colorado-tree-service-lawn-care.html,3033376200,mgalvin@savatree.com,4.1,326,2.6,210,,,4213,105,4800,1,1,1,0,0,0,0,0,1,0,https://www.facebook.com/SavATreeHQ/,,https://www.linkedin.com/company/savatree/,https://www.youtube.com/user/naturestrees,https://www.instagram.com/savatree_official/,"Landscaping,Tree Services",yelp,1,0,0,94574214
New,"Ron's Stump Removal & Tree Service","Serving theDenver Area",https://www.rowantreecareservices.com/,8008132682,garrett@rowantreecareservices.com,4.9,53,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree Service",yellowpages,1,0,0,561319048
,"Reliable Tree Care","2650 W Yale Ave, Denver, CO 80219",https://www.reliabletreecare.net/,3039088122,jprante@reliabletreecare.net,5,13,,,,,,,143,1,0,0,0,0,0,0,0,1,0,https://facebook.com/Reliable-Tree-Care-LLC-370556896384979/,,,https://youtube.com/channel/UCL24EtbI-lms1NdxTiB9RsQ,,"Tree service in Denver, Colorado",google-places,1,0,0,8548353
,"Quality Tree Service","3557 W Alamo Ave, Littleton, CO 80123",https://www.qualitytreeservicellc.com,3037984773,wwtreetrimmer@aol.com,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Landscaping & Lawn Services,Tree Service,Gardeners",yellowpages,1,0,0,111463758
