status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
CLOSED,Wyatt’s Tree Removal & Landscaping,"3540 childs lake road Milford, MI 48381",https://wyattstreeandlandscape.com,2485630545,support@townsquareinteractive.com,,,5,1,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree Services,Landscaping,Patio Coverings",yelp,1,0,0,95547659
NOT ICP,Polgar Tree Investments Birmingham,"33788 Woodward Ave, Birmingham, MI 48009",https://www.valpak.com/local/grosse-pointe-mi,7345858549,barry_sanders@valpak.com,,,,,,,177661,43,172000,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/Valpak,https://twitter.com/valpakcoupons,https://www.linkedin.com/company/valpak,https://www.youtube.com/c/valpak,,"Tree Service,Arborists,Landscape Designers & Consultants",yellowpages,1,0,0,119196497
,Scot Clugston,"Livonia, MI 48154",https://www.trexgonewild.com,7344274802,,4.6,18,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,Tree Services,yelp,1,0,0,95547934
,Arbor Tree Care,"1912 Bellaire Ave, Royal Oak, MI 48067",https://www.treeserviceroyaloak.com/,2485653669,,1.8,4,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Tree services in Royal Oak, MI",bing,1,0,0,95545455
,Tree Man Services,"6340 Fenkell St, Detroit, MI 48238",https://www.treemanservice.com/contact-us/,3133785573,treeman221@outlook.com,5,4,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/TreemanservicesLLC/,https://twitter.com/share?url=https://www.treemanservice.com/contact-us/,https://www.linkedin.com/shareArticle?mini=true&url=https://www.treemanservice.com/contact-us/,,https://www.instagram.com/treemanservices/,,bing,1,0,0,95544247
,Tree Care,"28401 Mound Rd Ste 34 Warren, MI 48090",https://www.treecareinwarrenmi.com,5869810411,info@treecareinwarrenmi.com,,,,,,,,,65,1,1,0,0,0,0,0,1,1,1,https://facebook.com/treecareinwarrenmi/,,,,,Tree Services,yelp,1,0,0,95546602
Leon,Titanium Tree Cutting,"32605 W 12 Mile Rd, Farmington Hills, MI 48334",https://www.titaniumtreecutting.com/,8885087332,info@titaniumtreecutting.com,4.6,30,,,,,,,,1,1,1,0,0,0,0,1,1,1,https://m.facebook.com/titanium.treecutting/,https://twitter.com/titaniumtreecut,,https://www.youtube.com/channel/UCAe7YaX6i-0TyQWM-EJiNIg,https://www.instagram.com/titaniumtreecuttingservice/,"Tree service in Farmington Hills, Michigan",google-places,1,0,0,313399715
Kevin,Singing Tree,"18326 John R St, Detroit, MI 48203",https://www.singingtreedetroit.com/contact,3133190583,singingtreeinfo@gmail.com,5,1,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,,google-places,1,0,0,561321221
Ignacio,Robles Tree Services,"Allen Park, MI 48101",https://www.roblestreeservices.com,2485180000,robles.tree.services@gmail.com,4.3,23,4,3,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,Tree Services,yelp,1,0,0,95547296
Mike,Ricuccis Tree Service LLC.,"2184 Goulson Ave, Warren, MI 48091",http://ricuccistreeservice.com,5864431211,sales@ricuccistreeservice.com,4.5,30,,,,,455,63,531,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/Ricuccistreeservices,,,,https://www.instagram.com/ricuccistreeservicellc,Tree service,google,1,0,0,8555244
