status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"Urban Cultivator","3108 Rock Wall Ln, El Paso, TX 79936",https://www.urbancultivator.net/,9153132556,info@urbancultivator.net,,,,,,,69416,,,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/urbancultivator,https://twitter.com/urbancultivator,https://www.linkedin.com/company/urban-cultivator,https://www.youtube.com/channel/UCxrTQ8pdtkiIU-deVvhM4GA,https://www.instagram.com/urban.cultivator/,"Tree services",bing,1,0,0,95544967
,"TruGreen Lawn Care","1330 Northwestern Dr, El Paso, TX 79912",http://trugreen.com,9155815455,customercare@trugreenmail.com,4.3,328,,,,,451619,,453000,1,1,1,1,0,0,0,1,1,0,https://www.facebook.com/trugreen,"//www.twitter.com/intent/tweet?url=https%3A%2F%2Fwww.trugreen.com%2Fwhy-choose-trugreen%2Fexperience-and-expertise&text=TruGreen Professional Lawn Care Expertise",,https://www.youtube.com/trugreen,https://www.instagram.com/trugreen_lawn/,"Lawn care service",google,1,0,0,3067068
,"Sun City Tree Service","10728 Adauto Ct Ct, El Paso, TX 79935",http://treeremoval-elpaso.com,9158813982,,5,1,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree service",google,1,0,0,34826364
,"Complete Lawn Care","104 Cynthia Ln, El Paso, TX 79922",https://www.saenzco.com/contact,9154944351,contact@saenzco.com,4.8,101,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree service in El Paso, Texas",google-places,1,0,0,25053291
,"MEAN CLEAN Property Maintenance","1855 Trawood Dr Suite 210, El Paso, TX 79935",https://www.meanclean.net/,9159208005,info@meancleanpros.com,4.8,72,,,,,349,,344,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/meancleanpros/,,,,https://www.instagram.com/meancleanpros/,"Property maintenance in El Paso, Texas",google-places,1,0,0,296390791
,"Mando’s Lawn Care","El Paso, TX 79925",https://www.mandoslawncare.com,9156213229,armando@mandoslawncare.com,,,1,1,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,https://instagram.com/mandoslawncare?igshid=YmMyMTA2M2Y%3D,"Lawn Services",yelp,1,0,0,95544311
,"John's Tree & Lawn Service","1662 Robert Wynn St, El Paso, TX 79936",https://www.godaddy.com/forsale/treeandlandscaping.com?traffic_type=TDFS_BINNS2&traffic_id=binns2,9155919255,info@treeandlandscaping.com,4.3,8,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,,bing,1,0,0,95544341
,"Jr’s landscaping and maintenance","El Paso, TX 79925",https://www.elpasoyardmaintenance.com,9159269450,,,8,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,Landscaping,yelp,1,0,0,95545859
,"El Paso Tree Service","3417 Pershing Dr, El Paso, TX 79903",https://www.elpasotrees.com/,9158008439,elpasotrees@gmail.com,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/El-Paso-Tree-Service-554273108292916/,https://twitter.com/elpasotrees,https://www.linkedin.com/company/el-paso-tree-service/,,https://www.instagram.com/elpasotrees/,,bing,1,0,0,28966203
,"Decision Tree Technologies","306 Thunderbird Dr, El Paso, TX 79912",https://www.dtreetech.com/contact,9155843419,info@dtreetech.com,,,,,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,,"Tree Service",yellowpages,1,0,0,331527683
,Dbr,"7500 Viscount Blvd, El Paso, TX 79925",https://www.dbrinc.com/contact,9152571574,buhlrich@dbrinc.com,,,,,,,390,36,413,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/DBREngineering/,https://twitter.com/DBREngineering,https://www.linkedin.com/company/dbr-consultants-engineering-inc./,,http://instagram.com/dbrengineering,"Tree Service",yellowpages,1,0,0,463658789
,"Daniels Tree & Landscaping Inc","3633 Buckner St, El Paso, TX 79925",https://www.danielstreeandlandscaping.com/contact-us,9153295455,d@danielstreeandlandscaping.com,4.6,69,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree Service,Landscape Contractors",yellowpages,1,0,0,463658794
,"Daniel’s Tree & Landscaping, Inc.","9908 Cork Dr, El Paso, TX 79925",https://www.danielstreeandlandscaping.com/,9155988399,danielstlinc@gmail.com,4.7,81,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree service in El Paso, Texas",google-places,1,0,0,3066688
,"Daniels Tree & Landscaping","9908 Cork Dr, El Paso, TX 79925",https://www.danielstreeandlandscaping.com,9153082330,,4.2,26,4.8,5,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Firewood,Landscaping,Tree Services",yelp,1,0,0,95545858
,"Bull Concrete and Landscape","El Paso, TX 79835",https://www.bullconcreteandpumping.com,9153369317,bullspumping73@gmail.com,,,1,1,,,,,76,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/Bullconcrete,,,,https://www.instagram.com/bull__concrete__pumping/,"Landscaping,Masonry/Concrete,Pool & Hot Tub Service",yelp,1,0,0,95546442
,"Beavers Professional Tree","Serving theEl Paso Area",https://www.beaversprofessionaltreeservice.com/contact,9158674510,susiqrobles@gmail.com,5,25,,,,,48,,89,1,0,0,0,0,0,0,0,1,0,,,,,,"Tree Service,Landscape Contractors",yellowpages,1,0,0,108751151
,"Romàn's Tree & Lawn Services","5536 Dearborne Dr, El Paso, TX",https://treeservices.com/,19158016599,info@fourseasons-treeservices.com,4.5,8,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Tree services",bing,1,0,0,8551554
,"EP Texas Designs","EL Paso, TX 79928",https://texasdesignsep.wixsite.com/eptexasdesignsco,9158006306,,,,,,,,582932,,46,1,1,0,1,0,0,0,1,1,0,https://www.facebook.com/wix,https://twitter.com/Wix,https://www.linkedin.com/company/wix-com,,,"Landscaping,Masonry/Concrete,Fences & Gates",yelp,1,0,0,95546445
,"SP & LC LANDSCAPE CONTRACTORS","840 Redd Rd #1C, El Paso, TX 79912",https://splclandscapecontractors.com/,9157926169,,4.9,29,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Landscaper in El Paso, Texas",google-places,1,0,0,533254901
,Benco,"4500 Cupid Dr, El Paso, Tx 79924",https://shop.benco.com/,9154223010,kgeisinger@benco.com,5,3,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Medical supply",bing,0,0,0,95544916
,"R&M tree service","5996 Valle Del Sol Dr, El Paso, TX 79924",http://mperez5996.wixsite.com,9154128563,mperez5996@gmail.com,4.7,174,,,,,603716,,46,1,0,0,1,0,0,0,1,1,0,https://www.facebook.com/wix,https://twitter.com/Wix,https://www.linkedin.com/company/wix-com,,,"Tree service",google,1,0,0,327958544
,"Orozco Landscaping","Serving theEl Paso Area",https://lh3.googleusercontent.com/p/AF1QipPC8edPYf-45AEDWb0WEHWXbJkeqFZeiKAkrR7E=w360-h270-k-no,4802179697,,5,2,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree Service,Landscaping & Lawn Services,Sprinklers-Garden & Lawn",yellowpages,1,0,0,108751103
,"J B Lawn Care","El Paso, TX 79925",https://lawncareelpaso.com,9154749860,,,,,,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,,"Lawn Services,Tree Services,Handyman",yelp,1,0,0,95545466
,"Integrated Earthworks Solutions","9521 Railroad Dr, El Paso, TX 79924",https://iearthworksolutions.com,9152073686,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,https://www.linkedin.com/company/integrated-earthworks-solutions,,,"Excavation Services,Landscaping,Masonry/Concrete",yelp,1,0,0,95546360
,"Acosta Lawn Service","San Elizario, TX 79849",https://homeimprovementsanelizario.com,9152773869,kevinzapien05@icloud.com,,,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree Service,Landscaping & Lawn Services,Weed Control Service",yellowpages,1,0,0,296390454
,"Growing Concern","2514 Yandell Dr, El Paso, TX 79903",http://growingconcerntexas.com,9155331064,contact@growingconcerntexas.com,4.1,32,,,,,67,3,65,1,1,0,0,0,0,0,1,1,0,,,,,,"Lawn care service",google,1,0,0,3067051
,"G&R Ideal Green Landscaping, LLC","11394 James Watt Dr Ste. 516, El Paso, TX 79936",https://gridealgreenlandscaping.com/,9159995513,gridealgreen@gmail.com,4.4,47,,,,,1712,17,1800,1,1,0,1,0,0,0,1,1,0,,,,,,"Landscaper in El Paso, Texas",google-places,1,0,0,35036514
,"Flores Concrete & Landscaping","14825 Harry Flournoy Ave, El Paso, TX 79938",https://floresconcretelandscaping.wordpress.com,9152280244,,4.6,10,5,2,,,585913,,761000,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/WordPresscom,https://twitter.com/wordpressdotcom,,https://www.youtube.com/WordPressdotcom,https://www.instagram.com/wordpressdotcom/,"Landscaping,Landscape Architects or Designers,Masonry/Concrete",yelp,1,0,0,95545054
New,"El Paso Tree Removal","11356 Rising Star Ct, El Paso, TX 79936",http://elpasotreeremovals.com,9152341705,infoelpasotreeremoval@gmail.com,5,7,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/people/El-Paso-Tree-Removal/61566505456907/,,,,,"Tree service",google,1,0,0,561319578
New,"El Paso Tree Removal","2104 E. Yandell, El Paso, TX 79903",https://elpasotreeremoval.net,9153018086,office@elpasotreeremoval.net,5,2,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree Service",yellowpages,1,0,0,561319473
,"El Paso Landscapers","El Paso, TX 79903",https://elpasolawnmaintenance.com,9153485974,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,Landscaping,yelp,1,0,0,95545852
,"El Paso Arborists","6712 Doniphan Dr, Canutillo, TX 79835",http://elpasoarborists.com/,9154551090,elpasoarborists@gmail.com,4.9,229,,,,,1019,,1200,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/elpasoarborists,,,,https://www.instagram.com/elpasoarborists/,"Tree service in Canutillo, Texas",google-places,1,0,0,28966390
,"D J O Contractors","El Paso, TX 79934",https://djocontractorsllc.com,9152037686,d.j.o.contractors@gmail.com,5,9,5,1,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Landscaping,Masonry/Concrete,Fences & Gates",yelp,1,0,0,95545849
,"All Star Carpet Tech","El Paso, TX 79938",https://allstarcarpettech.com,9157907958,help@gosite.com,5,4,,,,,,,,1,0,0,0,0,0,0,0,0,0,,,,,,"Carpet Cleaning,Landscaping,Window Washing",yelp,1,0,0,95546448
,"Aguirre Lawn Service Maintenance LLC","243 Mecca Dr, El Paso, TX 79907",http://aguirrelandscapemaintenance.com,9159909329,aguirrelawnmaintenance@gmail.com,4.9,44,,,,,,,,1,1,1,0,0,0,0,1,1,0,https://www.facebook.com/aguirrelawnservice,,,,,Landscaper,google,1,0,0,545785076
,"Bug Killer The","1116 Hunter Dr, El Paso, TX 79915",http://www.thebugkillerofelpaso.com,9155989448,work4128@yahoo.com,4.7,3,,,,,,,,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/v2.3/plugins/like.php?action=like&app_id=&channel=https%3A%2F%2Fstaticxx.facebook.com%2Fconnect%2Fxd_arbiter%2Fr%2FLviKjJ9cymB.js%3Fversion%3D43%23cb%3Df381cc29f29caa4%26domain%3Dwww.thebugkillerofelpaso.com%26origin%3Dhttp%253A%2,,,,,"Tree Service,Pest Control Services,Pest Control Equipment & Supplies",yellowpages,1,0,0,124383334
,"Superior Green Turf","6985 Industrial Ave, El Paso, TX 79915",http://www.superiorgreenturf.com/,9153353419,customer.support@superiorgreenturf.com,4.9,165,,,,,1024,173,1100,1,0,0,1,0,0,0,1,1,1,https://www.facebook.com/superiorgreenturfep,,,,https://www.instagram.com/superiorgreenturf/?hl=en,"Turf supplier in El Paso, Texas",google-places,1,0,0,76198153
,"Sunset Gardens","105 Lindbergh Ave, El Paso, TX 79932",http://www.sunsetgardensep.com/,9155812504,sunsetgardensep@gmail.com,4.4,145,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Plant nursery in El Paso, Texas",google-places,1,0,0,101658943
,"Sonora Construction","2050 San Carlos St Chaparral, NM 88081",http://www.sonoraconstr.com,9158678967,sonoragroundworks@gmail.com,5,4,,,,,,,,1,1,0,0,0,0,0,0,1,0,,https://twitter.com/,http://linkedin.com/,,https://www.instagram.com/sonoraconstr.co/,"Landscaping,Masonry/Concrete,General Contractors",yelp,1,0,0,95241102
,"Reliable Stump Removal","Serving theEl Paso Area",http://www.reliabletreeremoval.com/?matchtype=XNPLL&amp;network=yp&amp;keyword=stump+removal+grinding&amp;source=193-17-11,8443459299,,,,,,,,,,,0,1,1,0,0,0,0,1,1,0,,,,,,"Stump Removal &amp; Grinding",yellowpages,1,0,0,95543564
,"Next tree service","El Paso, TX 79924",http://www.Nexttreeservice.com,9159101505,,4.8,53,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree Services,Gutter Services",yelp,1,0,0,95544670
,"Lumberjack Joes","7183 Casa Roja Dr, Canutillo, TX 79835",http://lumberjackjoes.com,9154946998,lumberjack_joes@yahoo.com,4.9,28,,,,,,,,1,0,0,0,0,0,0,0,1,0,https://www.google.com/url?q=https%3A%2F%2Fwww.facebook.com%2FLumberjackJoes%2F&sa=D&sntz=1&usg=AOvVaw0YV_Awaj9iCAxKbUrtT_G0,,,,,"Tree service",google,1,0,0,34826584
,"EP Landscaping and Design","El Paso, TX 79938",http://www.landscapingep.com,9155294434,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,https://www.linkedin.com/company/ep-landscaping-and-design,,,"Landscaping,Landscape Architects or Designers,Irrigation",yelp,1,0,0,95546268
,"Idea Jardin USA","4100 Rio Bravo St Suite 208, El Paso, TX 79912",http://www.ideajardinusa.com/,9152727332,ideajardinusa@gmail.com,4.9,102,,,,,422,,461,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/ideaajardinusa/,,,,https://www.instagram.com/ideajardinusa,"Landscaper in El Paso, Texas",google-places,1,0,0,76197664
