status,name,address,website,phone,email,first_name,last_name,job_title,email_verified,personal_email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"Z Landscapes","Westworth Village, TX 76114",https://zlandscapes.com,6822302655,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Landscaping,Tree Services,Gardeners",yelp,1,0,0,95547335
,"Texan Concrete Specialist","904 Cresthaven Dr Euless, TX 76040",https://www.txconcretespecialist.com,6829705887,,,,,,,4.8,65,5,5,,,,,,0,0,0,0,0,0,0,0,1,0,,,https://www.linkedin.com/company/texan-concrete-specialist,,,"Masonry/Concrete,Tree Services",yelp,1,0,0,95547159
,"T&S Landscape Services","3121 Santa Fe Trl, Fort Worth, TX 76116",https://www.tslandscapeservicesdfw.com,6822551637,office@tslandscapeservicesdfw.com,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,1,0,https://www.facebook.com/p/TS-Landscape-Services-61561495076534/,//twitter.com/intent/tweet?text=The%20Ultimate%20Guide%20to%20Year-Round%20Commercial%20Landscape%20Maintenance&url=https://tslandscapeservicesdfw.com/blogs/news/the-ultimate-guide-to-year-round-commercial-landscape-maintenance,,,,"Tree Service,Landscape Designers & Consultants,Nursery-Wholesale & Growers",yellowpages,1,0,0,555749296
,"TruGreen Lawn Care","7501 Airport Fwy, Richland Hills, TX 76118",https://www.trugreen.com/local-lawn-care/texas/richland-hills/?utm_source=gmb_yext&utm_medium=organic&y_source=1_MTUzOTUwNjQtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D,8175952035,customercare@trugreenmail.com,,,,,,4.4,824,,,,,452187,,454000,1,1,1,1,0,0,0,1,1,0,https://www.facebook.com/trugreen,"//www.twitter.com/intent/tweet?url=https%3A%2F%2Fwww.trugreen.com%2Fabout%2Fprivacy-policy&text=TruGreen Privacy Policy",https://www.linkedin.com/company/trugreen-chemlawn,https://www.youtube.com/trugreen,https://www.instagram.com/trugreen_lawn/,"Tree Service,Lawn Maintenance,Landscaping & Lawn Services",yellowpages,1,0,0,109842824
,"TreeTop Tree Service","2826 W Division St, Arlington, TX 76012",http://treetoptreeservice.com,8179926670,mark@treetoptreeservice.com,,,,,,4.9,174,,,,,,,424,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/TreeTopTreeService/,,,https://www.youtube.com/channel/UCjnk8kgwPE2BDA3DiD3kK0g,https://www.instagram.com/treetoptreeservice/,"Tree service",google,1,0,0,421371351
,"Tree Spark","6387 Camp Bowie Blvd Ste B145 Fort Worth, TX 76116",https://www.treesparkdfw.com,8177177737,treesparkdfw@gmail.com,,,,,,,,,,,,,,32,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/treesparkdfw/,https://twitter.com/TreeSparkTX,,,,"Tree Services,Electricians",yelp,1,0,0,95547333
New,"Trees Hurt Too Inc","6201 Anglin Dr, Forest Hill, TX 76119",https://www.treeshurttoo.com/about-us,6822031316,info@treeshurttoo.com,,,,,,4.9,157,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/trees.hurt.too/,,,https://www.youtube.com/channel/UCPCHXKihYNmn5sVHZ19pq1A/videos,https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Ftreeshurttooinc%2F,"Tree Service",yellowpages,1,0,0,557933112
,"Tree Shepherds","314 Carlisle Dr Lake Dallas, TX 75065",https://www.treeshepherds.net,9723179598,wecare@treeshepherds.net,,,,,,5,147,5,13,5,27,541,9,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/TheTreeShepherds/,,,https://www.youtube.com/channel/UC0VvBvSPc5HjzBNKH4A1ndw,https://www.instagram.com/tree_shepherds/,"Tree Services",yelp,1,0,0,95545136
,"Tree Services 24/7","Irving, TX 75060",https://www.treeservicestx247.com,2145415945,alcidesmartinez69@gmail.com,,,,,,,,5,1,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Tree Services",yelp,1,0,0,95528427
,"Heart of the Valley Tree Services","2122 W Park Row Dr Fl 1, Arlington, TX 76013",https://www.treeremoval-corvallis.com,5412915564,support@tcpacompliance.co,,,,,,,,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree Service",yellowpages,1,0,0,95544158
,"Tree Pro","Arlington, TX 76013",https://www.treeprotexas.com,6825834606,,,,,,,,,5,1,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree Services",yelp,1,0,0,95547252
,"Tonys Tree Service","3732 Earl St, Fort Worth, TX 76111",https://www.tonystreeservicetts.com/,8172664603,tonystreeservice15@gmail.com,,,,,,5,93,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree service in Fort Worth, Texas",google-places,1,0,0,380440997
,"Timber! Tree Service","7321 W Vickery Blvd, Benbrook, TX 76116",http://www.timbertexas.com,8176375715,timbertexas@gmail.com,,,,,,5,5,,,,,,,,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/timbertexas,https://twitter.com/timbertreeserv,https://www.linkedin.com/company/timber-tree-service?trk=top_nav_home,https://www.youtube.com/user/timbertreeservicetx,,"Tree Services",yelp,1,0,0,95547255
,SpringScapes,"204 Chamberland Ct, Arlington, TX 76001",https://www.springscapestx.com,4698778026,christina.allen@springscapestx.com,,,,,,,,5,2,,,68,,73,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/pg/springscapestx,https://twitter.com/,http://linkedin.com/,,http://instagram.com/,"Irrigation,Landscaping",yelp,1,0,0,92294456
,"Southwest Tree Service","3131 House Anderson Rd, Euless, TX 76040",https://www.southwesttreeservice.net/,8178995577,weservicetrees@gmail.com,,,,,,4.9,69,,,,,193,5,191,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/SouthwestTreeService,,,,,"Tree service in Fort Worth, Texas",google-places,1,0,0,8522094
,"SavATree - Tree Service & Lawn Care","3200 Stuart Dr, Fort Worth, TX 76110",http://savatree.com,8175814502,experts@savatree.com,,,,,,4.9,112,,,,,3681,93,4348,1,1,1,1,0,0,0,0,1,0,https://www.facebook.com/SavATreeHQ/,,https://www.linkedin.com/company/savatree/,https://www.youtube.com/user/naturestrees,https://www.instagram.com/savatree_official/,"Tree service",google,1,0,0,8522673
New,"SavATree - Tree Service & Lawn Care","3200 Stuart Dr, Fort Worth, TX 76110",https://www.savatree.com/fort-worth-tree-service-lawn-care,8175814502,mgalvin@savatree.com,,,,,,4.9,112,,,,,,,,1,1,1,0,0,0,0,0,1,0,https://www.facebook.com/SavATreeHQ/,,https://www.linkedin.com/company/savatree/,https://www.youtube.com/user/naturestrees,https://www.instagram.com/savatree_official/,"Tree Service",yellowpages,1,0,0,557933053
,"Sal's Landscape & Tree Service","1751 River Run Suite 200-31, Fort Worth, TX 76107",https://www.salslandscapetree.com/,8179032500,salstreescape@gmail.com,,,,,,4.8,104,,,,,,,,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/AfforadableTreeTrimming/,,,,,"Tree service in Fort Worth, Texas",google-places,1,0,0,555747979
,"Rudy’s Tree Service","9669 Forest Ln, Dallas, TX 75243",https://www.rudystreeservice.com,2148158728,rudyh702@gmail.com,,,,,,4.7,26,4.7,64,,,227,,227,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/RudyTreeService,,,https://www.youtube.com/channel/UCPAD787ftCtEkYRfxNJbQJQ,https://www.instagram.com/rudystreeservicetx/,"Tree Services,Landscaping",yelp,1,0,0,92296976
,"RJ Tree Service","6428 Meadow Way Ln, Fort Worth, TX 76179",https://www.rj-tree-service.com,2815461965,info.rjtreeservice@gmail.com,,,,,,5,791,,,,,47,,459,1,0,1,0,0,0,0,1,1,0,https://connect.facebook.net/en_US/fbevents.js,,,,https://www.instagram.com/info.rjtreeservice/,"Tree Service",yellowpages,1,0,0,95543956
,"R&G Tree Trimming","Lewisville, TX 75067",https://www.rgtreetrimming.com,4693065633,,,,,,,,,5,3,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree Services",yelp,1,0,0,95531235
,"Ramirez Tree Service","5150 Meadowbrook Dr, Fort Worth, TX 76112",,8177065649,ramireztreeservice4u@gmail.com,,,,,,4.8,93,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree Service,Stump Removal & Grinding",yellowpages,,0,0,331523190
,"RA Landscaping Management","5930 Plum St Ste 144, Watauga, TX 76148",https://www.ra-landscaping.com,8179371876,ra_landscaping@att.net,,,,,,,,,,,,,,152,1,0,0,0,0,0,0,1,1,0,http://www.facebook.com/RandALandscaping,,,,,"Tree Service,Landscape Designers & Consultants,Landscaping & Lawn Services",yellowpages,1,0,0,393725899
,"Quality Tree Service DFW","425 S Shady Shores Rd #25, Denton, TX 76208",http://qualitytreeservicedfw.com,4699084222,qualitytreeservicedfw@gmail.com,,,,,,4.9,127,,,,,185,2,200,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/Qualitylandsca/,,,,https://www.instagram.com/qualitylandscapeandtrees/,"Tree service",google,1,0,0,380443727
,"Purpose Of The Lionz Den Services Lawncare & More","Arlington, TX 76014",https://www.purposeofthelionzden.com,8179939157,,,,,,,,,5,1,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Lawn Services,Gardeners,Tree Services",yelp,1,0,0,95547722
,"Purple Care - Lawn Care & Pest Control Fort Worth","12121 Eagle Mountain Dam Rd, Fort Worth, TX 76135",https://www.purplecare.com/?utm_campaign=gmb,8178039433,sales@purplecare.com,,,,,,,,,,,,,,,1,1,1,0,0,0,0,1,1,1,,,,,,"Tree Service,Gardeners,Pest Control Services",yellowpages,1,0,0,557054836
,"Prichard Tree Care","North Richland Hills, TX 76180",https://www.prichardtreecare.com,8172848307,prichardtreecare@gmail.com,,,,,,5,18,5,3,,,320,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/prichardtreecare,https://twitter.com/care_prichard,https://www.linkedin.com/company/prichard-tree-service/about/,,,"Tree Services,Excavation Services",yelp,1,0,0,95546848
,"Price Right Professional Landscaping & Tree Service","2227 White Ln, Haslet, TX 76052",https://pricerighttrees.com/,8172904874,info@pricerighttrees.com,,,,,,4.9,284,,,,,986,,1100,1,1,0,1,0,0,0,1,1,1,https://www.facebook.com/pricerighttrees,,https://www.linkedin.com/company/price-right-tree-service/,,https://www.instagram.com/pricerighttrees/,"Tree service in Haslet, Texas",google-places,1,0,0,76204927
