status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"Vaqueros Tree Service","34738 Ave 15, Madera, CA 93636",https://www.vaquerostreeservice.com,9163975214,vaquerostreeservice.com@wix-domains.com,,3,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree Services",yelp,1,0,0,96090368
,"Ultimate Landscape and Tree Service","Fresno, CA 93722",https://www.ultimatelandscapeservices.com,5597764382,rosie.ultimatelawnsrv@gmail.com,4.7,35,4.3,39,,,368,,399,1,1,1,1,0,0,0,1,1,0,https://www.facebook.com/ultimatelandscapeandtree,,,https://www.youtube.com/channel/UCrpw0--yDT9aHwrdzbULV8g,https://www.instagram.com/ultimatelandscapingfresno,"Landscaping,Irrigation,Tree Services",yelp,1,0,0,93641174
,"Trinity Tree Service","1741 S 5th St, Fresno, CA 93702",https://www.trinitytreeservice.biz/,5597700299,ulimontez@trinitytreeservice.biz,5,39,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,,bing,1,0,0,534433138
,"RS tree service","Clovis, CA 93612",https://www.treeservicers.com,5593898851,treeservicers@gmail.com,5,6,5,5,,,,,,1,0,0,0,0,0,0,0,1,0,https://www.google.com/url?q=https%3A%2F%2Fwww.facebook.com%2Fprofile.php%3Fid%3D100088329351938%26mibextid%3DZbWKwL&sa=D&sntz=1&usg=AOvVaw23w_epk8SxpIIX0nv-k7Ns,,,,https://www.google.com/url?q=https%3A%2F%2Finstagram.com%2Frs_tree_service%3Figshid%3DYmMyMTA2M2Y%3D&sa=D&sntz=1&usg=AOvVaw2y_umwYWcidjX0qoMiuxPB,"Tree Services",yelp,1,0,0,96085358
,"Garcia Brothers Tree Service","Fresno, CA 93703",https://www.treeservicefresnoca.com,5596532594,alondra.rodriguez21@yahoo.com,2.5,2,1,1,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree Services",yelp,1,0,0,96088672
,"Tree Service Fresno","704 H St, Fresno, CA 93721",http://treeservicefresno.net,5598250045,sales@treeservicefresno.net,4.3,27,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,,google,1,0,0,8557109
,"Travis Tree Service","6780 E Cornell Ave, Fresno, CA 93727",http://www.travistreeserviceinc.com/,5597201384,travishensley85@yahoo.com,4.8,110,,,,,,,248,1,1,0,0,0,0,0,0,1,0,https://facebook.com/TravisTreeServices,,,,,"Tree service in Fresno, California",google-places,1,0,0,8557076
,"The Landscaping Masters Inc.","4985 E Dakota Ave, Fresno, CA 93727",https://www.thelandscapingmasters.com/,5598999053,thelandscapingmasters@gmail.com,4.7,33,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,https://instagram.com/thelandscapingmasters,"Landscaper in Fresno, California",google-places,1,0,0,39285033
,"Ashe Tree Termite Removal Experts","1931 G St, Fresno, Ca 93706",https://www.termitefresno.com/,5592065387,support@tcpacompliance.co,4.5,6,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,,bing,1,0,0,96088302
,"Specialty Landscape Inc.","4669 E Hedges Ave Suite A, Fresno, CA 93703",https://www.specialtylandscapeinc.com/,5599052273,specialtylandscapeinc@gmail.com,4.7,43,,,,,272,4,281,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/Specialty-Landscape-Inc-100500381684538/,,,,,"Landscaper in Fresno, California",google-places,1,0,0,230557904
,"Rogers Tree Service & Landscape","Kingsburg, CA 93631",https://www.rogerstreeserviceandlandscape.com,5598560445,rogerstreeeservice@gmail.com,5,6,5,7,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree Services,Lawn Services",yelp,1,0,0,93640863
,"Purchase Green Artificial Grass","5425 E Home Ave Ste 109 Fresno, CA 93727",https://www.purchasegreen.com/locations/fresno-ca/?utm_source=extnet&utm_medium=organic,5592069002,info@purchasegreen.com,5,24,4.8,13,,,,,,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/PurchaseGreen,https://twitter.com/PurchaseGreen,,https://www.youtube.com/user/PurchaseGreen/,https://www.instagram.com/purchase_green/,"Artificial Turf,Landscaping",yelp,1,0,0,93641457
,"Prados Landscaping & tree Service","Merced, CA 95348",https://www.pradoslandscapingandtreeservice.com,2097202570,,,,4.7,17,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree Services",yelp,1,0,0,96085365
,"Platinum Lawn Care","Fresno, CA 93726",https://www.platinumlawncare.org,5592163056,,3.9,96,5,1,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Lawn Services,Tree Services",yelp,1,0,0,96089318
,"Moon’s Lawn Service","Fresno, CA 93704",https://www.moonslawnservice-fresno.com,5593160210,,5,2,,,,,,,,1,0,0,0,0,0,0,0,1,0,,,,,,"Gardeners,Landscaping,Tree Services",yelp,1,0,0,96089316
,"Maldonado Brothers Tree Service","3787 W Bullard Ave Fresno, CA 93711",https://maldonadobrothers.com,5599947746,mbinc@maldonadobrothers.com,4.9,196,4.4,51,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/MaldonadoBrothers/,,,,https://www.instagram.com/maldonado.brothers/,"Tree Services",yelp,1,0,0,96084931
,"Martinez Landscaping &amp; Lawn Service","Serving theFresno Area",https://www.martinezlandscapeservice.com/contact-us,5592855216,,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Gardeners,Tree Service,Lawn Maintenance",yellowpages,1,0,0,96086033
,"Martinez Landscaping & Tree Service","Fresno, CA 93727",https://www.martinezlandscapeservice.com,5598250785,,,,1,2,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/sharer.php?u=https%3A%2F%2Fwww.martinezlandscapeservice.com%2Fdirections%2F,,,,,"Landscaping,Tree Services,Fences & Gates",yelp,1,0,0,96088682
,"Gomez Tree Service","3657 W Olive Ave, Fresno, CA 93722",https://www.gomeztreecare.com/,5594432093,gomez1treecare@gmail.com,5,8,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree service in Fresno County, California",google-places,1,0,0,561891591
,"Forrest Wood Tree Service","10490 E Cedarwood Ct, Clovis, CA 93619",https://www.forrestwoodtreeservice.com/,5593923943,forrestwoodtreeservice@gmail.com,5,5,,,,,,,,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/profile.php?id=100084841991616,,,,https://www.secure.instagram.com/forrestwoodtreeservice/,"Tree Service",yellowpages,1,0,0,96086159
,"Edward Tree Service","Fresno, CA 93726",https://www.edwardtreeservice.com,5593041592,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree Services,Landscaping",yelp,1,0,0,96090372
,"Cordova’s Tree Service","2677 Omaha Ave Clovis, CA 93619",https://www.cordovastreeservice.com,5593512624,cordovatree@gmail.com,5,66,4.4,12,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/CordovaTree/?ref=aymt_homepage_panel,,,https://www.youtube.com/channel/UCMq337NM4vh75QqQEv3v_Pg,https://www.instagram.com/cordovatree/,"Tree Services",yelp,1,0,0,96085360
,"Cardinal Tree Service","Reedley, CA 93654",https://www.cardinaltrees.com,5596383345,cardinaltrees@gmail.com,4,5,5,3,,,,,110,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/plugins/like.php?href=http%3A%2F%2Fwww.cardinaltrees.com&amp,,,,,"Tree Services",yelp,1,0,0,96085361
,"By the Ash Tree Consulting","2641 N Farris Ave, Fresno, CA 93704",https://www.by-the-ash-tree-cons.com/,5593603970,bytheashtreeconsulting@gmail.com,5,3,,,,,,,,1,0,0,0,0,0,0,1,1,0,https://www.facebook.com/profile.php?id=61557791270424,,,,https://www.instagram.com/by_the_ash_tree_consulting/,"Arborist service in Fresno, California",google-places,1,0,0,534436293
,"BrightView Landscapes","5213 E Pine Ave, Fresno, CA 93727",https://www.brightview.com/local/fresno-ca/landscape-services,5594531670,brightviewsupport@brightview.com,2.4,14,,,,,21512,246,24000,1,1,1,0,0,0,0,1,1,0,https://www.facebook.com/BrightView,https://twitter.com/brightview,https://www.linkedin.com/company/brightview-landscape,https://www.youtube.com/c/brightview,,"Landscaper in Fresno, California",google-places,1,0,0,462659332
,"Work of Art Landscape","1111 W Houston Ave Visalia, CA 93291",https://workofartlandscape.com,5597391489,workofartlandscape@gmail.com,,,3.5,6,,,,,,1,0,0,0,0,0,0,0,0,0,,,,,,"Landscaping,Irrigation,Landscape Architects or Designers",yelp,1,0,0,93640851
,"West Coast Tree Service","Farmersville, CA 93223",https://westcoasttreeservice.com,5597366994,info@westcoasttreeservice.com,5,8,2.8,4,,,,,74,1,0,0,0,0,0,0,1,1,1,https://www.facebook.com/westcoasttreeservice,https://twitter.com/westcoast_tree,,,https://www.instagram.com/westcoasttreeservice,"Tree Services",yelp,1,0,0,96089177
,"Osier Advanced Tree &amp; Yard","Serving theFresno Area",https://treeservicesinusa.com/tree-services-fresno-california/,5598758512,american.arbor01@gmail.com,5,7,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree Service",yellowpages,1,0,0,96086220
,"Alcazar Tree Service","5005 E Clay Ave, Fresno, CA 93727",https://treeservicefresno-ca.com,5596481205,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,yelp,1,0,0,96089180
,"Mendez Tree Service",,,5595547393,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree services",bing,,0,0,96088373
,"SWG Trees","1865 Herndon Ave, Clovis, CA 93611",https://swgtrees.com,5593238139,,,,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/swg.trees,https://twitter.com/JillSWG,,,,"Tree Service",yellowpages,0,0,0,96086700
,"Tony's Tree Service#1","211 E Alhambra Ave, Fresno, Ca 93728",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gqVnQnMLictiHVcHf8MmRQ&cb_client=search.gws-prod.gps&w=211&h=120&yaw=1.0973496&pitch=0&thumbfov=100,5593676461,nrobert@broofa.com,3,2,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,,bing,1,0,0,96088176
,"Santos Lawn, Tree & Cleaning Services","3324 E Nevada Ave, Fresno, Ca 93702",https://santos-lawn-tree-cleaning-services.business.site/,5594557418,,,,,,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,,"Lawn service",bing,1,0,0,96088038
,"Sago Max","Fresno, CA 93720",https://sagomax.com,5596964196,max@sagomax.com,,,3.7,3,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/sagomaxfresno/,,,,https://www.instagram.com/sagomaxfresno/,"Landscaping,Tree Services",yelp,1,0,0,96089172
,"R&D Tree Service","Turlock, CA 95380",https://rndtreeservices.com,2096348863,rndroberth@gmail.com,4.5,96,4.1,24,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/106157038650413,,,,,"Tree Services",yelp,1,0,0,96085287
,"OWO Landscaping","Fresno, CA 93704",https://owolandscaping.com,5595528110,office@owolandscaping.com,5,2,4.8,6,,,415,,420,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/owolawnservices,,,,https://www.instagram.com/owolandscaping,"Landscaping,Artificial Turf",yelp,1,0,0,93118506
,"MUNDO'S LANDSCAPING & DEMOLITION CORP","4407 E Olive Ave Apart # 101, Fresno, CA 93702",https://mundoslawnservice.com/,5593962493,info@mundoslawnservice.com,5,11,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Landscaper in Fresno, California",google-places,1,0,0,39285199
,"Mejia tree service","949 E Dakota Ave, Fresno, CA 93704",,5595413959,,5,2,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree service in Fresno, California",google-places,,0,0,534434441
,"MC Tree Trimming Service","Fresno, CA 93727",https://mctreetrimming.com,5593495504,amkryukov@gmail.com,,,,,,,,,,1,0,0,0,0,0,0,1,1,0,https://www.facebook.com/110979442020528,,,,,"Tree Services",yelp,0,0,0,96087557
,"Weed Man","3164 N Marks Ave Ste 109 Fresno, CA 93722",https://madera.weedman.com,5592661661,info@weedmancanada.com,,,5,1,,,166,,196,1,1,1,0,0,0,0,0,1,0,https://connect.facebook.net/en_US/fbevents.js,https://twitter.com/weedmanusa,https://www.linkedin.com/company/weed-man-usa,http://www.youtube.com/weedmanlawncareusa,https://www.instagram.com/weedman_usa/,"Lawn Services,Pest Control",yelp,1,0,0,96090065
,"Lopez Landscaping","Fresno, CA 93703",https://lopezalandscapingcorp.com,5593138096,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Landscaping,Tree Services,Irrigation",yelp,1,0,0,96089312
,"Landmark Tree Care","4460 W Shaw Ste 437 Fresno, CA 93720",https://landmarktreecareca.com,5599603772,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree Services",yelp,1,0,0,96085559
,"Kennedy's Pro tree service","4029 E Brown Ave, Fresno, CA 93703",https://kennedy-s-pro-cuts.ueniweb.com/#contact_us,5596142759,peter.kennedy600@gmail.com,5,9,,,,,,,,1,1,1,0,0,0,0,1,1,0,https://www.facebook.com/share.php?u=https%3A%2F%2Fkennedy-s-pro-cuts.ueniweb.com&title=Kennedy%27s+Pro+Cuts,https://twitter.com/intent/tweet?text=Kennedy%27s+Pro+Cuts&url=https%3A%2F%2Fkennedy-s-pro-cuts.ueniweb.com,,,,"Tree services",bing,1,0,0,96088597
