status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"William Tree Services","10418 Crescent Moon Dr, Houston, TX 77064",http://williamtreeandfence.com,8323852056,williamtreeservice@gmail.com,4.9,18,,,,,66,,99,0,0,0,0,0,0,0,1,1,0,,,,,,"Tree service",google,1,1,0,198853467
,"Wilber's Tree Service","5024 Breen Dr, Houston, TX 77086",https://www.wilberstreeservices.com/,7135453677,,5,73,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,https://www.instagram.com/wilbertreeservice/,"Tree service in Harris County, Texas",google-places,1,0,0,407375380
,"Valerio's Tree Service & More","6305 Wedgefield St, Houston, TX 77028",http://valeriostreeserviceandmore.com,8327872221,putocito@gmail.com,4.8,68,,,,,,,,1,1,0,1,0,0,0,1,1,1,https://connect.facebook.net/en_US/fbevents.js,https://twitter.com/valeriotreeserv,"http://www.linkedin.com/shareArticle?mini=true&url=https://www.valeriostreeserviceandmore.com/&title=Home&summary=  Hola, Valerio's Tree Services and more is a team of professionals for Houston Tree Removal, Houston Tree Trimming, Houston Stump Grinding ",https://www.youtube.com/channel/UCniJRLTgpH6WBn2jujSQetg?view_as=subscriber,https://www.instagram.com/valeriostreeservice/,"Tree service",google,1,0,0,8512370
,"Valerio's Tree Service & More","6305 Wedgefield St, Houston, TX 77028",https://www.valeriostreeserviceandmore.com/service/tree-trimming/,8327872221,valeriostreeservice814@gmail.com,4.8,68,,,,,,,233,0,0,0,0,0,0,0,1,1,0,,,,,,,bing,1,0,0,95537698
New,"Reflexology & Triple Tree Center","10623 Bellaire Blvd, Houston, TX 77072",https://www.tripletreecenter.com/about,2815683300,tripletreecenter@att.net,4.7,252,,,,,,,,1,0,0,0,0,0,0,1,1,1,,,,,,"Tree Service",yellowpages,1,0,0,554944496
,"Tree Worxx","448 W 19th St #557, Houston, TX 77008",http://treeworxx.com,8326057474,,4.8,28,,,,,654,7,649,1,1,0,1,0,0,0,0,1,0,http://www.facebook.com/treeworxxservices,,,https://www.youtube.com/channel/UCAVGTXuRGrCn9VwM5RngoUA?sub_confirmation=1,https://www.instagram.com/treeworxx,"Tree service",google,1,0,0,6366974
,"My Trees Houston","1002 W 43rd St, Houston, TX 77018",https://www.treesforhouston.org/,8324498733,martha@treesforhouston.org,5,4,,,,,,,,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/TreesForHouston,,,,https://www.instagram.com/treesforhouston/,"Tree services",bing,1,0,0,95538818
,"Tree Service of Houston","Houston, TX 77019",https://www.treeserviceofhoustontexas.com,7138047608,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree Services",yelp,1,0,0,95530364
,"Garrett Tree Services","12320 Barker Cypress Rd Cypress, TX 77429",https://www.treeservicebygarretttx.com,2817462442,garretttreeservice@gmail.com,4.9,48,4.8,32,,,12,,16,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/Garrett-Tree-Service-651114128553675/,,,,,"Tree Services",yelp,1,0,0,95209776
,"Nature’s Tree Removal of Houston","8300 Farm to Market 1960 Rd W Ste 450 Houston, TX 77070",https://www.treeremovalnearmehouston.com,7138249036,info@treeremovalnearmehouston.com,4.9,221,5,3,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree Services",yelp,1,0,0,95530202
,"Tree Care Professional","2422 Walcott Ln, Houston, TX 77088",https://www.treecareprohouston.com/,2819627104,ftreeservice@gmail.com,4.8,85,,,,,,,,1,1,1,0,0,0,0,1,1,0,https://facebook.com/542100582618179,https://twitter.com/treecareprofes1,,https://youtube.com/channel/uckxuxbkcobsj3_djdrxnzcq,https://instagram.com/treecareprofessional,"Tree service in Houston, Texas",google-places,1,0,0,546617658
,"Texas Tree Trimming","Serving theHouston Area",https://www.texastreetrimmingco.com,8327369777,ericcaptain64@gmail.com,,,,,,,617,,607,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree Service",yellowpages,1,0,0,95538189
,"Texas Tree Cutters LLC","2609 Chamberlain St, Houston, TX 77093",https://www.texastreecutters.com/contact,8329818733,texastreecuttersllc@gmail.com,5,3,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/Texastreecuttersllc,,,,https://www.instagram.com/texastreecuttersllc/,"Tree service in Harris County, Texas",google-places,1,0,0,420741417
,"Texas Tree Care","9603 Largs Dr, Spring, TX 77379",http://texastreecare.net,8327419033,texastreecare55@gmail.com,5,78,,,,,150,,183,1,1,0,0,0,0,0,0,1,0,https://facebook.com/TexasTreeCare,https://twitter.com/TexasTreeCare,https://linkedin.com/in/texastreecare,https://youtube.com/@TexasTreeCare,https://instagram.com/texastreecare,"Tree service",google,1,0,0,209050547
,"Texas Castro Landscaping LLC","6658 Thornwall St., Houston, TX 77092",https://www.texascastrolandscapingllc.com,8328899786,texascastrolandscaping@gmail.com,4.8,109,,,,,,,79,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/pages/category/Community/Texas-Castro-Landscaping-llc-774101492653307/,,,,,"Tree Service,Landscaping & Lawn Services",yellowpages,1,0,0,106619287
,"Tejas Tree Team","17311 Jui Ln Magnolia, TX 77355",https://www.tejastreeteam.com,8325128836,tejastreeteam@gmail.com,4.5,22,5,4,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree Services",yelp,1,0,0,95530561
,"Steve’s Trees","Houston, TX 77084",https://www.stevestreesllc.com,8329987045,steve@stevestreesllc.com,5,2,4.9,10,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Tree Services",yelp,1,0,0,95528072
,"SavATree - Tree Service & Lawn Care","336 McFarland Rd, Houston, TX 77060",http://savatree.com,7136948898,experts@savatree.com,4.6,235,,,,,4276,106,4900,1,1,1,1,0,0,0,0,1,0,https://www.facebook.com/SavATreeHQ/,,https://www.linkedin.com/company/savatree/,https://www.youtube.com/user/naturestrees,https://www.instagram.com/savatree_official/,"Tree service",google,1,0,0,28961130
,"SavATree - Tree Service & Lawn Care","336 McFarland Rd, Houston, TX 77060",https://www.savatree.com/locations/houston-texas/?utm_source=GMB&utm_medium=organic&utm_campaign=houston,7136948898,sjensen@savatree.com,4.6,235,,,,,4276,106,4900,1,1,1,1,0,0,0,0,1,0,https://www.facebook.com/SavATreeHQ/,,https://www.linkedin.com/company/savatree/,https://www.youtube.com/user/naturestrees,https://www.instagram.com/savatree_official/,"Tree service in Aldine, Texas",google-places,1,0,0,337691790
New,"SavATree - Tree Service & Lawn Care","336 Mcfarland Rd, Houston, TX 77060",https://www.savatree.com/houston-tree-service,7136948898,mgalvin@savatree.com,4.6,226,,,,,4276,106,4900,1,1,1,1,0,0,0,0,1,0,https://www.facebook.com/SavATreeHQ/,,https://www.linkedin.com/company/savatree/,https://www.youtube.com/user/naturestrees,https://www.instagram.com/savatree_official/,"Tree Service",yellowpages,1,0,0,554944477
New,"RUFUS TREE INC.","705 E Wellington St, Houston, TX 77076",https://www.rufustreeinc.com/,7136954239,e.jaimes@rufustreeinc.com,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,https://www.facebook.com/RufusTreeInc,,,https://www.youtube.com/channel/UCuZHOGNzqU-RDNog57T8k3g,,,google-places,1,0,0,554945796
,"Rodriguez Tree Service","1514 Hartwick Rd, Houston, Tx 77093",https://www.rodrigueztree-service.com/,2816505799,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree services",bing,1,0,0,95538758
,"Richter's Service Inc","1859 Cheshire Ln, Houston, TX 77018",https://www.richtersservicesinc.com/contact,7136825296,steve@richtersservicesinc.com,,,,,,,,,3,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/Richters-Services-Inc-102806312587584/,,,,,"Tree Service,Arborists",yellowpages,1,0,0,106619456
,"RF Tree Service","2102 Delery Dr, Houston, TX 77055",https://www.rftreeservice.com,7132695892,info@rftreeservice.com,,,4.8,98,,,192,10,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/534058110075834,,,https://www.youtube.com/watch?v=82ryqhxh0NU,https://www.instagram.com/rftreeservice,"Tree Services",yelp,1,0,0,95527917
,"Perez Tree Services","Houston, TX 77080",https://www.pereztreesservices.com/p%C3%A1gina-principal,2816910591,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree Services",yelp,1,0,0,95531702
,"Once A Tree","1525 N Post Oak Rd, Houston, TX 77055",https://www.onceatreeus.com,8329961083,ig.onceatree@gmail.com,4.8,84,,,,,,,,1,1,1,0,0,0,0,0,1,0,https://www.facebook.com/onceatreehtx/,,,https://www.youtube.com/channel/UCrErcCF147hBoaGZ9fZ72sA,https://www.instagram.com/onceatreehtx/,"Tree Service",yellowpages,1,0,0,95537337
,"Nature Springs Landscaping","702 W Sawyer St, Houston, TX 77007",https://www.naturespringslandscaping.com,8324551383,naturespringlandscaping@gmail.com,,,,,,,41,,71,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/p/Nature-Springs-Landscaping-61562707596944/,,,,https://www.instagram.com/naturespringslandscaping/,"Landscape Contractors,Landscaping & Lawn Services,Lawn Maintenance",yellowpages,1,0,0,491936597
,"Monster Tree Service of West Houston","1300 W Sam Houston Pkwy S, Houston, TX 77042",https://www.monstertreeservice.com/west-houston,2818016312,privacyofficer@authoritybrands.co,,,,,,,,,,1,1,1,0,0,0,0,1,1,0,,,,,https://www.instagram.com/monstertreeservices/,"Tree Service",yellowpages,1,0,0,441598463
,"Monroy Landscaping","Houston, TX 77053",https://www.monroylandscape.com,8328053514,monroyservices10@gmail.com,5,6,4.4,13,,,,,,1,0,0,0,0,0,0,0,1,0,,,,,,"Landscaping,Tree Services,Fences & Gates",yelp,1,0,0,95533497
,"Love Ur Trees","2609 Delafield St, Houston, TX 77023",https://www.loveurtrees.com/,7135397936,loveurtrees@gmail.com,5,3,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,https://www.instagram.com/loveurtrees1/?next=%2F,"Tree service in Houston, Texas",google-places,1,0,0,491939509
New,"Houston Tree & Demolition Services","9219 Montford Dr, Houston, TX 77099",https://www.localdemolitionservices.com,7138226966,info@localdemolitionservices.com,5,4,,,,,341,,356,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/HoustonTreeDemolitionServices,,,,,"Tree Service",yellowpages,1,0,0,554944503
,"Lilie's Landscaping","Houston, TX 77065",https://www.liliesdidit.com,8328839177,lavila@liliesdidit.com,,,,,,,83,,81,1,1,0,0,0,0,0,1,1,0,facebook.com/liliesdidit/,,,,,"Tree Service,Landscape Contractors,Landscaping & Lawn Services",yellowpages,1,0,0,106619700
,"LHD Tree Service","13403 Ann Louise Rd Houston, TX 77086",https://www.lhdtreecare.com,2818205343,lhdtreeservice@live.com,5,3,5,1,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/LHD-BTS-Tree-Services-599414923488310/,,,,,"Tree Services",yelp,0,0,0,95533496
,"Jireh Tree’s & Landscaping","8100 Cypresswood Dr, Spring, TX 77379",https://www.jtreeservice.com,8324049500,customer@jtreeservice.com,4.6,10,3.8,10,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/JirehTreesandLandscaping,,,https://www.youtube.com/@jirehtrees9869,,"Tree Services,Lawn Services,Landscape Architects or Designers",yelp,1,0,0,95529454
,"JRP Tree Services","13322 Chimney Sweep Dr, Houston, TX 77041",http://jrpservices.net,2818208027,oscar@jrpservices.net,4.8,98,,,,,,,,1,1,1,0,0,0,0,1,1,1,https://connect.facebook.net/en_US/sdk/xfbml.customerchat.js,https://twitter.com/JRP_Services,https://www.linkedin.com/company/4803582?trk=tyah&trkInfo=tarId1414178336296tasjrpidx2-1-6,https://www.youtube.com/channel/UCDwP8Mfp9lAB3asqx68foxA,,"Tree service",google,1,0,0,508818144
,"JRP Tree & Demolition Services","3321 Almeda Genoa Rd, Houston, TX 77047",http://jrpservices.net/,2818203915,reynaldo@jrpservices.net,4.8,161,,,,,,15,747,1,1,1,0,0,0,0,1,1,1,https://connect.facebook.net/en_US/sdk/xfbml.customerchat.js,https://twitter.com/JRP_Services,https://www.linkedin.com/company/4803582?trk=tyah&trkInfo=tarId1414178336296tasjrpidx2-1-6,https://www.youtube.com/channel/UCDwP8Mfp9lAB3asqx68foxA,,"Tree service in Houston, Texas",google-places,1,0,0,34827045
,"Joya Tree Service","4905 Fisk St, Houston, TX 77009",https://www.joyatreeservice.com/,7138368336,joyatreehouston@gmail.com,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Nursery & gardening",bing,1,0,0,95538511
,"Jones Road Tree Service","11620 Jones Rd, Houston, TX 77070",http://jonesroadtreeservice.com,2814690458,office@jonesroadtreeservice.com,4.7,575,,,,,3979,93,,1,1,1,0,0,0,0,1,1,1,,,,,https://www.instagram.com/jonesroadtreeservice/?hl=en,"Tree service",google,1,0,0,8512304
,"JNE Tree Services","226 Airway Dr Houston, TX 77037",http://www.jnetreeservicespreservation.com/index.php,8327295826,antonio@jnetreeservicespreservation.com,1,2,3.8,6,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/JNE-Tree-Services-1752853831479004/,,,,,"Tree Services",yelp,0,0,0,95532039
,"Houston Tree Surgeons","2726 Bissonnet St, Houston, TX 77005",http://houstontreesurgeons.com,2818159088,office@houstontreesurgeons.com,4.7,73,,,,,111,,117,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/Houston-Tree-Surgeons-722046374585563/,https://twitter.com/arboristhouston,,,,"Tree service",google,1,1,0,8512491
,"Houston Tree Service Team","17226 E Sugar Meadow Dr, Houston, TX 77090",http://houstontreeserviceteam.com,7138935522,houstontreeserviceteam@yahoo.com,5,6,,,,,158,2,168,1,1,0,0,0,0,0,1,1,0,https://facebook.com/159215754755787,,https://www.linkedin.com/company/houston-tree-service-team,,,"Tree service",google,1,0,0,470361630
,"H&H Escobar Property Services","1333 Fm 1462, Rosharon, TX 77583",https://www.hhpstx.com,3465532530,sales@hhpstx.com,4.8,91,4.1,23,,,,,,1,1,0,0,0,0,0,0,1,0,,,https://www.linkedin.com/in/hubert-escobar-b223a6186,https://www.youtube.com/channel/UCMW1xFetvSygoQjP7ESaCeQ,https://www.instagram.com/hh_propertyservices/,"Tree Services,Landscape Architects or Designers,Artificial Turf",yelp,1,0,0,95528171
,"MVS Tree Service","3513 Hopper Rd, Houston, TX 77093",https://www.gstatic.com/images/branding/product/1x/googleg_48dp.png,8328829419,,5,1,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Landscape Contractors,Tree Service,Landscape Designers & Consultants",yellowpages,1,0,0,106619904
,"HRH Tree &amp; Landscaping Services","10510 Tenneta Dr, Houston, TX 77099",https://www.gstatic.com/images/branding/product/1x/googleg_48dp.png,7135183078,,5,1,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,https://www.linkedin.com/company/scott-bros.-power-limited,,,"Tree Service",yellowpages,1,0,0,95537459
,"Green Springs Landscape","2002 Timberloch Pl, Ste 200 The Woodlands, TX 77380",https://www.gslandscape.net,8006746191,info@gslandscape.net,4.3,12,4.1,14,,,,,,1,0,0,0,0,0,0,1,1,0,"https://www.facebook.com/iPage/\",,,,,,yelp,1,0,0,95529922
,Green Days Lawn Care""","8815 Birdwood Rd, Houston, TX 77054",https://www.greendayslawncare.com,8327884859,texasgreendayslawncare@gmail.com,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree Service,Landscaping & Lawn Services",yellowpages,1,0,0,106619653
,"Gomez Trees & Landscaping Corp","8532 Northern St, Houston, TX 77071",https://www.gomeztreesandlandscaping.net/,7137797511,gomeztrees@yahoo.com,4.8,133,,,,,242,4,283,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/gomeztrees/,,,,,"Tree service in Houston, Texas",google-places,1,0,0,34558541
,"Espinoza Tree Service","626 Dunkley Dr Houston, TX 77076",https://www.espinozatreeserviceinc.com,2814059822,espinozatree@gmail.com,4.8,20,4.6,11,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Tree Services",yelp,1,0,0,95530219
,"Dream Tree Family","5757 Ranchester Dr, Houston, TX 77036",https://www.dreamtreefamily.com,7139888833,customerservice@dreamtreefamily.com,,,,,,,1399,483,1400,1,0,0,0,0,0,0,0,1,0,https://www.facebook.com/DreamTreeFamilyOfficial,https://www.twitter.com/DreamTreeFam,,https://www.youtube.com/DreamTreeFamily,https://www.instagram.com/DreamTreeFamilyOfficial,"Tree Service",yellowpages,1,0,0,198842254
,"Don’s Tree Service","5806 Maple St Houston, TX 77074",https://www.DonsTrees.com,7137743330,corky@donstrees.com,4.7,11,3.9,12,,,,,,1,0,0,0,0,0,0,0,0,0,,,,,,"Tree Services",yelp,1,0,0,95528625
,"The Davey Tree Expert Company","1653 Oak Tree Dr, Houston, TX 77080",http://davey.com,7139656278,info@davey.com,3.5,82,,,,,19921,,22000,1,1,1,1,0,0,0,1,1,0,https://www.facebook.com/DaveyTree,https://twitter.com/DaveyTree,http://www.linkedin.com/company/the-davey-tree-expert-company,http://www.youtube.com/user/DaveyTreeExpertCo,https://instagram.com/DaveyTree/,"Tree service",google,1,0,0,8513654
,"Cross States Landscape","Houston, TX 77082",https://www.crossstateslandscape.com,2812356626,crossstates2019@gmail.com,,,,,,,5,,10,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/crossstateslandscape,,,,,"Tree Service,Landscaping & Lawn Services,Sod & Sodding Service",yellowpages,1,0,0,131133462
,"CJ’s Tree Service","Beaumont, TX 77708",https://www.cjstreecare.com,4099342186,,4.7,18,3.3,3,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree Services",yelp,1,0,0,95529749
,"C.I.R Tree Service","15414 W Ritter Cir, Houston, TX 77071",http://cirtreeservices.com,7132402130,xavieraleman88@yahoo.com,4.8,49,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Tree service",google,1,0,0,8512550
New,"Cheapway Tree Service & Landscaping","506 Gateship Dr, Houston, TX 77073",https://www.cheapwaytreeservices.com,8327993811,cheapwaytreeservice832@gmail.com,2.8,9,,,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,,"Tree Service",yellowpages,1,0,0,554944509
,"BrightView Landscape","14006 Reeveston Rd, Houston, TX 77039",https://www.brightview.com/local/houston-tx/landscape-services,8322436067,brightviewsupport@brightview.com,4,10,,,,,21512,246,24000,1,1,1,0,0,0,0,1,1,0,https://www.facebook.com/BrightView,https://twitter.com/brightview,https://www.linkedin.com/company/brightview-landscape,https://www.youtube.com/c/brightview,,"Tree Service,Landscape Designers & Consultants,Landscaping Equipment & Supplies",yellowpages,1,0,0,106620067
,"Boni’s Tree Service & Stump Grinding","Dickinson, TX 77539",https://www.bonistreeservice.com,2815083373,bonisanic1983@gmail.com,4.9,11,4,2,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree Services,Lawn Services,Fences & Gates",yelp,1,0,0,95532574
,"B & G Tree Service Inc","4901 Milwee St, Houston, TX 77092",https://www.bgtreeserviceinc.com,2817314032,,5,4,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Tree Service,Landscape Contractors",yellowpages,1,0,0,542696797
,"Bartlett Tree Experts - The Woodlands, TX","Spring, TX 77386",https://www.bartlett.com/locations/the-woodlands-tx.cfm?utm_source=yp&utm_medium=cpc&utm_campaign=IYP_MLP,3464786353,lfeilmeier@bartlett.com,1,2,,,,,,,,1,1,0,0,0,0,0,1,1,1,,http://twitter.com/BartlettTreeExp,https://www.linkedin.com/company/bartlett-tree-experts,https://www.youtube.com/user/BartlettTreeExperts,https://www.instagram.com/lifeatbartlett/?hl=en/,"Landscape Contractors,Landscaping & Lawn Services,Tree Service",yellowpages,1,0,0,536342979
,"Bartlett Tree Experts - Houston, TX","5612 Mitchelldale St, Houston, TX 77092",https://www.bartlett.com/locations/houston-tx.cfm?utm_source=yp&utm_medium=cpc&utm_campaign=IYP_MLP,2814071447,houstonoffice@bartlett.com,3.9,42,,,,,,,,1,1,0,0,0,0,0,1,1,1,,http://twitter.com/BartlettTreeExp,https://www.linkedin.com/company/bartlett-tree-experts,https://www.youtube.com/user/BartlettTreeExperts,https://www.instagram.com/lifeatbartlett/?hl=en/,"Landscape Contractors,Landscaping & Lawn Services,Landscape Designers & Consultants",yellowpages,1,0,0,544923292
,"Bartlett Tree Experts","6113 Gardendale Dr, Houston, TX 77092",http://bartlett.com,7136926371,bfletcher@bartlett.com,3.9,40,,,,,9379,,,1,1,0,0,0,0,0,1,1,1,,http://twitter.com/BartlettTreeExp,https://www.linkedin.com/company/bartlett-tree-experts,https://www.youtube.com/user/BartlettTreeExperts,https://www.instagram.com/lifeatbartlett/?hl=en/,"Tree service",google,1,0,0,8513371
,"Ask 4 Eddie Tree Service","Richmond, TX 77406",https://www.ask4eddietreeservice.com,8329330261,,2.3,9,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Tree Services",yelp,1,0,0,95533183
,"Adolfo’s Tree Services","The Woodlands, TX 77381",https://www.adolfostreeservice.com,2818710090,stumpgrindinghtx@yahoo.com,,,4.3,6,,,688,2,731,1,0,0,0,0,0,0,1,1,0,,,,,,"Tree Services",yelp,1,0,0,95529923
