status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"On Point Lawn Care","887 E Main St Ste 230, Greenwood, IN 46143",https://www.youronpointlawn.com,3176689908,,4.9,50,,,,,,,,1,0,0,0,0,0,0,0,1,0,https://www.google.com/url?q=https%3A%2F%2Fwww.facebook.com%2FOnPointLawnCareIndy&sa=D&sntz=1&usg=AOvVaw0z7es8Gfacrl6i_A2JO0He,,,,,"Tree Service,Gardeners",yellowpages,1,0,0,524490978
,"Xanderbuilt Tree Care","820 E Main St, Westfield, IN 46074",https://www.xanderbuilt.net/,3178488885,office@xanderbuilt.net,5,40,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree service in Westfield, Indiana",google-places,1,0,0,8525212
New,"We Care Tree Service","385 S Franklin Rd, Indianapolis, IN 46219",http://wecaretreeserviceindy.com,3172248765,info@wecaretreeserviceindy.com,4.9,41,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://connect.facebook.net/en_US/fbevents.js,,,,,"Tree service",google,1,0,0,559711716
,"David's Tree Services","2549 S Delaware St, Indianapolis, IN 46225",https://www.webdesignindianapolis.net,3175001326,,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/webdesignindy/,https://www.twitter.com/webdesignsindy,https://www.linkedin.com/company/indywebdesign,,https://www.instagram.com/webdesignindy,"Tree Service",yellowpages,1,0,0,95536952
,"Urban Tree Arboriculture | urbantreeindy.com","Indianapolis, IN 46250",https://www.urbantreearborist.com/contact,3174130981,urbantreearborist.com@wix-domains.com,5,4,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/urbantreearboriculture/,,,,,"Landscaping & Lawn Services,Land Planning Services,Pest Control Services",yellowpages,1,0,0,104124615
,"TruGreen Lawn Care","2121 Directors Row, Indianapolis, IN 46241",https://www.trugreen.com/local-lawn-care/indiana/indianapolis/?utm_source=gmb_yext&utm_medium=organic&y_source=1_MTUzOTUxNzctNTUzLWxvY2F0aW9uLndlYnNpdGU%3D,3172480605,customercare@trugreenmail.com,4.2,485,,,,,454869,,,1,1,1,0,0,0,0,1,1,0,https://www.facebook.com/trugreen,"//www.twitter.com/intent/tweet?url=https%3A%2F%2Fwww.trugreen.com%2Fabout%2Fprivacy-policy&text=TruGreen Privacy Policy",,https://www.youtube.com/trugreen,https://www.instagram.com/trugreen_lawn/,"Landscaping & Lawn Services,Lawn Maintenance,Tree Service",yellowpages,1,0,0,111775538
,"Arbor Tree Care","1332 N Illinois St, Indianapolis, IN 46202",https://www.treetrimmingindianapolis.com/,3176623600,,,31,,,,,,,,0,1,0,0,0,0,0,1,1,0,https://www.facebook.com/Arbor-Tree-Care-920768191292715/,https://twitter.com/ttindianapolis,,,,"Tree services",bing,1,0,0,95534874
,"Trees R Us","8446 N Sr 267, Brownsburg, IN 46112",https://www.treesrusindy.com,3176829967,info@treesrusindy.com,4.7,39,4.3,12,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree Services",yelp,1,0,0,95530304
,"Chop Chop Tree","217 S Belmont Ave, Indianapolis, IN 46222",http://www.treeserviceindianapolisin.com,3177235626,,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/Chop-Chop-Tree-1720289278189944/timeline/,https://twitter.com/Arbor_Indiana,,,,"Tree Service,Garden Centers,Landscaping & Lawn Services",yellowpages,1,0,0,104124473
,"Tree Of Life Tree Service & Landscaping","152 Lotus Dr #1, Carmel, IN 46032",https://www.treeoflifeindy.com/,3179227902,info@treeoflifeindy.com,4.9,62,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/108375861647852,,,,https://www.instagram.com/treeoflifeindy,"Tree service in Carmel, Indiana",google-places,1,0,0,8525177
