status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"Young’s Tree Service","887 Melson Ave, Jacksonville, FL 32254",https://youngstreeservicefl.com,9043734014,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree Services",yelp,1,0,0,95538780
,"Yellow Frog Landscaping &amp; Custom Ponds","Jacksonville, FL 32210",https://yellow-frog-landscaping-landscape-designer.business.site,9043801773,,,,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,Landscaping,yelp,1,0,0,5902725
,"Ybm Tree Experts Removal","Jacksonville, FL 32211",https://ybm-tree-experts-removal.negocio.site,8329012898,,5,31,5,1,,,,,,1,0,0,0,0,0,0,0,1,0,,,,,,"Tree Services",yelp,1,0,0,95531413
,"Yonge 1 Properties","Atlantic Beach, FL 32233",https://www.yonge1properties.com,9043381643,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree Services",yelp,1,0,0,5902434
,"Yellowstone Tree Care Jacksonville","8613 W Beaver St, Jacksonville, FL 32220",https://www.yellowstonelandscape.com/locations/tree-care-jacksonville,9046679635,info@yellowstonelandscape.com,5,17,,,,,2772,63,3800,1,1,1,1,0,0,0,1,1,0,https://www.facebook.com/yellowstonelc/,,https://www.linkedin.com/company/yellowstone-landscape/,https://www.youtube.com/@YellowstoneLandscapeusa,https://www.instagram.com/yellowstonelandscape/,"Tree service in Jacksonville, Florida",google-places,1,0,0,442315968
,"Yellowstone Landscape","2663 Robert St, Jacksonville, FL 32207",http://yellowstonelandscape.com,9042682626,ccathey@yellowstonelandscape.com,3.6,54,,,,,2649,63,3600,1,1,1,1,0,0,0,1,1,0,https://www.facebook.com/yellowstonelc/,,https://www.linkedin.com/company/yellowstone-landscape/,https://www.youtube.com/@YellowstoneLandscapeusa,https://www.instagram.com/yellowstonelandscape/,Landscaper,google,1,0,0,5904431
,"Warming Tree Services","4165 Spring Park Rd, Jacksonville, FL 32207",http://www.warmingtreeservice.com/,9047247245,warmingtreeservice@gmail.com,4.9,380,,,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,,"Tree service in Jacksonville, Florida",google-places,1,0,0,5902190
,"Turner Pest Control","8400 Baymeadows Way, Jacksonville, FL 32256",https://www.turnerpest.com/pest-control/jacksonville/,9048957933,psteinmetz@turnerpest.com,4.6,1845,2.5,117,,,,,,1,1,0,1,0,0,0,1,1,1,https://www.facebook.com/TurnerPestControl,https://twitter.com/turnerpest,https://www.linkedin.com/company/turner-pest-control/,https://www.youtube.com/user/TheMslater/videos?flow=grid&view=1,https://www.instagram.com/turner.pest.control/,"Pest Control,Lawn Services",yelp,1,0,0,5902758
,"TruGreen Lawn Care","5605 Florida Mining Blvd, Jacksonville, FL 32257",https://www.trugreen.com/yelp,8002046999,dns-admin@cscglobal.com,2.1,152,1.5,89,,,,,,1,1,1,1,0,0,0,1,1,0,https://www.facebook.com/trugreen,https://twitter.com/trugreen,https://www.linkedin.com/company/trugreen-chemlawn,https://www.youtube.com/trugreen,https://www.instagram.com/trugreen_lawn/,Landscaping,yelp,1,0,0,5902800
,"Tree Wise Men","18101 Maxville Middleburg Rd, Jacksonville, FL 32234",https://www.treewisemenfl.com,9049904734,,4.8,18,5,2,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree Services",yelp,1,0,0,95533549
