status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"Bob's Tree Pro","7721 Elizabeth Ave, Kansas City, KS 66112",https://www.wyndhamhotels.com/days-inn/kansas-city-kansas/days-inn-near-kansas-speedway/overview?CID=LC:iqv0j1dklijly45:20293&iata=00093796,9132056403,wyndhamsupport@wwreservations.com,3,805,,,,,,,,1,1,1,0,0,0,0,1,1,0,https://www.facebook.com/DaysInn/,https://twitter.com/WyndhamRewards,,https://www.youtube.com/user/daysinn,https://www.instagram.com/daysinn,"Tree Service",yellowpages,1,0,0,128512530
,"Woodland Lawn","5112 W 64th St, Prairie Village, KS 66208",https://www.woodlandlawn.com/contact.html,9135580353,woodlandlawnkc@gmail.com,,,,,,,,,,1,1,1,0,0,0,0,1,1,1,,,,,,"Tree Service,Gardeners,Landscaping & Lawn Services",yellowpages,1,0,0,110221541
,"Walker Tree Service","200 E Shrader St Ste D Liberty, MO 64068",https://www.walkertreelibertymo.com,8167818914,walker@walkertreeserviceinc.com,4.8,25,3.5,2,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree Services",yelp,1,0,0,96089195
,"Van Booven Lawn Landscape & Tree Care","10021 Woodend Rd, Kansas City, KS 66111",https://www.vanbooventree.com,9137223275,brad@vanbooventree.com,4.6,18,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree Service,Landscape Contractors,Stump Removal & Grinding",yellowpages,1,0,0,110220886
,"Vail Landscaping & Tree Services","Kansas City, MO 64106",https://www.vaillandscapingllc.com,4052092188,uliservail1088@gmail.com,,,,,,,,,,1,0,0,0,0,0,0,1,1,1,https://www.facebook.com/profile.php?id=100063518235362,,,,,"Landscaping,Tree Services",yelp,1,0,0,96088705
,"Ultimate Lawn Care","Kansas City, MO 64101",https://www.ultimatelawncarellc.com,9137083609,,,2,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Landscaping,Masonry/Concrete,Tree Services",yelp,1,0,0,96089489
,"Ultimate Land Solutions","Richmond, MO 64085",https://www.ultimatelandsolutions.com,8167459533,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Excavation Services,Landscaping,Tree Services",yelp,1,0,0,96090280
,"Tuff Turf Landscape","5948 Merriam Dr Merriam, KS 66203",https://www.tuffturfkc.com,9133624545,landscapemanager40@gmail.com,3.4,25,4.5,10,,,116,,123,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/tuffturflandscape/,,,,,"Landscaping,Irrigation,Landscape Architects or Designers",yelp,1,0,0,96088701
,"TruGreen Lawn Care","5455 Lees Summit Rd, Lees Summit, MO 64064",https://www.trugreen.com/local-lawn-care/missouri/lees-summit/?utm_source=gmb_yext&utm_medium=organic&y_source=1_MTUzOTUxMDctNTUzLWxvY2F0aW9uLndlYnNpdGU%3D,8162317080,customercare@trugreenmail.com,4.1,543,,,,,452085,,454000,1,1,1,1,0,0,0,1,1,0,https://www.facebook.com/trugreen,"//www.twitter.com/intent/tweet?url=https%3A%2F%2Fwww.trugreen.com%2Fabout%2Fprivacy-policy&text=TruGreen Privacy Policy",https://www.linkedin.com/company/trugreen-chemlawn,https://www.youtube.com/trugreen,https://www.instagram.com/trugreen_lawn/,"Tree Service,Lawn Maintenance,Landscaping & Lawn Services",yellowpages,1,0,0,115008974
,"Tree Trimming Overland Park","9727 Antioch Rd Ste 13176 Overland Park, KS 66212",https://www.treetrimmingoverlandpark.com,9136672002,pw-23b8779964f718edb3f7db8c8d03a76a@privacyguardian.org,,,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree Services,Landscaping",yelp,1,0,0,232071318
