status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"Growing Tree Learnng Center Inc","3540 W Sahara Ave, Las Vegas, NV 89102",https://www.worldclasscoaches.com/contact.php,7029207655,wccinfo@worldclasscoaches.com,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,,,,,,"Tree Service",yellowpages,1,0,0,96079213
,"VanDorne Landscape and Design","Las Vegas, NV 89107",https://www.vandornelandscapeanddesign.com,7252665191,vandorneservices@gmail.com,4.9,71,4.1,60,,,158,,193,1,1,1,1,0,0,0,1,1,0,https://www.facebook.com/people/VanDorne-Landscape-and-Design/100076040028070/,,,,https://www.instagram.com/vandornelandscape.and.design/,"Landscaping,Landscape Architects or Designers,Masonry/Concrete",yelp,1,0,0,96084126
,"Twisted Trees","4417 Misty Breeze Circle, North Las Vegas, Nv 89031",https://www.twistedtreeservices.com/,7026726338,twistedtree93@gmail.com,,,,,,,12,,50,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/people/Twisted-Tree-Service/100093642788549/,,,,,Landscaping,bing,1,0,0,96083621
,"Troy's Tree Service, LLC","6232 Tierra Cove St, North Las Vegas, NV 89081",https://www.troystreeservice.com/,7023322392,help@gosite.com,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree services",bing,1,0,0,96080208
,"Arbor Works","3285 W Jo Rae Ave, Las Vegas, NV 89141",http://arborworks.vegas,7027983997,info@arborworks.vegas,3.5,12,,,,,257,,261,1,0,0,0,0,0,0,1,1,0,https://www.facebook.com/118918968715993,,,,,"Tree service",google,1,0,0,8554315
,"Chop Chop Tree","6630 W Arby Ave, Las Vegas, NV 89118",http://treeservicesinlasvegasnv.com,7023235754,,1,2,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree service",google,1,0,0,8554272
,"Arbor Tree Care","5351 S Decatur Blvd, Las Vegas, NV 89118",https://www.treeservicelasvegasnv.com/,7027282558,,,,,,,,,,,0,1,0,0,0,0,0,1,1,0,https://www.facebook.com/pages/Tree-Service-Las-Vegas/877880175608662,https://twitter.com/tslasvegas,,,,"Tree services",bing,1,0,0,96080795
,"A Cut Above Tree Service","3001 E Charleston Blvd Ste G, Las Vegas, NV 89104",https://www.treeserviceaca.com/,7026466061,treeserviceaca.com@wix-domains.com,4.9,16,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree services",bing,1,0,0,96081277
,"Entertainment City Tree Service","1397 Galleria Dr, Henderson, NV 89014",https://www.treeremoval-henderson.com/contact-us,7258000791,support@tcpacompliance.co,,,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree Service",yellowpages,1,0,0,96079384
,"Tree Monkey","304 S Jones Blvd Unit 8354, Las Vegas, NV 89107",https://www.treemonkeyllc83.com,7026606608,treemonkeyllc83.com@wix-domains.com,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Tree Service",yellowpages,1,0,0,96079229
,"Total Tree Removal","PO Box 289, Las Vegas, NV 89125",https://www.totaltreeremovalnv.com/,7026128498,,4.5,84,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree services",bing,1,0,0,96079843
,"Sunstate Companies","3101 E Craig Rd, North Las Vegas, NV 89030",https://www.sunstatecompanies.com/,7027981776,info@sunstatecompanies.com,3.7,53,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/Sunstate-Companies-LLC-120092081338335/,,,https://www.youtube.com/channel/UCd1SQcBoGuI-4rnjIIFHjZQ,https://www.instagram.com/sunstatecompaniesllc/,"Landscaper in Clark County, Nevada",google-places,1,0,0,25461136
,"Sun City Tree Service","3132 Ferndale St, Las Vegas, NV 89121",http://suncitytreeandlandcare.com,7023742831,,5,4,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree service",google,1,0,0,8553340
,"SOUTHWEST TREE COMPANY","2901 S Highland Dr Ste Y200, Las Vegas, NV 89109",https://www.southwesttreeservice.net/,7023619600,weservicetrees@gmail.com,,,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree services",bing,1,0,0,96080311
,"Seven Brothers Tree Company","4015 W Dewey Dr, Las Vegas, NV 89118",http://sevenbrotherstreeservice.com,7024786533,customercare@sbllv.com,2.3,12,,,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,,"Tree service",google,1,0,0,334094440
,s-erg-landscape,"1096 Calimesa Blvd Ste D309 Calimesa, CA 92320",https://www.s-erg-landscape-inc.com,3236316083,,,,2.9,11,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Lawn Services,Artificial Turf,Tree Services",yelp,1,0,0,96084308
,"Ruben's Lawn Service","131 Sir George Dr, Las Vegas, NV 89110",https://www.rubenslawnservice.com/,7022329344,,4.4,70,,,,,290,3,306,1,1,0,0,0,0,0,0,1,0,https://facebook.com/Rubenslawnservice1995/,https://mobile.twitter.com/ruben_lawn,https://linkedin.com/in/ruben-s-lawn-service-9a281053,,https://instagram.com/rubenslawn/,"Landscaper in Sunrise Manor, Nevada",google-places,1,0,0,22613439
,"Royal Tree Service","5117 Backwoodsman Ave, Las Vegas, NV 89130",https://www.royaltreeserviceandlandscaping.com/,7029692424,,,51,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree services",bing,1,0,0,96082596
,"Royal tree service","5117 Backwoodsman Ave, Las Vegas, NV 89130",http://gomezlvtreeservices.com/,7029726714,royaltreeservicelv@gmail.com,,,,,,,,,536,1,0,0,0,0,0,0,1,1,0,,,,,,,google-places,1,0,0,334095749
,"Robs Lawn","3123 Sentimental Ct, North Las Vegas, NV 89031",https://www.robslawnlv.com/,7028833448,,4.7,65,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Landscaper in Clark County, Nevada",google-places,1,0,0,22614813
