status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"Your Way Tree Service","Tarzana, CA 91335",https://yourwaytreeserviceinc.com,8187219855,,4.6,22,4.6,478,,,2659,2,2500,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/YourWayTreeServiceInc/,,,https://www.youtube.com/@yourwaytreeserviceinc.8266,https://www.instagram.com/yourwaytreeservice/,"Tree Services",yelp,1,0,0,95225492
,"Yard Doctor's Tree Service & Landscaping","1866 Roxanne Ave, Long Beach, CA 90815",https://yarddoctorsllc.com/contact-us,5624300188,info@yarddoctorlb.com,5,2,,,,,,,,1,0,0,0,0,0,0,1,1,1,,https://twitter.com/YardDoctors,,,,"Tree Service,Landscape Contractors",yellowpages,1,0,0,248716997
,"Walt's Tree Service","Long Beach, Ca",https://www.waltstree.com/,5624250226,info@waltstree.com,,,,,,,2543,,,0,0,0,0,0,0,0,1,1,1,https://www.facebook.com/AncoraThemes/,https://twitter.com/themes_ancora,,,https://www.instagram.com/ancora_themes/,"Tree services",bing,1,0,0,96085049
,"Trees'N Things","9354 Oso Ave, Chatsworth, CA 91311",https://www.treesnthings.com,8182012566,office@treesnthings.com,4.7,38,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Tree Service,Landscaping & Lawn Services,Landscape Contractors",yellowpages,1,0,0,103567364
New,"Hill Tree Services Signal Hill","2506 N Palm Dr, Signal Hill, CA 90755",https://www.treeservicesnetworkusa.com/tree-services-in-signal-hill/,5625485259,,,,,,,,,,,1,0,0,0,0,0,0,1,1,1,,,,,,,google-places,1,0,0,563344168
,"Tree Service Pros of Huntington Beach","7652 Garfield Ave #100, Huntington Beach, CA 92648",https://www.tree-service-pros.com/huntington-beach-tree-service.html,7147508140,treeservicepros31@gmail.com,5,5,,,,,,,,1,1,1,0,0,0,0,1,1,0,https://www.facebook.com/Tree-Service-Pros-1029432463874614,https://twitter.com/tree_co_plano,,https://www.youtube.com/channel/UC2yeoIYl5EkLU2OO5OGsRsw,https://www.instagram.com/treeservicespros,"Tree service in Huntington Beach, California",google-places,1,0,0,8668636
,"Tree Service Pros of Huntington Beach","7652 Garfield Ave #100, Huntington Beach, CA 92648",http://tree-service-pros.com,7147508140,info@tree-service-pros.com,5,5,,,,,,,2,1,1,1,0,0,0,0,1,1,0,https://www.facebook.com/planotreeservicepros,https://twitter.com/tree_co_plano,,https://www.youtube.com/@PlanoTreeServicePros,https://www.instagram.com/treeservicespros,"Tree service",google,1,0,0,8669368
,"Tree Service Experts Long Beach","3229 E Spring St, Long Beach, CA 90806",https://www.thelocaltreeexperts.com/ca/long-beach/,3109055308,sales@thelocaltreeexperts.com,5,5,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree service in Long Beach, California",google-places,1,0,0,8668388
,"Tree Service Experts Long Beach","3229 E Spring St, Long Beach, Ca 90806",https://thelocaltreeexpert.com/ca/long-beach/,3109055308,sales@thelocaltreeexpert.com,5,5,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree services",bing,1,0,0,96085112
,"Reynoso Tree Service","12900 Hawthorne Blvd, Hawthorne, CA 90250",https://www.reynosotreeservicellc.com,4242076878,reynosotree80@gmail.com,4.7,14,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,https://www.instagram.com/reynoso.tree.service.llc.90250/,"Tree Service",yellowpages,1,0,0,96086399
