status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"Vaughn's Landscape And Lawn Service","Serving theLouisville Area",https://www.wayneslawnservice.com/laipply-residential-landscape-project,5024269244,wayne@wayneslawnservice.com,5,3,,,,,883,97,934,1,1,0,1,0,0,0,0,1,0,https://facebook.com/wayneslawnservice,,,,https://www.instagram.com/wayneslawnservice?igsh=ZzM4cHlpbXgxaHNx,"Tree Service,Lawn Maintenance,Landscape Contractors",yellowpages,1,0,0,112318777
,"Turner Tree Service","615 N 17th St Louisville, KY 40203",https://www.tts502.com,5025935714,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree Services",yelp,1,0,0,96083015
,"T's Trees","Brooks, KY 40109",https://www.tstreesky.com,5027180669,,4,29,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree Service,Stump Removal &amp; Grinding",yellowpages,1,0,0,96078457
,"TruGreen Lawn Care","10830 Penion Dr, Louisville, KY 40299",https://www.trugreen.com,5026710203,customercare@trugreenmail.com,,,,,,,451836,,453000,1,1,1,1,0,0,0,1,1,0,https://www.facebook.com/trugreen,"//www.twitter.com/intent/tweet?url=https%3A%2F%2Fwww.trugreen.com%2Fwhy-choose-trugreen%2Fexperience-and-expertise&text=TruGreen Professional Lawn Care Expertise",https://www.linkedin.com/company/trugreen-chemlawn,https://www.youtube.com/trugreen,https://www.instagram.com/trugreen_lawn/,"Tree Service,Lawn Maintenance,Landscaping & Lawn Services",yellowpages,1,0,0,112318097
,"Derby City Tree Service","9780 Ormsby Station Rd, Louisville, KY 40223",https://www.treeremoval-louisville.com/contact-us,5027471781,support@tcpacompliance.co,,,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree Service",yellowpages,1,0,0,96078741
,"Tree Contractors LLC","Serving theLouisville Area",https://www.treecontractorslouisville.com,5026393572,treecontractors@icloud.com,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree Service,Stump Removal & Grinding,Landscaping & Lawn Services",yellowpages,1,0,0,329774526
,"SYS Enterprises","Grantline Rd New Albany, IN 47150",https://www.systreeservice.com,5027246950,yschilt4@gmail.com,,,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/pages/category/Landscape-Company/SYS-Enterprises-Tree-Service-177345295684999/,,,,,"Tree Services",yelp,1,0,0,96084012
New,"Sullivan Tree & Stump Removal","Serving theLouisville Area",https://www.sullivantreeservice.net/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=3446577819414135394,5024710623,sulltreepat@gmail.com,5,22,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/Sullivantreeservice1973,http://www.twitter.com/wix,,,,"Tree Service",yellowpages,1,0,0,561890542
,Stumps-B-Gone,"7700 Cane Run Rd, Louisville, KY 40258",https://www.stumpsbgonellc.com/contact-us/2590720,5029318666,rodneydbratcher@gmail.com,5,13,,,5,5,7,,7,1,1,0,0,0,0,0,1,1,0,https://facebook.com/Stumps-B-Gone-LLC-417527935079042/,https://twitter.com/StumpsKY,,,,"Tree Service,Stump Removal &amp; Grinding",yellowpages,1,0,0,96078491
,"STS Tree Service","Shelbyville, KY 40065",https://www.ststreeservicesky.com,5023212136,ststreeservice1@gmail.com,5,22,,,,,,,,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/ststreeservice/,,,https://www.youtube.com/watch?v=E2_am9t9Tf8,,"Tree Services",yelp,1,0,0,96080103
,"SPECIAL K Stump Grinding","Shepherdsville, KY 40165",https://www.specialkstumpgrinding.com,5025312350,donkrish@twc.com,5,15,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree Services",yelp,1,0,0,96083244
,"Shults Tree Service","2114 Churchdown Ln, Louisville, KY 40214",https://www.shultstreeservice.com,5025522350,mshultsy@gmail.com,5,142,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/ShultsTree,https://www.twitter.com/wix,https://www.linkedin.com/company/wix-com,,https://www.instagram.com/happy_tr33/,"Tree Service,Stump Removal & Grinding",yellowpages,1,0,0,96078705
,"Greenhaven Tree Care / SavATree - Tree Service &amp; Lawn Care","1901 Williamson Ct, Louisville, KY 40223",https://www.savatree.com/louisville-ky-tree-service-lawn-care,5022448770,mgalvin@savatree.com,4.8,48,,,,,3681,93,4348,0,0,0,1,0,0,0,1,1,0,,,https://www.linkedin.com/company/autumn-tree-care-experts-inc.,,,"Tree Service,Arborists,Landscape Contractors",yellowpages,1,0,0,8678470
,"SavATree - Tree Service & Lawn Care","1901 Williamson Ct, Louisville, KY 40223",http://savatree.com,5022448770,experts@savatree.com,4.8,151,,,,,3564,88,4211,1,1,1,1,0,0,0,0,1,0,https://www.facebook.com/SavATreeHQ/,,https://www.linkedin.com/company/savatree/,https://www.youtube.com/user/naturestrees,https://www.instagram.com/savatree_official/,"Tree service",google,1,0,0,8678685
,"Quality Lawns","3904 Bishop Ln, Louisville, KY 40218",https://www.qualitylawnsky.com,5025928216,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,,,,,,"Tree Service,Gardeners",yellowpages,1,0,0,112318870
,"Carrier Tree Service","332 Glenview Rd, Louisville, KY 40229",https://www.priceline.com,5029573887,info@priceline.com,,,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Tree Service",yellowpages,1,0,0,96078858
,"Lawn Works","5209 Monaco Dr Louisville, KY 40219",https://www.mylawnworks.net,8125908864,jason@mylawnworks.net,4.1,9,,,,,,,,1,1,0,0,0,0,0,1,1,0,,https://twitter.com/LawnWorks2,https://www.linkedin.com/company/lawn-works,https://www.youtube.com/channel/UCGfFCz7vWwN1XBRy3XGxbyw,https://www.instagram.com/lawnworksnewalbany/,"Snow Removal,Landscaping,Tree Services",yelp,1,0,0,96082014
,"Monster Tree Service of East Louisville","3703 Norbourne Blvd, Lousville, KY 40207",https://www.monstertreeservice.com/east-louisville/,5022378125,privacyofficer@authoritybrands.co,4.9,134,5,1,,,,,,1,1,1,0,0,0,0,1,1,0,facebook.net/en_US/fbevents.js,,https://www.linkedin.com/company/monster-tree-service-of-east-louisville/about/,,https://www.instagram.com/monstertreeservices/,"Tree Services",yelp,1,0,0,96079233
,"Mercer's Tree &amp; Stump Removal","Serving theLouisville Area",https://www.monstertreeservice.com/east-louisville/,5025507284,ccpa@authoritybrandsllc.com,4.9,134,,,5,11,,,,1,1,1,0,0,0,0,1,1,0,https://www.facebook.com/MTSEastLouisville/,,https://www.linkedin.com/company/monster-tree-service-of-east-louisville/about/,,https://www.instagram.com/monstertreeservices/,"Tree Service",yellowpages,1,0,0,96078785
New,"Louisville Tree Service Experts","Private Address in Louisville, Ky",https://www.louisvilletreeservices.net/,5023354889,sales@louisvilletreeservices.net,4.8,5,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,,bing,1,0,0,561890295
