status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"Woodland Tree Products","1831 Titus Rd, Memphis, TN 38111",https://www.woodlandtree.com/,9013096779,info@woodlandtree.com,4.6,105,,,,,1268,42,,0,0,0,0,0,0,0,1,1,0,https://www.facebook.com/woodlandtreeservicememphis/,,,http://www.youtube.com/watch?v=8qsYK3MQ8nQ&feature=em-share_video_user,https://www.instagram.com/woodlandtreeservice/,"Tree services",bing,1,0,0,95549256
,"Veteran Landscape and Tree Service","Collierville, TN 38017",https://www.vetlandtree.com/,9012937009,vetlandtree@gmail.com,5,22,,,,,,,,0,0,0,0,0,0,0,1,1,1,https://www.facebook.com/veteranlandscapeandtreeservice,,https://www.linkedin.com/company/veteran-landscape-and-tree-service/,https://www.youtube.com/channel/UCM1mEpIbWiqOH4DT_1HokcA/about,,"Tree Services,Landscaping,Nurseries & Gardening",yelp,1,0,0,95549661
,"Ecklund's Tree Svc","Serving theMemphis Area",https://www.treeservicefortworth.org/,9017511388,treeservicesfortworth@gmail.com,4.5,39,,,,,240,2,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/TreeServiceFortWorth/,https://twitter.com/TreesFortWorth,,https://www.youtube.com/channel/UC8VXjAkCEK8WnqMBMMfM1fA?view_as=subscriber,,"Tree Service",yellowpages,1,0,0,95551242
,"Atoka Tree Service","Atoka, TN 38004",https://www.treeserviceatoka.com,9017636410,a763bff3535e401f85bb7d13a614a75d.protect@withheldforprivacy.com,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Tree Services",yelp,1,0,0,95549312
,"Jeff's Tree &amp; Stump Removal","Serving theMemphis Area",https://www.treeremovalservicememphis.com,9015172859,,4.8,22,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree Service,Stump Removal &amp; Grinding",yellowpages,1,0,0,8553462
,"Arbor Tree Care","6412 Summer Gale Dr, Memphis, TN 38134",http://treeremovalmemphistn.com,9016122333,,,,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Tree service",google,1,0,0,8555329
,"Chop Chop Tree Service","Memphis, TN 38108",https://www.treecarememphis.com,9013505179,,5,15,5,1,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Tree Services",yelp,1,0,0,95549525
,"The Fullness Thereof","Ripley, TN 38063",https://www.thefullnessthereof.simdif.com,7314139683,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Lawn Services,Pressure Washers,Tree Services",yelp,1,0,0,95549600
,"Real Tree pros","Cordova, TN 38016",https://www.realtreepros.com,9014810445,realtreepros@gmail.com,4.9,23,5,1,,,50,5,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/memphispros,https://twitter.com/RealTreePros,,,,"Tree Services",yelp,1,0,0,95549200
,"Out On A Limb Tree Service","Collierville, TN 38017",https://www.outonalimbtrees.com,9018608044,evanlemons86@gmail.com,5,4,1,1,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/realoutonalimb,,,,,"Tree Services",yelp,1,0,0,95549953
,"Monster Tree Service of the Midsouth","Serving theMemphis Area",https://www.monstertreeservice.com/midsouth,9012442033,careers_atx@monstertreeservice.com,5,8,,,,,,,,1,1,1,0,0,0,0,1,1,0,https://www.facebook.com/MonsterTreeService/,,https://www.linkedin.com/company/monster-tree-service,,https://www.instagram.com/monstertreeservices/,"Tree Service",yellowpages,1,0,0,95551223
,"Michael's Tree & Loader Service","3800 Knight Arnold Rd, Memphis, TN 38118",https://www.michaelstree.com/,9013318205,info@mtlmemphis.com,4.2,36,,,,,,,,1,1,0,0,0,0,0,0,0,0,https://www.facebook.com/Michaels-Tree-and-Loader-Service-LLC-253083421376079/?fref=ts,,,,,"Tree services",bing,1,0,0,8553669
,"Memphis Tree Removal","1989 Vanderhorn Dr, Memphis, TN 38134",https://www.memphistreeremovals.com,9015192188,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,,,,,,"Tree Services",yelp,1,0,0,95549660
,"Memphis Tree Service Experts","3080 Crump Ave, Memphis, TN 38112",https://www.memphistreeexperts.com/,9014417899,sales@memphistreeexperts.com,5,2,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree service in Memphis, Tennessee",google-places,1,0,0,8553671
,"Mejia Tree Service","6924 Valley View Dr, Bartlett, TN 38133",http://mejiatreeservice.com,9015179914,,4.9,251,,,,,,,,1,1,1,0,0,0,0,1,1,0,https://connect.facebook.net/en_US/fbevents.js,,,,,"Tree service",google,1,0,0,8554217
,"Master Lawn","8255 Center Hill Rd, Olive Branch, MS 38654",https://www.masterlawn.com,9018541888,,4.7,999,1,4,,,253,7,,1,1,1,0,0,0,0,1,1,0,https://www.facebook.com/MasterLawnInc,,https://www.linkedin.com/company/master-lawn/,,,"Lawn Services,Tree Services,Pest Control",yelp,1,0,0,95550069
,"Jones Tree Service","6027 Pleasant Ridge Rd, Millington, TN 38053",https://www.jonestreememphis.com/,9013736833,jonestreememphis.com@contactprivacy.com,5,2,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/sharer/sharer.php?u=,,,,,"Tree service in Shelby County, Tennessee",google-places,1,0,0,8555274
,"Hatchie Tree Service","4694 Molokai Cir Hernando, MS 38632",https://www.hatchietreeservice.com,6626358330,,4.9,67,5,3,,,,,,1,1,1,0,0,0,0,1,1,0,,,,,,"Tree Services,Landscape Architects or Designers,Decks & Railing",yelp,1,0,0,95549410
,"Absolute Tree Service","4230 Raleigh Millington Rd, Memphis, TN 38128",,9013514632,,1,1,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Tree Service,Mulches,Stump Removal & Grinding",yellowpages,,0,0,496314592
,"JR's Stump Grinding","4414 Mimosa Rd, Memphis, TN 38128",,9014148132,,5,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree service",google,,0,0,561892412
,"L Thompson & Sons Tree Services","3018 James Rd, Memphis, TN 38128",https://www.gstatic.com/images/branding/product/1x/googleg_48dp.png,9013586682,,5,1,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Tree service in Memphis, Tennessee",google-places,1,0,0,561892337
