status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"Warner's Tree Surgery","814 E Hope St, Mesa, AZ 85203",https://warnerstreesurgery.com/,4809698808,,4.2,21,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,aaayoutube.html,,"Tree service in Mesa, Arizona",google-places,1,0,0,8558626
,"Valley Tree Masters Tree Trimming Service, Tree Removal & Tree Feeding","3305 E Morning Star Ln, Gilbert, AZ 85298",https://www.valleytreetrimmers.com/,4802003331,info@valleytreetrimmers.com,4.6,24,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/ValleyTreeMasters,https://twitter.com/home?status=https://www.valleytreetrimmers.com/why-use-a-professional-tree-service-in-phoenix/,,https://www.youtube.com/channel/UCknf8_cqFSPSjoTao-ZcHCw,https://www.instagram.com/valleytreemasters/,"Tree service in Gilbert, Arizona",google-places,1,0,0,329030876
,"Urban Landscape Pros","Mesa, AZ 85205",https://www.urbanlandscapepros.com,4802769812,urbanlandscapepros@gmail.com,,,5,1,,,,,356,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/Urban-Landscape-Pros-LLC-107687890571507/,,,,https://www.instagram.com/urban_landscape_pros/,"Irrigation,Lawn Services,Tree Services",yelp,1,0,0,96090679
,"Tree of Life Medical","9377 E Bell Rd, Scottsdale, AZ 85260",https://www.treeoflifemedical.net,4807347515,driacovellimalone@treeoflifemedical.net,3.9,40,,,,,372,96,386,1,0,0,0,0,0,0,0,1,0,https://www.facebook.com/TreeOfLifeMedical/?ref=aymt_homepage_panel,,,,,"Tree Service",yellowpages,1,0,0,96086020
,"Tree of Life Arizona","1659 E Draper Cir, Mesa, AZ 85203",https://www.treeoflifearizona.org,4802846498,info@treeoflifearizona.org,,,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree Service",yellowpages,1,0,0,96086559
,"Valley Tree Feeders","Phoenix, AZ 85085",https://www.treefeeders.com,6235870606,info@treefeeders.com,4.1,32,3.8,38,,,,,,1,1,1,0,0,0,0,1,1,1,,,,,,"Tree Services",yelp,1,0,0,95529138
,"Tree Doctors North Inc","4410 E University Dr, Mesa, AZ 85205",https://www.treedoctorsinc.com,4808542699,treedocs@treedoctorsinc.com,4.6,129,,,,,221,13,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/Tree-Doctors-1004889482901883/,,,https://www.youtube.com/channel/UCGxq3ovgtQlEbbGeT4CbaqA,,"Tree Service",yellowpages,1,0,0,96086586
,"Tranquilino’s Landscaping","Chandler, AZ 85225",https://www.tranquilinoslandscaping.com,6025783189,info@tranquilinoslandscaping.com,,,,,,,144,,141,1,1,0,0,0,0,0,1,1,0,,,,,,"Masonry/Concrete,Artificial Turf",yelp,1,0,0,96088439
,"Tree of Life Preschool Academy","7050 S 24th St, Phoenix, AZ 85042",https://www.tolpreschoolacademy.com/contact,6027957721,admin@tolpreschoolacademy.com,4.6,36,,,,,31,2,37,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/tolpreschoolacademy/,,,,,"Tree Service",yellowpages,1,0,0,95536111
,"Tree Amigos","4025 E Presidio St, Mesa, AZ 85215",https://www.thetreeamigos.com/contact,4802140058,info@thetreeamigos.com,,,,,,,221,4,1600,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/TheTreeAmigos/,,,,,"Tree Service",yellowpages,1,0,0,96086590
,"Tempe Tree Care","1170 S Mill Ave, Tempe, AZ 85281",https://www.tempetreecare.com/contact.html,4803869077,,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree Service",yellowpages,1,0,0,95538013
,"Techer's Tree Service","2624 East Baltimore Street, Mesa, AZ 85213",https://www.techerstreeservice.com/,4809626563,,4.6,59,,,,,162,,168,1,1,0,0,0,0,0,0,1,0,,,,,,,bing,1,0,0,246688276
,"Sunnyside Landscapes","Scottsdale, AZ 85254",https://www.sunnysidelandscapesaz.com,6029925400,sunnysidelandscapesaz@gmail.com,5,4,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/SunnysideLandscapesAZ/,,,https://www.youtube.com/channel/UCTcB3H1BqbZtUo03EPf-UQA,https://www.instagram.com/sunnysidelandscapesaz/,"Landscaping,Artificial Turf",yelp,1,0,0,94793948
,"Steller Partners","3400 E Sky Harbor Blvd, Phoenix, AZ 85034",https://www.sugarfina.com?sid=bbd1ddl6uo68822bdojne8v157,6022673847,hello@sugarfina.com,2,9,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree Service",yellowpages,1,0,0,95536003
,"SonoranScapes Landscaping & Maintenance","3655 W Anthem Way Ste A-109 336 Anthem, AZ 85086",https://www.sonoranscapes.com,6023290769,,,,4.5,31,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/sonoranscapes/,,,,https://www.instagram.com/sonoranscapes_landscaping/?igshid=MmIzYWVlNDQ5Yg%3D%3D,"Landscaping,Irrigation,Artificial Turf",yelp,1,0,0,96090434
,"Ricardo Sanchez","1720 S Sossaman Rd Mesa, AZ 85209",https://www.ricardosanchezlandscaping.com,4804170372,ricardosanchezlandscaping@gmail.com,,,5,1,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Landscaping,Artificial Turf,Tree Services",yelp,1,0,0,96088614
New,"Revive Tree Care","524 N 38th St, Mesa, AZ 85205-6918",https://www.revivetreecare.com/,4802011792,info@revivetreecare.com,5,73,,,,,,,,1,0,0,0,0,0,0,1,1,0,https://www.facebook.com/revivetreecare,https://www.twitter.com/wix,https://www.linkedin.com/company/wix-com,,https://www.instagram.com/revivetreecare/,,bing,1,0,0,561891349
,"Revive Tree Care","524 N 38th St, Mesa, AZ 85213",http://revivetreecare.com,4802011792,talmagestahle@gmail.com,5,73,,,,,,,190,1,0,0,0,0,0,0,1,1,0,https://www.facebook.com/revivetreecare,,,,https://www.instagram.com/revivetreecare/,"Tree service",google,1,0,0,246689288
,"Professional Tree Monkeys LLC","850 S River Dr, Tempe, AZ 85281",https://www.protreemonkeys.com/,4807790418,professionaltreemonkeysoffice@gmail.com,4.8,20,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree service in Tempe, Arizona",google-places,1,0,0,8559072
,"Preservation Tree Service","1021 W Dragoon Ave, Mesa, AZ 85210",http://preservationtreeservicellc.com,8669105687,preservationtreeserviceaz@gmail.com,5,8,,,,,,,,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/PreservationTreeService/,,,,,,google,1,0,0,8559015
,"Premier Landscape & Tree Services","Mesa, AZ 85207",https://www.premierlandscapeandtreeservices.com,6027893431,info@premiertreesaz.com,4.9,72,5,42,,,,,87,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/PremierTreesAZ,,,,,"Tree Services",yelp,1,0,0,95528710
,"PJD Lawn Maintenance","Mesa, AZ 85201",https://www.pjd-construction-landscaping.com,6023585811,,5,7,2,2,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Landscaping,Masonry/Concrete,Tree Services",yelp,1,0,0,95538748
,"Nick’s Landscaping","6908 E Virginia Ave, Scottsdale, AZ 85257",https://www.nickslandscapingaz.com/request-2,4805932606,898c240b03d14de1ab2673b5abd741fb.protect@withheldforprivacy.com,,,5,6,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree Services,Landscaping,Irrigation",yelp,1,0,0,95529640
,"Murphy's A-1 Tree Service","Serving theMesa Area",https://www.murphysa1treeserviceaz.com,6028923462,murphysa1tree@gmail.com,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree Service,Stump Removal & Grinding",yellowpages,1,0,0,96085593
,"Moon Valley Nursery Tree Removal","14025 N 7th St, Phoenix, AZ 85022",https://www.moonvalleynurseries.com/services/tree-service?utm_campaign=yelp&utm_source=yelp-az&utm_medium=tree-care,6028997266,marketing@mvncorp.com,,,4.5,85,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/MoonValleyNurseriesAZ,https://twitter.com/MoonValleyTrees,,,,"Tree Services",yelp,1,0,0,96088244
,"Mesa Trees",,http://mesatrees.com,4807253123,contact@mesatrees.com,4.5,4,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree service",google,1,0,0,8559022
,"Meraki Landscapes","Fountain Hills, AZ 85268",https://www.merakilandscapes.com,4802631930,merakilandscapes48@gmail.com,4.9,18,5,4,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,,Landscaping,yelp,1,0,0,95538923
,"Macias Landscaping","Mesa, AZ 85206",https://www.maciaslandscaping.us,4807869284,info@maciaslandscaping.us,,,4.4,32,,,,,,1,0,0,0,0,0,0,1,1,1,,,,,,"Landscaping,Irrigation,Tree Services",yelp,1,0,0,96089422
,"Happy Tree Landscaping","Mesa, AZ 85205",https://www.happytreeslandscaping.com,4806508398,info@happytreelandscaping.org,3.6,20,4.1,73,,,581563,,46,1,1,0,1,0,0,0,1,1,0,https://www.facebook.com/wix,https://twitter.com/wix,https://www.linkedin.com/company/wix-com,,https://www.instagram.com/wix/,"Landscaping,Masonry/Concrete,Artificial Turf",yelp,1,0,0,95536632
,"Happy Tree Guys - Trimming and Removal","15850 N Thompson Peak Pkwy, Scottsdale, AZ 85260",https://www.happytreeguys.com,6028069078,scott@happytreeguys.com,5,230,,,,,,,,1,1,1,0,0,0,0,1,1,0,https://connect.facebook.net/en_US/fbevents.js,,https://www.linkedin.com/company/happy-tree-guys-trimming-and-removal,https://www.youtube.com/@happytreeguys8560,https://www.instagram.com/happytreeguys,"Tree Service",yellowpages,1,0,0,96085969
,"The Grounds Guys of Maricopa","Maricopa, AZ 85139",https://www.groundsguys.com/maricopa/?cid=LSTL_GUY000244,5203944166,social@groundsguys.com,4.8,24,5,3,,,134,101,180,1,1,1,1,0,0,0,1,1,0,https://www.facebook.com/GroundsGuysMaricopa/,,,https://www.youtube.com/user/GroundsGuys/,https://www.instagram.com/thegroundsguys/?hl=en/,"Landscaping,Tree Services",yelp,1,0,0,95530095
,"Greenwood Tree Services","8651 E Pueblo Ave, Mesa, AZ 85208",https://www.greenwoodtreeservicesaz.com,6028306301,greenwoodphx@gmail.com,5,8,4.3,6,,,,,47,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/GreenwoodTreeServicesLLC/,,,,,"Tree Services",yelp,1,0,0,95531590
,"Gods Green Earth","8825 E Sunland Ave, Mesa, AZ 85208",http://godsgreenearthllc.com,4804309924,ggecaveman@yahoo.com,4.3,3,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree service",google,1,0,0,8559705
,"Fuller's Tree Care","Serving theMesa Area",https://www.fullertreecare.com/,6025055707,treecareplano@gmail.com,5,65,,,,,,,,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/fullertreecare/reviews,,,,https://www.instagram.com/fullertreecare/,"Tree Service",yellowpages,1,0,0,96086065
,"Fronds Palm Trimmers","2529 W Kiva Ave, Mesa, AZ 85202",http://frondspalmtrimmers.com,4806808900,frondspalmtrimmers@gmail.com,,,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/Fronds-Palm-Trimmers-101134629542636,https://twitter.com/FrondsPalm,https://www.linkedin.com/company/fronds-palm-trimmers/,https://www.youtube.com/channel/UCtfQhD9pfvsvLJb4ELahJIg,,"Tree service",google,1,0,0,96091238
,"Design Tree Maintenance","1635 W Park View Ln #1, Phoenix, AZ 85085",https://www.designtreeaz.com/,6028787762,23f22c8a83be45969682c81060306601.protect@withheldforprivacy.com,4.7,481,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree service in Maricopa County, Arizona",google-places,1,0,0,401081481
,"Crazy Plant Nanny","Tempe, AZ 85284",https://www.crazyplantnanny.com,6235007302,crazyplantnanny@gmail.com,5,4,5,8,,,326,,333,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/crazyplantnanny/,,,,https://www.instagram.com/crazyplantnanny/,"Gardeners,Landscaping",yelp,1,0,0,96091022
,"Bynum Tree and Landscape","9966 E Dragoon Cir, Mesa, AZ 85208",http://bynumtreeandlandscape.com,4803061475,bynumtreeandlandscape@gmail.com,4.9,209,,,,,343,,362,1,1,1,0,0,0,0,1,1,0,https://www.facebook.com/Bynumtreeandlandscape,,,https://www.youtube.com/@bynumtreeandlandscape7506,https://www.instagram.com/bynumtreeandlandscape/,"Tree service",google,1,0,0,39203029
,"Brownwood Tree Service, Landscape & Firewood","61 N Beverly, Mesa, AZ 85201",https://www.brownwoodtreeservicelandscapeandfirewood.com,4802339540,,,,5,2,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Tree Services,Firewood,Landscaping",yelp,1,0,0,96090682
,"Bassett Tree Service","462 E Lehi Rd, Mesa, AZ 85203",http://bassetttree.com,4807452290,bassettaxe@gmail.com,5,52,,,,,,,177,1,1,0,0,0,0,0,0,1,0,https://facebook.com/Bassettaxe,,,,,"Tree service",google,1,0,0,96087715
,"Bartlett Tree Experts - Pheonix","2614 W Baseline Rd, Mesa, AZ 85202",https://www.bartlett.com/locations/Phoenix-AZ.cfm/?utm_source=yelp&utm_medium=yelp_cpc&campaign=yelp_listing,4808203939,lfeilmeier@bartlett.com,4.3,33,4.6,22,,,,,,1,1,0,0,0,0,0,1,1,1,http://www.facebook.com/pages/Bartlett-Tree-Experts/128790543841,http://twitter.com/BartlettTreeExp,https://www.linkedin.com/company/bartlett-tree-experts,https://www.youtube.com/user/BartlettTreeExperts,https://www.instagram.com/lifeatbartlett/?hl=en/,"Tree Services",yelp,1,0,0,95539245
,"Bartlett Tree Experts","2614 W Baseline Rd, Mesa, AZ 85202",http://bartlett.com,4808203939,bfletcher@bartlett.com,4.4,35,,,,,9385,,,1,1,0,0,0,0,0,1,1,1,https://connect.facebook.net/en_US/fbevents.js,http://twitter.com/BartlettTreeExp,https://www.linkedin.com/company/bartlett-tree-experts,https://www.youtube.com/user/BartlettTreeExperts,https://www.instagram.com/lifeatbartlett/?hl=en/,"Tree service",google,1,0,0,8558666
,"B&C Tree Services","1525 S Higley Rd Suite 104, Gilbert, AZ 85296",https://www.bandctreeservice.com/tree-trimming-and-removal-gilbert,6029433429,info@bandctreeservice.com,5,170,,,,,,,,1,1,1,0,0,0,0,1,1,0,,,,,,"Tree service in Gilbert, Arizona",google-places,1,0,0,529768039
,"Branch Management Tree Service, LLC","7950 E Starlight Way, Scottsdale, AZ 85250",https://www.aztreedoctor.com/,4809701315,sales@aztreedoctor.com,4.5,68,,,,,,,468,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/aztreedoctor,https://twitter.com/AzTreeDoctor,,,https://www.instagram.com/aztreedoctor/,"Tree service in Scottsdale, Arizona",google-places,1,0,0,529767045
,"Arizona Yard Maintenance","Apache Junction, AZ 85120",https://www.arizonayardmaintenanceaz.com,4802381086,,,,3,2,,,,,,1,1,0,0,0,0,0,1,1,0,,,https://www.linkedin.com/company/arizona-yard-maintenance-llc,,,"Tree Services",yelp,1,0,0,96090958
,"Arizona Tree Trimming & Removal","Scottsdale, AZ 85266",https://www.arizonatreetrimmers.com,4807940706,arizonatreetrimmers@gmail.com,4.9,318,3.6,46,,,776,,834,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/ArizonaTreeTrimming,,,,https://www.instagram.com/arizonatreetrimming,"Property Management,Tree Services",yelp,1,0,0,95530060
New,"Arborist Standards Tree Care","1666 E Draper Circle, Mesa, Az 85203",https://www.arboriststandards.com/,9285923477,arboriststandards@gmail.com,,,,,,,,,,1,0,0,0,0,0,0,1,1,1,https://www.facebook.com/arboriststandards/,,,https://www.youtube.com/channel/UCl6CJSYCPvRW10r-VTz68Gg,https://www.instagram.com/arboriststandards/?hl=en,,bing,1,0,0,561891316
,"Arbor Care Tree Service","5235 S Kyrene Rd, Tempe, AZ 85283",https://www.arborcareaz.com/,4807975566,info@arborcareaz.com,4.7,66,,,,,,,,1,0,0,0,0,0,0,1,1,1,,,,,,"Tree service in Tempe, Arizona",google-places,1,0,0,8515640
,"Always Green Turf","204 S. Mesa Dr., Mesa, AZ 85210",https://www.alwaysgreenturfaz.com/?utm_source=yelp&utm_medium=listing&utm_campaign=always-green-turf-tempe-2,6233525148,info@alwaysgreenturfaz.com,4.9,288,4.6,178,,,,,,1,1,1,0,0,0,0,1,1,1,,,,,https://www.instagram.com/alwaysgreenturfaz/?hl=en,"Landscaping,Artificial Turf",yelp,1,0,0,96090031
,"World Tree Technolgies Inc","8355 E Butherus Dr, Scottsdale, AZ 85260",https://worldtree.eco,4809480188,contact@worldtree.eco,,,,,,,5155,2,,1,0,0,0,0,0,0,0,0,0,,,,,,"Tree Service,Nurseries-Plants &amp; Trees",yellowpages,1,0,0,96087363
,"Woods Tree Trimming","Mesa, AZ 85203",https://woodstreetrimming.com,4802620004,eben@eyebytes.com,,,5,4,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,https://www.instagram.com/woods_tree_trimming/,"Tree Services,Landscaping",yelp,1,0,0,96090173
,"William’s Handyman Services","Chandler, AZ 85248",https://williamshandymanaz.com,6027251365,,,,4.7,39,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Handyman,Plumbing,Heating & Air Conditioning/HVAC",yelp,1,0,0,96090961
,"Valley Of The Sun Landscape",,http://valley-of-the-sunlandscape.com,6025241150,,4.9,30,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,Landscaper,google,1,0,0,39198673
,"Trim Landscaping","215 E McKinley St Ste 402 Phoenix, AZ 85004",https://trimlandscaping.com,4809338817,partnerships@trimlandscaping.com,4.6,19,4,2,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/trimlandscapingco,https://twitter.com/LandscapingTrim,https://www.linkedin.com/company/trimlandscaping/,https://www.youtube.com/channel/UCKO1GLY_FaSDOpH0R1Xw2kw,https://www.instagram.com/theofficialtrimlandscaping/,"Landscaping,Irrigation,Tree Services",yelp,1,0,0,95531208
,"Chandler Tree Service Professionals","Serving theMesa Area",https://treeservicechandleraz.com,4807412453,treeservicechandleraz@gmail.com,4.6,54,,,,,,,,1,1,1,0,0,0,0,0,1,0,,,,,,"Tree Service",yellowpages,1,0,0,96086034
,"Tree Pros, LLC","2836 W Durango St, Phoenix, AZ 85009",https://treeprosaz.com/,6022160400,service@treeprosaz.com,4.7,1911,,,,,318,,403,1,1,1,0,0,0,0,1,1,1,https://facebook.com/treeprosarizona,,,,,"Tree service in Phoenix, Arizona",google-places,1,0,0,8515102
,"Top Leaf Tree Service","1905 S Old Greenfield Rd, Mesa, AZ 85206",https://topleafaz.com/,4809169363,office@topleafaz.com,4.9,524,,,,,234,,261,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/TopLeafAZ/,,,,https://www.instagram.com/topleaftreeservice,"Tree service in Mesa, Arizona",google-places,1,0,0,96085317
,"The Desert Arborist","Phoenix, AZ 85003",https://thedesertarborist.com,6024590300,impallari@gmail.com,,,5,1,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Tree Services",yelp,1,0,0,95528946
,"Tempe Tree Removal and Landscaping","120 E Concorda Dr, Tempe, AZ 85282",https://tempetreeremovalandlandscaping.com/,4809236770,servicelandscaping738@gmail.com,5,7,,,,,,,,1,0,0,0,0,0,0,1,1,1,https://facebook.com/tempetreeremovalandlandscaping/%20,,,,,"Tree service in Tempe, Arizona",google-places,1,0,0,529768611
