status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"Yardbeast Chippers","1925 NW 21st Ter, Miami, FL 33142",https://www.yardbeast.com/wood-chipper-makers-contact-us,3053963396,sales@yardbeast.com,5,7,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/yardbeastchippers/,,,https://m.youtube.com/user/YardbeastWood,https://www.instagram.com/yardbeast,"Tree Service Equipment & Supplies",yellowpages,1,0,0,331524252
,"TurfTim Landscape & Design","Serving theMiami Area",https://www.turftim.com,3059645441,tim@turftim.com,5,5,,,,,,,335,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/TurfTim,,https://www.linkedin.com/company/turftim-landscapes,,https://www.instagram.com/turftim_landscape,"Tree Service,Landscape Designers & Consultants,Landscape Contractors",yellowpages,1,0,0,541079142
,"True Tree Service","1910 NW 17th Ave, Miami, FL 33125",http://truetreeservicemiami.com,3058423581,info@truetreeservice.com,4.7,70,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://connect.facebook.net/en_US/fbevents.js,,,,https://instagram.com/truetreeservice,"Tree service",google,1,0,0,8670499
,"Arbor Tree Care","2519 NW 95th St, Miami, FL 33147",https://www.treetrimmingmiamifl.com/,7864229402,,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/Arbor-Tree-Care-853927551384456/,https://twitter.com/ttmiamifl,,,,,bing,1,0,0,234266162
,"Chop Chop Tree","555 Washington Ave, Miami Beach, FL 33139",http://treeserviceinmiamiflorida.com/,3055479585,,2.5,2,,,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,,"Tree service in Miami Beach, Florida",google-places,1,0,0,8670721
,"Sunshine Tree Trimming","1879 SW 16th St, Miami, FL 33145",http://sunshinetreetrimming.com,3054314477,nelson@sunshinetreetrimming.com,4.9,202,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,https://www.linkedin.com/in/nelson-zaldivar-26762493/,,,"Tree service",google,1,0,0,8670504
,"Signature Tree & Palms","Serving theMiami Area",https://www.signaturepalms.com,3052333139,info@signaturepalms.com,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,http://www.facebook.com/2008/fbml,,,,,"Tree Service,Lawn Maintenance,Landscape Designers & Consultants",yellowpages,1,0,0,542952473
,"P&P Landscaping and Tree Service","110 NE 130th St, North Miami, FL 33161",http://pandplawncare.com/,7867195826,pierre@pandplawncare.com,5,11,,,,,,,,1,0,0,0,0,0,0,0,1,0,https://www.google.com/url?q=https%3A%2F%2Fwww.facebook.com%2Fprofile.php%3Fid%3D61555639780290%26mibextid%3DZbWKwL&sa=D&sntz=1&usg=AOvVaw1vy2Jywe07Gl8Ot5HXQPzY,,,,https://www.google.com/url?q=https%3A%2F%2Fwww.instagram.com%2Fpandptreescape%2F&sa=D&sntz=1&usg=AOvVaw2ob4501JJZiOZfS9-9WwoE,"Tree service in North Miami, Florida",google-places,1,0,0,337851126
,"Otero Landscaping","11605 SW 136 Terrace, Miami, FL 33176",https://www.oterotreeservicemiami.com/contact-us,7864999501,,5,2,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree Service,Arborists,Stump Removal & Grinding",yellowpages,1,0,0,105054111
New,"ANative Tree Service Inc","15733 SW 117th Ave, Miami, FL 33177",https://www.nativetree.com,3052381178,sales@nativetree.com,4.5,32,,,,,,,,1,0,0,0,0,0,0,0,1,0,,,,,,"Tree Service",yellowpages,1,0,0,562527046
,"Lewis Tree Service","17801 NW 2nd Ave, Miami, FL 33169",https://www.lewisservices.com,7863205696,info@lewistree.com,4.6,388,,,,,,,,1,1,1,0,0,0,0,1,1,0,https://www.facebook.com/LewisJobDoneRight/,,https://www.linkedin.com/company/lewis-tree-service-inc./,,,"Tree Service",yellowpages,1,0,0,562527091
,"Jireh Tree Care LLC","311 NW 77th Ave, Pembroke Pines, FL 33024",http://jirehtreecare.com,3052168809,,4.9,113,,,,,,,,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/jirehtreecarellc/,,,,,"Tree service",google,1,0,0,8672692
,"Israel Landscaping & Tree Services","1495 W 3rd Ave, Hialeah, FL 33010",https://www.hialeahtreesolutions.com/,7867053488,8262abee269c4a4d819645e8ca822361.protect@withheldforprivacy.com,4.7,39,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/profile.php?id=61553377864905&amp,,https://www.linkedin.com/company/israel-landscaping-tree-services/about/?viewAsMember=true,,,"Tree service in Hialeah, Florida",google-places,1,0,0,26542157
,"Hialeah Tree Service","491 E Okeechobee Rd, Hialeah, FL 33010",https://www.hialeahtreeservice.com/,7866614281,info@hialeahtreeservice.com,5,1,,,,,,,,1,0,0,0,0,0,0,1,1,1,,,,,,"Tree service in Hialeah, Florida",google-places,1,0,0,8671918
,"Grove Tree Service & Landscaping","5925 SW 69th St, Miami, FL 33143",http://grovetreeservicefl.com,3058586307,info@grovetreeservicefl.com,5,28,,,,,,,71,1,1,1,0,0,0,0,1,1,0,https://www.facebook.com/grovetreeservice,,,,,"Tree service",google,1,0,0,8670885
,"Demolition Services Inc","Serving theMiami Area",https://www.dadewreckingcontractors.com/do-you-need-a-permit-for-demolition-in-florida-a-guide-for-miami-residents,3055142432,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,,,,,,"Tree Service,Demolition Contractors",yellowpages,1,0,0,552806364
,"Coco Tree Service Corp","1720 NW 33rd St, Miami, FL 33142",https://www.cocotreeservice.com/,3057289445,coco@cocotreeservice.com,4.4,5,,,,,,,,1,0,0,0,0,0,0,1,1,1,https://www.facebook.com/cocotreeservicemiami,,,https://www.youtube.com/channel/UCg61a1UXuob1l5XjB1gRgEQ,https://www.instagram.com/cocotreeservicecorp,,bing,1,0,0,421970715
,"Bartlett Tree Experts - Coral Gables, FL","Coral Gables, FL 33134",https://www.bartlett.com/locations/coral-gables-fl.cfm?utm_source=yp&utm_medium=cpc&utm_campaign=IYP_MLP,7862247365,lfeilmeier@bartlett.com,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,,,,,,"Tree Service,Landscape Designers & Consultants,Arborists",yellowpages,1,0,0,531826819
,"Bartlett Tree Experts","1825 Ponce de Leon suite 603, Coral Gables, FL 33134",https://www.bartlett.com/locations/coral-gables-fl.cfm,7867676950,jcarrasco@bartlett.com,5,1,,,,,,,,1,0,0,0,0,0,0,0,1,0,,,,,,"Tree service in Coral Gables, Florida",google-places,1,0,0,45687868
New,"Barnett Landscaping & Tree Service","1431 NE 149th St, Miami, FL 33161",https://www.barnetttreeservicemiamibeach.com/ContactUs.htm,3055382451,,5,1,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree Service",yellowpages,1,0,0,562527088
,"Affordable Tree Service Inc. - Tree Service Miami","5859 SW 26th St, Miami, FL 33155",https://www.affordabletreeserviceinc.com/,3058232345,contact@affordabletreeserviceinc.com,5,70,,,,,128,,138,1,1,1,1,0,0,0,1,1,1,https://www.facebook.com/affordabletreeserviceincmiamibroward,,,https://www.youtube.com/channel/UCUFyFsVNEyLtqbkdCUyPocg,https://www.instagram.com/affordabletreeserviceinc/,"Tree service in Coral Terrace, Florida",google-places,1,0,0,8670445
,"Acosta Tree Service",,http://acostatreeservice.net,3052210960,manny@mannyacosta.com,5,287,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree service",google,1,0,0,421970805
,"We Do Trees, LLC","2535 SW 27th St apt 1, Miami, FL 33133",https://wedotrees.net/,3057420343,jenmd@wedotrees.net,5,22,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Tree service in Miami, Florida",google-places,1,0,0,8670495
,"TLC of South Florida",Miami,https://tlcofsouthflorida.com,3057785018,dg@tlcofsouthflorida.com,,,4.9,40,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,https://www.instagram.com/tlc_of_south_florida,"Landscaping,Tree Services",yelp,1,0,0,476828952
,"Premium Tree Service","2435 NW 56th St, Miami, FL 33142",https://thepremiumtree.com/,7865972639,info@indiantypefoundry.com,4.8,91,,,,,,,221,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/PremiumTreeServiceinc/,,,,https://www.instagram.com/premiumtree/,,bing,1,0,0,8670494
,"Superior Landscaping & Lawn Service","2200 NW 23rd Ave, Miami, FL 33142",https://superiorlandscaping.com/contact-us,3056340717,info@superiorlandscaping.com,3,9,,,,,,,,1,0,0,0,0,0,0,1,1,1,,,,,,"Tree Service,Landscape Contractors,Gardeners",yellowpages,1,0,0,421970453
New,"IBZ LANDSCAPING AND NURSERY LLC","3566 NW 32nd St, Miami, FL 33122",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=iCMFG2Onm_GdN6URYQBhew&cb_client=search.gws-prod.gps&w=211&h=120&yaw=164.98558&pitch=0&thumbfov=100,,,5,2,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree service in Miami-Dade County, Florida",google-places,1,0,0,562527949
New,"Rodriguez Bros Tree Service","100 NE 38th St, Miami, FL 33137",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7d5wBqwq1oL2hDrzWc7XdA&cb_client=search.gws-prod.gps&w=211&h=120&yaw=181.93918&pitch=0&thumbfov=100,7867538055,,4.9,42,,,,,,,,1,0,0,0,0,0,0,0,1,0,,,,,,"Tree service in Miami, Florida",google-places,1,0,0,562526662
,"Marios Tree Service","160 NW 120th Ave, Miami, FL 33182",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-jE3ee1hAX7D8pjWxFTrlg&cb_client=search.gws-prod.gps&w=211&h=120&yaw=256.38495&pitch=0&thumbfov=100,3052265550,,5,3,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree Service",yellowpages,1,0,0,157570222
,"Steves Tree and Landscape Service","9961 W Indigo St, Palmetto Bay, FL 33157",https://stevestree.com/,3052330699,mainoffice@stevestree.com,3.6,17,,,,,,,,1,0,0,0,0,0,0,0,1,0,,,,,,"Tree service in Palmetto Bay, Florida",google-places,1,0,0,10809367
,"Sunshine Grove Arbors","250 Shore Dr E, Miami, FL 33133",https://sgarbors.com/,3059995273,inbox@sgarbors.com,4.9,14,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree service in Miami, Florida",google-places,1,0,0,311772414
New,"Sam's Tree Service Inc","14249 SW 90th Ter, Miami, FL 33186",https://samstreeservicefl.com/,7866316164,support@prophone.com,4.9,80,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/102872891206962,,,,,"Tree Service",yellowpages,1,0,0,562527104
,"One Two Tree","7250 SW 42nd Terrace, Miami, FL 33155",http://onetwotree.com,3052671426,customerservice@onetwotree.com,4.7,256,,,,,487,4,500,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/OneTwoTreeInc/,,,https://www.youtube.com/user/OneTwoTreeInc,https://www.instagram.com/onetwotree/?hl=en,"Tree service",google,1,0,0,8670734
,"Odair Junk removal","844 NW 17th Ave, Miami, FL 33125",http://odairservices.com,7866759732,contact@sansoxygen.com,5,105,,,,,,,,1,0,0,0,0,0,0,1,1,0,https://connect.facebook.net/en_US/fbevents.js,,,,,"Junk removal service",google,1,0,0,553701113
,"Nature's Dream Landscape","12385 SW 73rd Ave, Pinecrest, FL 33156",https://naturesdreamlandscape.com/,3058747374,ray@naturesdreamlandscape.com,4.9,75,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/NaturesDreamLandscape/,,,https://www.youtube.com/@naturesdreamlandscape,https://www.instagram.com/naturesdreamlandscape/?igshid=MDM4ZDc5MmU=,"Landscape designer in Pinecrest, Florida",google-places,1,0,0,26547620
,"Monster Tree Service of Miami","2111 NW 23rd Ave, Miami, FL 33142",https://monstertreeservice.com,3059307959,privacyofficer@authoritybrands.co,,,,,,,,,,1,1,1,0,0,0,0,1,1,0,facebook.net/en_US/fbevents.js,,,,https://www.instagram.com/monstertreeservices/,"Tree Service",yellowpages,1,0,0,421970459
,"Dreidy & Brother Miami Tree Service | Palms Trim Cut Stump Removal Service","6760 SW 16 St, Miami, FL 33155",https://miamitreecuts.com/,3052246999,info@miamitreecuts.com,4.6,9,,,,,586421,,759000,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/WordPresscom,http://twitter.com/MIAMITREECUTTER,,,,,bing,1,0,0,421970694
,"Monster Lawn Service","Cutler Bay, FL 33189",https://landscapercutlerbay.com,3052191037,,,,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree Service,Landscaping & Lawn Services,Landscape Designers & Consultants",yellowpages,1,0,0,291055893
,"Discount Tree Service","8690 Grand Canal Dr, Miami, FL 33144",https://discounttreeservicemiami.com/contact-us,3052299606,3b630ecc5697436da77ca965b6f89605.protect@withheldforprivacy.com,1.7,12,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/Discount-Tree-Service-958176600931992/,,,https://www.youtube.com/channel/UCHYBeIENexcPWttElcxcA6w/about,https://www.instagram.com/discount_tree_service_/,"Tree Service",yellowpages,1,0,0,157570157
,"Discount Tree Services Miami","711 SW 73rd Ave, Miami, FL 33144",https://discounttreeservicemiami.com/,3058593745,,5,3,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/Discount-Tree-Service-958176600931992/,,,https://www.youtube.com/channel/UCHYBeIENexcPWttElcxcA6w/about,https://www.instagram.com/discount_tree_service_/,,bing,1,0,0,421970422
New,"Onofre Tree&Lawn Service Since 2010","2840 NW 22nd Ct, Miami, FL",https://bisprofiles.com/fl/onofre-tree-service-p23000005833,17862520077,,5,4,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,,bing,1,0,0,562526631
,"Beaver Stump Grinding","1150 NW 72nd Ave, Miami, FL 33126",https://beaversgllc.com,9842384599,Beaverstumpgrinder@gmail.com,5,4,,,,,,,,1,0,0,0,0,0,0,1,1,1,https://www.facebook.com/profile.php?id=100093522978467,https://twitter.com/BeaverStumpGLLC,https://www.linkedin.com/in/beaver-stump-grinding-llc-0b5183282/,,,"Tree Service,Landscape Designers & Consultants,Landscape Contractors",yellowpages,1,0,0,105967965
,"Atlas Pest Solutions, Corp","9605 SW 118th Ave, Miami, FL 33186",https://atlaspestsolutions.com,9549376184,info@atlaspestsolutions.com,,,,,,,,,,1,0,0,0,0,0,0,1,1,1,,,,,,"Tree Service,Pest Control Services,Bee Control & Removal Service",yellowpages,1,0,0,527406001
New,"Anthony Tree Service Care + All Types of Driveways","2944 Nw, Miami, FL 33142",https://anthony-tree-service-care-removal.business.site/?utm,7862222568,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,,,,,,,bing,1,0,0,562526634
New,"Amanda Coco Trees","3171 NW 61st St, Miami, FL 33142",http://amandacoco.top,2393768279,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree service",google,1,0,0,562527815
,"Zimmerman Tree Service","4660 71st Ct S, Lake Worth Beach, FL 33463",http://zimmermantreeservice.com,5619681045,gogreen@zimmermantreeservice.com,4.3,120,,,,,,,,1,1,1,0,0,0,0,1,1,1,,,,,https://www.instagram.com/zimmerman_tree_service/,"Tree service",google,1,0,0,235264770
