status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"Y.E.S Construction & Landscape","Milwaukee, WI 53215",https://yesconstruction-landscape.com,4142949906,yescalwi@gmail.com,,,3,2,,,,,,1,0,0,0,0,0,0,1,1,1,https://www.facebook.com/YesLandscapeWI?mibextid=LQQJ4d,,,,https://instagram.com/yescalwi?igshid=YmMyMTA2M2Y=,"Landscaping,Snow Removal,Fences & Gates",yelp,1,0,0,96082142
,"Prime Tree Service","Grafton, WI 53024",https://www.wiprimetreeservice.com,4147323767,,4.9,8,3.7,6,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree Services",yelp,1,0,0,96084600
,"Turf Aid Inc","15230 Turnberry Dr, Brookfield, WI 53005",https://www.turfaidinc.com,2627813114,,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Tree Service,Landscape Contractors,Patio Builders",yellowpages,1,0,0,128172178
,"TruGreen Lawn Care","8120 W Bradley Rd, Milwaukee, WI 53223",http://trugreen.com,4142141601,customercare@trugreenmail.com,4.2,469,,,,,453057,,454000,1,1,1,1,0,0,0,1,1,0,https://www.facebook.com/trugreen,"//www.twitter.com/intent/tweet?url=https%3A%2F%2Fwww.trugreen.com%2Fwhy-choose-trugreen%2Fexperience-and-expertise&text=TruGreen Professional Lawn Care Expertise",,https://www.youtube.com/trugreen,https://www.instagram.com/trugreen_lawn/,"Lawn care service",google,1,0,0,14145587
,"Trees No More","Franklin, WI 53132",https://www.treesnomore.com,4148564909,service@treesnomore.com,4.9,39,4.3,7,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree Services",yelp,1,0,0,96081745
,"Cream City Tree Service","430E E Stewart St, Milwaukee, WI 53207",https://www.treeremoval-milwaukee.com,4148774744,support@tcpacompliance.co,,,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree Service",yellowpages,1,0,0,96080369
,"Toenyan Tree Service","Milwaukee, WI 53202",https://www.toenyantreeservice.com,2182323000,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree Services",yelp,1,0,0,96083135
,"Green Man Tree and Landscape Services","W240 S6103 WI-164, Waukesha, WI 53189",https://www.thegreenmancompany.com,4143019807,office@thegreenmancompany.com,4.5,31,3,4,,,241,8,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/waukeshatreeservice/,https://www.twitter.com/MilwaukeeTree,https://www.linkedin.com/company/the-green-man-company,https://www.youtube.com/channel/UCS7iSW2xlmoqDzB86kP-V4g,,"Tree Services,Landscaping,Firewood",yelp,1,0,0,96084025
,"Stump Grinding by Mike","2912 County Rd C, Jackson, WI 53037",https://www.stumpgrindingbymikellc.com,2626223620,,5,228,5,1,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree Services",yelp,1,0,0,96082951
,"Spring Green","5355 S 9th St, Milwaukee, WI 53221",http://spring-green.com,4142048882,thofer@spring-green.com,4.8,421,,,,,,,,1,1,1,0,0,0,0,1,1,0,,,,,,"Lawn care service",google,1,0,0,35278118
