status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,GreenPal,"1312 5th Ave N, Nashville, TN 37208",https://www.yourgreenpal.com/tn/nashville-lawn-care,8667984485,,4.9,5132,,,,,3427,24,4100,1,1,1,0,0,0,0,1,1,0,https://www.facebook.com/greenpallawncare/,https://twitter.com/YourGreenPal,https://www.linkedin.com/in/gene-caballero-53386a18,,https://www.instagram.com/yourgreenpal/,"Lawn care service in Nashville, Tennessee",google-places,1,0,0,34954534
,"William's Lawn Care","308 Hillwood Blvd, Nashville, TN 37205",https://www.wpslawncare.com,6155844583,info@wpslawncare.com,2.6,5,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Tree Service,Lawn Maintenance,Gardeners",yellowpages,1,0,0,111786661
,"West Tree Service","1221 TN-109, Lebanon, TN 37090",http://westtreecare.com,6154562011,office.westtree@gmail.com,5,264,,,,,657,3,1300,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/westtreescare/,,https://www.linkedin.com/company/westtreeservicellc/,https://www.youtube.com/@West-Tree-Service/videos,https://www.instagram.com/westtreeservice/,"Tree service",google,1,0,0,8550366
,"Turf Managers","2418 Felts Ave, Nashville, TN 37211",https://www.turfmanagersllc.com,6152697706,support@turfmanagersllc.com,4.4,21,2.7,6,,,653,35,643,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/turfmanagers,https://twitter.com/turfmanagersllc,,https://www.youtube.com/user/TurfManagersLLC,https://www.instagram.com/turfmanagersllc/,"Landscaping,Tree Services",yelp,1,0,0,96080533
,"TruGreen Lawn Care","543 Expressway Park Dr Nashville, TN 37210",http://trugreen.com/yelp?city=Nashville&state=TN&zip=37210&utm_campaign=CPC&marketingpartner=9817,8557315154,customercare@trugreenmail.com,3.7,625,1.2,88,,,,,,1,1,1,0,0,0,0,1,1,0,,"//www.twitter.com/intent/tweet?url=https%3A%2F%2Fwww.trugreen.com%2Fabout%2Fprivacy-policy&text=TruGreen Privacy Policy",,https://www.youtube.com/share?url=https%3A%2F%2Fwww.trugreen.com%2Fabout%2Fprivacy-policy,https://www.instagram.com/trugreen_lawn/,"Lawn Services,Tree Services",yelp,1,0,0,96083635
,"Trees Nest","611 Commerce St, Nashville, TN 37203",https://www.treesnestps.com/about,6154345282,contact@treesnestpropertysolutions.com,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,https://facebook.com/,,,,http://instagram.com/,"Real Estate Agents",yellowpages,1,0,0,96077453
,"Franklin Tree Service Experts","130 Seaboard Ln, Franklin, TN 37067",http://treepronashville.com,6158088224,sales@treepronashville.com,4.4,7,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree service",google,1,0,0,96088908
,"Top Care Inc","508 Interstate Blvd S, Nashville, TN 37210",https://www.topcareinc.com/,6152425113,freeestimate@topcareinc.com,3.5,6,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Tree Service,Landscaping & Lawn Services",yellowpages,1,0,0,111786715
,"Tennessee Roots Tree Services","101 Head Dr, Madison, TN 37115",http://tnrootstreecompany.com,6159309232,tennesseeroots3@icloud.com,5,18,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Tree service",google,1,0,0,96089043
,"Tanksley Tree Service LLC","5019 Clarksville Pike, Whites Creek, TN 37189",https://www.tanksleytreeservice.com/,6152699464,mandy@tanksleytreeservice.com,4.4,62,,,,,702,96,729,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/TanksleyTreeService,,,https://www.youtube.com/channel/UCFOTI92ukqxfBKD8ZytZvlg,,"Tree service in Nashville, Tennessee",google-places,1,0,0,8547467
