status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"XTreem Tree Services","813C S Sunnylane Rd, Moore, OK 73160",http://xtreemtreeok.com,4059779001,xtreemtreeservice@gmail.com,5,224,,,,,355,2,441,1,1,1,0,0,0,0,0,1,0,https://www.facebook.com/xtreemtree/,,,https://www.youtube.com/@anxtreemlife,,"Tree service",google,1,0,0,339834064
,"American Outdoor Contracting Services","1425 S Council Rd Apt I, Oklahoma City, OK 73128",https://www.yardbook.com/hp/107947,4058502079,support@yardbook.com,,,,,,,,,63,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/AmericanOutdoorContractingService/,https://www.twitter.com/yardbook,,,,"Tree Service,Landscape Contractors,Fence-Sales, Service & Contractors",yellowpages,1,0,0,477521102
,"Woodchuck Tree Service","15200 N May Ave, Edmond, OK 73013",http://woodchuck-treeservice.com,4054062669,chuck@woodchuck-treeservice.com,5,27,,,,,,,,1,1,1,0,0,0,0,1,1,0,,,,,,"Tree service",google,1,0,0,339840215
,"Vail Landscaping and Tree Services","Oklahoma city, OK 73107",https://www.vaillandscapingllc.com,4052092188,uliservail1088@gmail.com,,,,,,,,,,1,0,0,0,0,0,0,1,1,1,https://www.facebook.com/profile.php?id=100063518235362,,,,,"Landscaping,Tree Services,Landscape Architects or Designers",yelp,1,0,0,96079492
,"TruGreen Lawn Care","Oklahoma City, OK 73149",https://www.trugreen.com/local-lawn-care/oklahoma/oklahoma-city/?utm_source=gmb_yext&utm_medium=organic&y_source=1_MTUzOTUxMjMtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D,4052131025,customercare@trugreenmail.com,4,881,,,,,451619,,453000,1,1,1,1,0,0,0,1,1,0,https://www.facebook.com/trugreen,"//www.twitter.com/intent/tweet?url=https%3A%2F%2Fwww.trugreen.com%2Fabout%2Fprivacy-policy&text=TruGreen Privacy Policy",,https://www.youtube.com/trugreen,https://www.instagram.com/trugreen_lawn/,"Tree Service,Lawn Maintenance,Landscaping & Lawn Services",yellowpages,1,0,0,111785574
,"P's Tree Service","4921 S Briarwood Dr, Oklahoma City, OK 73135",https://www.treeservicesnetworkusa.com/tree-services-in-del-city/,4056974390,,5,1,,,,,,,,1,0,0,0,0,0,0,1,1,1,,,,,,"Tree service in Oklahoma City, Oklahoma",google-places,1,0,0,561320093
,"The Big Friendly Tree Experts","1211 N Shartel Ave, Oklahoma City, OK 73103",https://www.treeremoval-oklahomacity.com/contact-us,4053698028,support@tcpacompliance.co,,,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree Service",yellowpages,1,0,0,96077941
,"Tip Top Crane and Tree Service","17400 S Sooner Rd, Norman, OK 73071",http://tiptoptreeok.com,4059481111,tiptoptreeok@aol.com,4.8,38,,,,,28,2,30,1,0,0,0,0,0,0,1,1,1,https://www.facebook.com/pages/category/Landscape-Company/Tip-Top-Tree-Service-1722583418010853/,,,,,"Tree service",google,1,0,0,96081519
,"Arbor Image Tree Care","3540 S Telephone Rd, Moore, OK 73160",http://thearborimage.com,4058174789,solutions@thearborimage.com,4.9,261,,,,,,,,1,1,1,0,0,0,0,1,1,1,,https://twitter.com/ArborImage,https://www.linkedin.com/company/arbor-image-tree-care/,,https://www.instagram.com/arborimagetreecare/,"Tree service",google,1,0,0,8550424
,"Superior Lawn Solutions","3713 NW 57th St, Oklahoma City, OK 73112",https://www.superiorlawnsolutionsokc.com,4058333977,info@superiorlawnsolutionsokc.com,,,,,,,139,,165,1,1,1,0,0,0,0,1,1,1,,https://twitter.com/SuperiorLawnOKC,,https://www.youtube.com/@Superiorlawnsolutions,https://www.instagram.com/superiorlawnsolutionsokc/,"Tree Service,Weed Control Service,Gardeners",yellowpages,1,0,0,104285269
