status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"Monster Tree Service Of Omaha","3139 S. 61st Ave, Omaha, NE 68106",https://www.whymonster.com/omaha-north-metro,4028095665,josh@whymonster.com,,,,,,,,,,1,1,1,0,0,0,0,1,1,0,facebook.net/en_US/fbevents.js,,https://www.linkedin.com/company/monster-tree-service-of-bridgewater,,https://www.instagram.com/monstertreeservices/,"Tree Service",yellowpages,1,0,0,337880422
,"Monster Tree Service of Omaha",,http://monstertreeservice.com,4029617085,privacyofficer@authoritybrands.co,4.8,369,,,,,,,,1,1,1,0,0,0,0,1,1,0,facebook.net/en_US/fbevents.js,,https://www.linkedin.com/company/monster-tree-service,,https://www.instagram.com/monstertreeservices/,"Tree service",google,1,0,0,337890889
,"West Omaha Tree Service","Omaha, NE 68130",https://www.westomahatreeservice.com,4027393625,westomahatreeservice@gmail.com,,,5,5,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Tree Services,Snow Removal",yelp,1,0,0,122607447
New,"Vinny's Tree Service","6701 L St, Omaha, NE 68117",http://www.vinnystreeservice.com,4029344646,vinnystree@gmail.com,4.8,73,,,,,,,,1,1,0,0,0,0,0,0,1,0,https://facebook.com/profile.php?id=100093011109799,,,,,"Tree Service",yellowpages,1,0,0,561994056
,"TruGreen Lawn Care","10402 Sapp Brothers Dr, Omaha, NE 68138",https://www.trugreen.com/local-lawn-care/nebraska/omaha/?utm_source=gmb_yext&utm_medium=organic&y_source=1_MTUzOTUwODMtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D,4028957591,customercare@trugreenmail.com,3.6,414,,,,,451816,,453000,1,1,1,1,0,0,0,1,1,0,https://www.facebook.com/trugreen,"//www.twitter.com/intent/tweet?url=https%3A%2F%2Fwww.trugreen.com%2Fabout%2Fprivacy-policy&text=TruGreen Privacy Policy",https://www.linkedin.com/company/trugreen-chemlawn,https://www.youtube.com/trugreen,https://www.instagram.com/trugreen_lawn/,"Tree Service,Lawn Maintenance,Landscaping & Lawn Services",yellowpages,1,0,0,135854815
New,"Tree Wise Men","50711 Brohard Ave, Council Bluffs, IA 51503",https://www.treewisemenia.com,4029606259,treewisemenia.com@contactprivacy.com,5,46,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/treewisementreecare,,,,https://www.instagram.com/treewisementreecare/,"Tree Service",yellowpages,1,0,0,561994332
,"Chop Chop Tree","1512 Mike Fahey St, Omaha, NE 68102",https://www.treetrimmingomahane.com,4023072030,,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/Chop-Chop-Tree-869597279814894/,https://twitter.com/Arbor_Omaha,,,,"Tree Service",yellowpages,0,0,0,337880489
,"Tops Lawn Care","102 Cunningham Rd, Bellevue, NE 68005",https://www.topslawncare.com/,4022922214,topslawncare@hotmail.com,4.7,12,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://facebook.com/profile.php?id=100063841788227,,,,,"Tree Service,Lawn Maintenance,Pest Control Services",yellowpages,1,0,0,135855389
,"TJN Enterprises, Inc.","214 N Adams St, Papillion, NE 68046",https://www.tjnlawn.com/contact,4026619524,tjnenterprises@yahoo.com,4.8,23,,,,,1842,110,2000,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/tjnlawn/,,http://www.linkedin.com/in/tjnlawn,,,"Tree Service,Mulches,Landscape Designers & Consultants",yellowpages,1,0,0,135855404
New,"The Sheltering Tree Apartments","1903 Gregg Rd, Bellevue, NE 68005",https://www.seldin.com/shelteringtreebellevue,4026909666,info@seldin.com,,,,,,,,,,1,1,1,0,0,0,0,0,1,0,https://www.facebook.com/SeldinCo,,https://www.linkedin.com/company/seldin-company,,https://www.instagram.com/lifeatseldin/,"Tree Service",yellowpages,1,0,0,561994331
