status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"Young’s Tree Service",Langhorne,https://www.youngstreeservicepa.com,2154786135,billy010205@yahoo.com,,,4.4,5,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Snow Removal,Tree Services",yelp,1,0,0,503769859
,"Willow Tree & Landscaping Services","411 S Warminster Rd, Hatboro, PA 19040",https://willowtreeservice.com/,2677044173,info@willowtreeservice.com,4.8,117,,,,,,,,1,1,1,0,0,0,0,1,1,1,,,,,https://www.instagram.com/willowtreeservice/?hl=en,"Tree service in Montgomery County, Pennsylvania",google-places,1,0,0,6565110
,"Union Brothers Tree Service","234 Kossuth St, Riverside, NJ 08075",https://www.unionbrotherstreeservice.com,8568795457,unionbrotherstreeservice@gmail.com,,,5,1,,,,,150,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/Union-Brothers-Tree-Service-1291596924202688/,,,,https://www.instagram.com/unionbrothers_treeservice/,"Tree Services",yelp,1,0,0,244026679
,"Rainbow Landcape & Hardscape Contractors","4425 Rising Sun Ave, Philadelphia, PA 19140",https://www.tristatesupply.net,2154577533,ben@tristatesupply.net,4.5,78,,,,,,,,1,0,0,0,0,0,0,1,1,1,,,,,,"Landscape Contractors,Landscaping & Lawn Services,Landscape Designers & Consultants",yellowpages,1,0,0,330391182
,"Philadelphia Tree Service Experts","8055 Lindbergh Blvd., Philadelphia, PA 19153",https://www.treeservicephiladelphia.net/,4844963167,sales@treeservicephiladelphia.net,4.3,6,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree service in Philadelphia, Pennsylvania",google-places,1,0,0,8515649
,"Tree & Land Masters","601 State Rte 73 Berlin, NJ 08009",https://www.treeandlandmasternj.com,8563365885,treeandlandmastersnj@gmail.com,4.6,122,4,37,,,,,,1,1,0,0,0,0,0,1,1,0,https://connect.facebook.net/en_US/sdk.js#xfbml=1&version=v3.2,,,,,"Tree Services",yelp,1,0,0,93668570
,"Tom’s Tree Service","311 Colonial Dr Wenonah, NJ 08090",https://www.tomstreeservicenj.com,8565672041,,4.6,20,5,1,,,,,,1,1,0,0,0,0,0,1,1,0,http://www.facebook.com/share.php?u=https://web.archive.org/web/20160711044921/http://www.tomstreeservicenj.com/Tree-Service-Request-an-Estimate-Wenonah-NJ.html,http://www.twitter.com/home?status=https://web.archive.org/web/20160711044921/http://www.tomstreeservicenj.com/Tree-Service-Request-an-Estimate-Wenonah-NJ.html,http://www.linkedin.com/shareArticle?mini=true&url=https://web.archive.org/web/20160711044921/http://www.tomstreeservicenj.com/Tree-Service-Request-an-Estimate-Wenonah-NJ.html,,,"Tree Services",yelp,1,0,0,93673548
,"Tims Tree Care","138 E Dekalb Park King of Prussia, PA 19406",https://www.timstreecarepa.com,2153531382,,,,4.3,6,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree Services,Snow Removal,Dumpster Rental",yelp,1,0,0,93672616
,"Discovery Tree","4814 Drexelbrook Dr, Drexel Hill, PA 19026",https://www.thediscoverytree.net,4844616566,contactus@risingstride.net,,,,,,,39,,55,1,0,0,0,0,0,0,1,1,1,https://www.facebook.com/risingstridechildcare?mibextid=LQQJ4d,https://twitter.com/RisingStride,https://www.linkedin.com/company/rising-stride-child-care-centers/,,https://www.instagram.com/rising_stride/,"Tree Service",yellowpages,1,0,0,490712819
,"Scott's Landscaping & Snow Removal","4218 Germantown Ave, Philadelphia, PA 19140",https://www.scotts-garden-center.com/,2154223219,,4.5,10,,,,,,,,1,0,0,0,0,0,0,0,1,0,https://connect.facebook.net/en_US/fbevents.js,,,,,"Landscaper in Philadelphia, Pennsylvania",google-places,1,0,0,323764669
,"SavATree - Tree Service & Lawn Care","201 Colwell Ln, Conshohocken, PA 19428",http://savatree.com,6109417766,experts@savatree.com,4.7,123,,,,,4276,106,4900,1,1,1,1,0,0,0,0,1,0,https://www.facebook.com/SavATreeHQ/,,https://www.linkedin.com/company/savatree/,https://www.youtube.com/user/naturestrees,https://www.instagram.com/savatree_official/,"Tree service",google,1,0,0,86213485
