status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"Yavapai Landscaping","1106 E Gurley St Prescott, AZ 86301",https://yavapailandscaping.com,9283565189,office@yavapailandscaping.com,4.4,130,3.9,123,,,1125,161,1300,1,1,0,1,0,0,0,1,1,1,,https://twitter.com/928landscaping,,,https://www.instagram.com/yavapailandscaping/?hl=en,"Tree Services,Landscaping,Irrigation",yelp,1,0,0,95533136
,"Yanuario Landscaping","Phoenix, AZ 85032",https://yanuariolandscaping.com,4806694538,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Landscaping,Tree Services,Irrigation",yelp,1,0,0,95539103
,"Xeriscapes Unlimited Inc","1310 W Watkins St, Phoenix, AZ 85007",https://xeriscapes.com/contact-us,6022526434,info@xeriscapes.com,3.5,17,,,,,501,14,486,1,0,0,0,0,0,0,1,1,1,https://www.facebook.com/Xeriscapes/,https://twitter.com/XeriscapesAZ,,,,"Tree Service,Landscape Contractors,Landscape Designers & Consultants",yellowpages,1,0,0,107132264
,"West Coast Arborists Inc","6528 W Myrtle Ave, Glendale, AZ 85301",https://www.wcainc.com,6235477881,info@wcainc.com,5,12,,,,,6056,293,6200,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/WestCoastArborists/,,https://www.linkedin.com/company/west-coast-arborists-inc-,https://www.youtube.com/user/WestCoastArborists,https://www.instagram.com/wcainc/,"Tree Service",yellowpages,1,0,0,95538058
,"Ultimate Trees Az","8714 W Carol Ave, Peoria, AZ 85345",https://www.ultimatetreesaz.com,6237386240,quote@ultimatetreesaz.com,5,4,,,,,,,,1,0,0,0,0,0,0,1,1,1,https://www.facebook.com/ultimatetreesaz,,,,https://www.instagram.com/ultimatetreesaz/,"Tree Service",yellowpages,1,0,0,95537975
,"TruGreen Lawn Care","6210 S 30th St, Phoenix, AZ 85042",https://www.trugreen.com,4805576443,customercare@trugreenmail.com,,,,,,,453609,,455000,1,1,1,1,0,0,0,1,1,0,https://www.facebook.com/trugreen,"//www.twitter.com/intent/tweet?url=https%3A%2F%2Fwww.trugreen.com%2Fwhy-choose-trugreen%2Fexperience-and-expertise&text=TruGreen Professional Lawn Care Expertise",,https://www.youtube.com/trugreen,https://www.instagram.com/trugreen_lawn/,"Tree Service,Lawn Maintenance,Landscaping & Lawn Services",yellowpages,1,0,0,107132437
,"Tree Workers of Phoenix","18402 N 19th Ave Ste 115 Phoenix, AZ 85023",https://www.treeworkersofphoenix.com,6023202797,rickthetreeexpert@gmail.com,4.9,52,3.6,15,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree Services",yelp,1,0,0,95539081
,"Murphy's A-1 Tree Service","6432 W Oregon Ave, Glendale, AZ 85301",https://www.treeservicephoenix.net/contact,6238486368,,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/pages/Murphys-A1-Tree-Service/488835901282019,https://twitter.com/MurphysA1TreeS1,,,,"Tree Service,Stump Removal & Grinding,Grading Contractors",yellowpages,1,0,0,107133384
,"Tree Relocators","6502 N 81st Pl, Scottsdale, AZ 85250",https://www.treerelocators.com,4806483901,treerelocators@cox.net,,,5,5,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Tree Services",yelp,1,0,0,95529795
,"Valley Tree Feeders","711 W Happy Valley Rd, Phoenix, AZ 85085",https://www.treefeeders.com,6235870606,info@treefeeders.com,,,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree Service,Arborists,Landscape Contractors",yellowpages,1,0,0,103002616
