status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"Zurita Landscaping Services and Tree Removal","Portland, OR 97266",https://zuritalandscapingservices.com,5032081592,rafazrz@gmail.com,,,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Landscaping & Lawn Services,Landscape Contractors",yellowpages,1,0,0,306972145
,"Wild Roots Arborist","Portland, OR 97211",https://www.wildrootsarborist.com,4797092479,wildrootstree@gmail.com,5,5,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree Services",yelp,1,0,0,96082247
,"Urban Timber Tree Service","10808 SE Harold St, Portland, OR 97266",http://urbantimbertree.com,5034494066,jeremy@urbantimbertree.com,4.9,69,,,,,,,,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/urbantimbertree,,,,https://www.instagram.com/urbantimbertree/,"Tree service",google,1,0,0,553594161
New,"Urban Timber Tree Service","10808 SE Harold St, Portland, OR 97266",https://www.urbantimbertree.com/,5034494066,office@urbantimbertree.com,4.9,69,,,,,,,,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/urbantimbertree,,,,https://www.instagram.com/urbantimbertree/,"Tree service in Portland, Oregon",google-places,1,0,0,561889940
,"Urban Forest Pro","2214 NW 21st Ave, Portland, OR 97209",https://www.urbanforestprofessionals.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,5037760934,cs@urbanforestpro.com,4.8,278,,,,,1091,10,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/UrbanForestPro,https://twitter.com/urbanforestpro,https://www.linkedin.com/company/urban-forest-pro,,https://www.instagram.com/urbanforestpro/,"Tree service in Portland, Oregon",google-places,1,0,0,8551836
,"TRG Tree SVC","15595 NW Norwich St, Beaverton, OR 97006",https://www.trgtree.com,9712289975,service@trgtree.com,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/trgtrees/,,,,https://www.instagram.com/trgtrees,"Tree Service",yellowpages,1,0,0,500116200
,"Tree Talk","Hillsboro, OR 97124",https://www.treetalktoday.com,5035216573,ryan@treetalktoday.com,5,3,,,,,193,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/Treetalkllc/,,,,https://www.instagram.com/tree.talk.consulting/,"Tree Services",yelp,1,0,0,96080047
,"Arbor Art Tree Service LLC","10333 E Burnside St, Portland, OR 97216",https://www.treeservicesoregon.com/,5034213908,arborarttreeservice@gmail.com,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/Arborist63,https://www.twitter.com/wix,https://www.linkedin.com/in/jason-paden-848b8250/,https://www.youtube.com/user/Wix,https://www.instagram.com/wix,,google-places,1,0,0,561892496
,"Clay's Tree Service","1216 SE Pershing St, Portland, OR 97202",http://www.treeserviceportland.biz/,5037611377,claystrees@gmail.com,4.8,11,,,,,70,,71,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/ClaysTreeServiceInc/,,,,,"Tree service in Portland, Oregon",google-places,1,0,0,8552048
,"Trees By Joe","Portland, OR 97225",https://www.treesbyjoe.com/contact,5032926309,joekittel@earthlink.net,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,https://facebook.com/profile.php?id=100063644287277#,,,,,"Tree Service",yellowpages,1,0,0,500116138
,"Peacock Tree Preservation","Serving thePortland Area",https://www.toplinetreecaredfw.com/,9712773618,sales@shopwildfilly.com,5,164,,,,,2334,350,2700,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/profile.php?id=100089858192663&amp,,,,https://instagram.com/toplinetreecaredfw?igshid=NTdlMDg3MTY=,"Tree Service",yellowpages,1,0,0,112316504
,"Tony's Tree Service","1916 SE 97th Ave, Vancouver, WA 98664",https://www.tonystreespdx.com,5037209331,tony@tonystreespdx.com,5,8,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/tr?id=1226970684982835&ev=PageView&noscript=1,,,,https://www.instagram.com/tonystreespdx/,"Tree Service",yellowpages,1,0,0,500116187
,"Talk Yur Junk","Portland, OR 97220",https://www.talkyurjunkllc.com,9713329114,,,,,,,,,,136,1,0,0,0,0,0,0,1,1,1,https://www.facebook.com/people/Talk-Yur-Junk/100087979172522/,,,,https://www.instagram.com/talkyurjunkllc/,,yelp,1,0,0,96083041
,"Striplin's Tree Service","1641 NE 143rd Ave, Portland, OR 97230",https://www.striptree.com/,5032572475,impallari@gmail.com,5,1,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/298828450179145,,,,,"Tree service in Portland, Oregon",google-places,1,0,0,8553310
,"Silver Tree Designs","1625 SE 25th Ave, Portland, OR 97214",https://www.silvertreedesigns.org/Articles.asp?ID=247,5038033247,info@silvertreedesigns.org,,14,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Tree Service",yellowpages,1,0,0,96079030
,"Brave Collective","4859 Meadows Rd, Lake Oswego, OR 97035",https://www.shopbrave.com,5036360889,jen@shopbrave.com,4.5,11,,,,,,,,1,0,0,0,0,0,0,1,1,0,https://www.facebook.com/shopbravecollective,,,,https://www.instagram.com/shopbravecollective/,"Tree Service",yellowpages,1,0,0,500116199
,"SavATree - Tree Service","17350 Boones Ferry Rd, Lake Oswego, OR 97035",https://www.savatree.com/tree-service-lawn-care-oregon,5036452242,mgalvin@savatree.com,4.5,8,,,,,,,,1,1,1,0,0,0,0,0,1,0,https://www.facebook.com/SavATreeHQ/,,https://www.linkedin.com/company/savatree/,https://www.youtube.com/user/naturestrees,https://www.instagram.com/savatree_official/,"Tree Service",yellowpages,1,0,0,500116191
,SavATree,"9945 SE Oak St, Portland, OR 97216",http://savatree.com,5037504992,sjensen@savatree.com,4.5,69,,,,,4205,106,4800,1,1,1,0,0,0,0,0,1,0,https://www.facebook.com/SavATreeHQ/,,https://www.linkedin.com/company/savatree/,https://www.youtube.com/user/naturestrees,https://www.instagram.com/savatree_official/,"Tree service",google,1,0,0,250509155
,SavATree,"9945 SE Oak St, Portland, OR 97216",https://www.savatree.com/locations/portland-oregon/,5037504992,experts@savatree.com,4.5,69,,,,,,,,1,1,1,0,0,0,0,0,1,0,https://www.facebook.com/SavATreeHQ/,,https://www.linkedin.com/company/savatree/,https://www.youtube.com/user/naturestrees,https://www.instagram.com/savatree_official/,"Tree service",google-places,1,0,0,335995332
,"General Tree Service - SavATree","6795 SW 111th Ave, Beaverton, OR 97008",http://savatree.com,5034616535,ehansen@savatree.com,4.8,137,,,,,,,,1,1,1,0,0,0,0,0,1,0,https://www.facebook.com/SavATreeHQ/,,https://www.linkedin.com/company/savatree/,https://www.youtube.com/user/naturestrees,https://www.instagram.com/savatree_official/,"Tree service",google,1,0,0,450770383
,"Roscoe Brothers Tree Service LLC","Vancouver, WA 98668",https://www.roscoebrotherstreeservice.com/,3606001805,,4.8,26,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree service in Vancouver, Washington",google-places,1,0,0,141115066
,"Rich's Tree Service, Inc","RICH""S TREE SERVICE, 20321 NE Sandy Blvd, Fairview, OR 97024",http://richstree.net,5034652133,info@richstree.net,4.8,377,,,,,738,40,759,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/richstreeservicepdx/,,https://il.linkedin.com/company/rich's-tree-service-inc./,,https://www.instagram.com/richstreeservicepdx/,"Tree service",google,1,0,0,96080889
,"Oregon Tree Service","19009 NW Green Mountain Rd, Banks, OR 97106",https://www.oregontreeservicellc.com/,9716780911,,4.9,69,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree service in Washington County, Oregon",google-places,1,0,0,335987257
,"Oregon Stump Grinding","Portland, OR 97202",https://www.oregonstumpgrinding.net,5035513373,orstumpgrinding@gmail.com,,,5,4,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree Services",yelp,1,0,0,96083459
,"NW Tree Work","1141 N Kilpatrick St, Portland, OR 97217",http://www.nwtreework.com/,5039950540,,4.4,33,,,,,167,,169,1,1,0,0,0,0,0,1,1,0,facebook.com/nwtreework,//twitter.com/nwtreework,,,,"Tree service in Portland, Oregon",google-places,1,0,0,286403185
,"Northwest Tree Pros","4281 SE Roethe Rd, Portland, OR 97267",https://www.northwesttreepros.com,5036837888,northwesttreepros@gmail.com,,5,5,1,,,,,,1,1,0,0,0,0,0,1,1,0,//www.facebook.com/northwesttreepros,//twitter.com/nwtreepros,,https://www.youtube.com/channel/UCk9xSKOeo3-MAy4EMNoyvVw,,"Tree Services",yelp,1,0,0,96084287
,"Mossy Tree Care","2525 N Killingsworth St, Portland, OR 97217",https://www.mossytreecare.com/contact,5039144103,hello@mossytreecare.com,4.9,54,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,http://instagram.com/mossytreecare,"Tree services",bing,1,0,0,96079629
,"Monster Tree Service of Portland","Serving thePortland Area",https://www.monstertreeservice.com/portland,9713404870,privacyofficer@authoritybrands.co,4.9,138,,,,,2682,,,1,1,1,0,0,0,0,1,1,0,facebook.net/en_US/fbevents.js,,https://www.linkedin.com/company/monster-tree-service-of-portland/,,https://www.instagram.com/monstertreeservices/,"Tree Service",yellowpages,1,0,0,96078996
,"Milton Cleanup & More","Beaverton, OR 97075",https://www.miltoncleanup.com,5033302137,m.l@miltoncleanup.com,4.7,30,4.5,64,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/Milton-Clean-Up-More-101320671530223/,,,https://www.youtube.com/channel/UCWYyS4VLJa50o4-SWaR0rEQ/featured,https://www.instagram.com/miltoncleanupmore/,"Landscaping,Fences & Gates",yelp,1,0,0,96082049
,"Mike's Tree Service","6545 SW Alfred St, Portland, OR 97223",http://mikes-tree-service-portland.com,5032464410,,,,,,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,,"Tree service",google,1,0,0,8554306
,"Mendoza Landscape and Maintenance","13620 SW Beef Bend Rd, Portland, OR 97224",https://www.mendozalandscapeor.com,9717082017,maranyelimendoza61@gmail.com,5,2,,,,,,,,1,0,0,0,0,0,0,0,1,0,,,,,,"Tree Service",yellowpages,1,0,0,500116078
,"LS Landscaping","515 NW Saltzman Rd Portland, OR 97229",https://www.lslandscaping.net,5039083140,,,,3,8,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Landscaping,Masonry/Concrete,Fences & Gates",yelp,1,0,0,96083949
,"King's Tree Service","11356 NE Fremont Ct, Portland, OR 97220",https://www.kingstreeserviceoregon.com,9712218526,tyler@kingstreeserviceoregon.com,5,144,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,https://www.instagram.com/kingstree.service,"Tree Service",yellowpages,1,0,0,96079053
,"Jepson Arbor Specialists","3537 SE Edison St, Milwaukie, OR 97222",https://www.jepsonarborspecialists.com,5037414066,jepsonarbor@gmail.com,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://facebook.com/414860178367933,,,,https://instagram.com/jepsonarborspecialists,"Tree Service,Arborists",yellowpages,1,0,0,500116397
,"J & F Tree Service Inc","4145 SW Watson Ave, Beaverton, OR 97005",https://www.jandftreeservice.com/,5035540625,info@jandftreeservice.com,4.5,82,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/,https://twitter.com/,https://linkedin.com/,,https://www.instagram.com/,"Tree service in Beaverton, Oregon",google-places,1,0,0,450770297
,"Householder Mowing Service","1512 SE 117th Ave Portland, OR 97216",https://www.householdermowingservice.com,5039084967,info@householdermowingservice.com,4.7,12,4.7,30,,,82,7,101,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/mowingportland,,,,https://www.instagram.com/householdermowingservice,"Lawn Services",yelp,1,0,0,96082054
,"Green Tree Pool","1773 Greentree Rd, Lake Oswego, OR 97034",https://www.greentreepool.com/members,5033035285,greentreepool@gmail.com,4,3,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree Service",yellowpages,1,0,0,371190598
,"Green Tree Landscape & Maintenance","224 Brown St, Woodburn, OR 97071",https://www.greentree-landscape.com,5038522106,,,,5,2,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Landscaping,Tree Services,Pressure Washers",yelp,1,0,0,96081618
,"Green Bee Landscape Maintenance","Estacada, OR 97023",https://www.greenbeelandscaping.com,5034467896,greenbeelandscaping@gmail.com,5,10,5,5,,,216417,192,238000,1,1,0,1,0,0,0,1,1,0,https://www.facebook.com/cloudflare,,https://www.linkedin.com/company/cloudflare,https://www.youtube.com/cloudflare,https://instagram.com/cloudflare,"Landscaping,Pressure Washers",yelp,1,0,0,96084290
