status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"Zelaya Landscaping Services","5330 Garden Springs Ln Unit 308 Raleigh, NC 27610",https://zelayalandscaping.com,9847898495,info@zelayalandscaping.com,4.8,39,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Landscaping,Tree Services,Gardeners",yelp,1,0,0,337052011
,"Wright Brothers’ Tree Service","Carrboro, NC 27510",https://www.yourlocaltreedoctor.com,9192601865,,4.5,27,3.5,6,,,,,,1,1,0,0,0,0,0,1,1,0,,http://www.twitter.com/localtreedoctor,,,https://www.instagram.com/yourlocaltreedoctor/,"Tree Services,Landscaping",yelp,1,0,0,91966069
,"Youngs Tree Tech","6300-170 Creedmoor Rd, Ste 259 Raleigh, NC 27612",http://www.youngstreetech.com,9194200404,customer@youngstreetech.com,4.6,90,4.2,38,,,443,15,469,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/people/Youngs-Tree-Tech-LLC/100063976865979/,,,,,"Tree Services,Firewood,Landscaping",yelp,1,0,0,91966169
,"Yardology Corp","13204 Old Creedmoor Rd, Raleigh, NC 27613",https://www.yardology.com,9199641913,eric@mygrassisgreener.com,2.4,11,,,,,1011,,1000,1,0,0,0,0,0,0,1,1,0,https://www.facebook.com/yardologycorp/,,,,,"Tree Service,Landscape Designers & Consultants,Landscaping & Lawn Services",yellowpages,1,0,0,110964237
,"Vert life landscaping","Durham, NC 27712",https://www.vertlifelawncareandlandscape.com,9194508140,info@vertlifelawncareandlandscape.com,5,10,5,3,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,,"Tree Services,Lawn Services,Pressure Washers",yelp,1,0,0,91966013
,"Uribe Landscaping","Raleigh, NC 27607",https://www.uribeslandscapingnc.com,9844444730,uribelandscapingllc@gmail.com,,,,,,,30,,32,1,1,0,0,0,0,0,0,1,0,https://facebook.com/Uribe-landscaping-llc-106452405251677,,,,https://instagram.com/uribelandscapingllc__,"Landscaping,Irrigation",yelp,1,0,0,110953700
,"TruGreen Lawn Care","240 James Jackson Ave, Cary, NC 27513",https://www.trugreen.com/local-lawn-care/north-carolina/cary?utm_source=gmb_yext&utm_medium=organic&y_source=1_MTUzOTUxNTAtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D,9194670660,customercare@trugreenmail.com,3.7,367,,,,,451676,,453000,1,1,1,1,0,0,0,1,1,0,https://www.facebook.com/trugreen,"//www.twitter.com/intent/tweet?url=https%3A%2F%2Fwww.trugreen.com%2Fabout%2Fprivacy-policy&text=TruGreen Privacy Policy",,https://www.youtube.com/trugreen,https://www.instagram.com/trugreen_lawn/,"Tree Service,Lawn Maintenance,Arborists",yellowpages,1,0,0,307397931
,Dreamscapes,"Raleigh, NC 27606",https://www.triangledreamscapes.com,9198682198,josh@triangledreamscapes.com,,,5,4,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Landscaping,Landscape Architects or Designers,Tree Services",yelp,1,0,0,110950232
New,Trees2Go.com,"Serving theRaleigh Area",https://www.trees2go.com,9192667939,mike@trees2go.com,,,,,,,,,,1,0,0,0,0,0,0,1,1,1,https://www.facebook.com/profile.php?id=100063630759739,,,,,"Tree Service,Nurseries-Plants & Trees",yellowpages,1,0,0,562526918
,"Tree Removal Raleigh Pro","1620 Curtis Dr, Raleigh, NC 27610",https://www.treeremovalraleighpro.com,9193646144,,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/LazadaIndonesia,https://twitter.com/LazadaID,https://www.linkedin.com/company/lazada/,https://www.youtube.com/@LazadaIndonesia,https://www.instagram.com/lazada_id/,"Tree Service",yellowpages,1,0,0,526007155
,"Oaks City Tree Removal Company","3100 Smoketree Ct, Raleigh, NC 27604",https://www.treeremoval-raleigh.com/,9844099391,support@tcpacompliance.co,5,1,,,,,,,,1,1,1,0,0,0,0,1,1,1,,,,,,,bing,1,0,0,337043801
New,"Tree M Removal, LLC","1217 Lake Wendell Rd, Wendell, NC 27591",https://www.treemremoval.com/,9842429193,treemremoval@gmail.com,5,104,,,,,,,,1,0,0,0,0,0,0,1,1,1,,,,,,"Tree service in Johnston County, North Carolina",google-places,1,0,0,562527823
,"Spring Green","175 Towerview Ct, Cary, NC 27513",https://www.spring-green.com/lawn-care-locations/raleigh-area,9192334955,jboye@spring-green.com,,,,,,,,,,1,1,1,0,0,0,0,1,1,0,,,,,,"Tree Service,Lawn Maintenance,Landscaping & Lawn Services",yellowpages,1,0,0,159698766
,"North Raleigh Tree Service","Wake Forest, NC 27587",https://www.northraleightree.com,9198082467,service@northraleightree.com,,,4.6,32,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree Services",yelp,1,0,0,119305875
,"Martinez Brothers NC Landscaping","200 Epperson Dr Durham, NC 27712",https://www.martinezbrothersnc.com,9194089541,david@martinezbrothersnc.com,5,73,5,3,,,,,,1,1,0,0,0,0,0,1,1,1,https://connect.facebook.net/en_US/fbevents.js,,,,https://www.instagram.com/martinez_brothers_nc/,"Landscaping,Masonry/Concrete",yelp,1,0,0,91964895
,"Madden Clean Up","Graham, NC 27253",https://www.maddencleanup.com,3365344864,support@webador.com,,,5,2,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,,yelp,1,0,0,337053336
,"Luant Tree Service","5004 Casa Del Rey Dr, Raleigh, NC 27616",http://luanttreeservices.com,9199096677,luanttreeservices@gmail.com,5,11,,,,,,,,1,1,0,0,0,0,0,0,1,0,http://www.facebook.com/2008/fbml,,,,,"Tree service",google,1,0,0,337052062
,"Longhorn Tree Service","8804 Klondike Ct, Raleigh, NC 27615",https://www.longhorntreeservice.com/,9198477731,contactus@longhorntreeservice.com,5,77,,,,,,,,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/profile.php?id=61558493204350&amp,,,,https://www.instagram.com/longhorntree/,"Tree service in Raleigh, North Carolina",google-places,1,0,0,8668193
,"Lloyd's tree service","2920 Forestville Rd Ste 100 PMB 1144, Raleigh, NC 27616",http://lloydstrees.com,9192787392,,4.9,55,,,,,,,,1,1,1,0,0,0,0,1,1,0,https://www.facebook.com/lloydstreesraleigh/,,,,https://www.instagram.com/lloydstrees/,"Tree service",google,1,0,0,331542158
,"Lloyd’s Tree Service","3420 Tunas St Raleigh, NC 27616",https://www.lloydstrees.com,9198894003,office@lloydstrees.com,,,5,1,,,302,9,351,1,1,1,1,0,0,0,1,1,0,https://www.facebook.com/lloydstreesraleigh/,,,,https://www.instagram.com/lloydstrees/,"Tree Services",yelp,1,0,0,337048680
,"Linebergers Tree Service Inc","5404 Penny Rd, Raleigh, NC 27606",https://www.linebergertree.com/contact-us.html,9198340055,info@linebergertree.com,5,5,,,,,,,546,1,1,0,0,0,0,0,1,1,0,,,,,,,bing,1,0,0,81070954
,"Leaf & Limb","511 Nowell Rd, Raleigh, NC 27607",http://leaflimb.com,9197879551,info@leaflimb.com,4.7,137,,,,,2215,21,,1,1,1,0,0,0,0,1,1,0,https://connect.facebook.net/en_US/fbevents.js,,,https://www.youtube.com/c/Leaflimb,,"Tree service",google,1,0,0,8668537
,"Lawn Doctor of North Raleigh","Serving theRaleigh Area",https://www.lawndoctor.com/raleigh-nc,9842328596,customerservice@lawndoctor.com,4.9,279,,,,,,,,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/LawnDoctorofNorthRaleigh/,https://twitter.com/LawnDoctor,,https://www.youtube.com/user/LawnDoctor,http://www.instagram.com/lawndoctorinc,"Tree Service,Lawn Maintenance,Landscaping & Lawn Services",yellowpages,1,0,0,119316979
New,"Ken B Tree Service","Serving theRaleigh Area",https://www.kens-tree-service.com/,9195394844,support@kens-tree-service.com,4.9,331,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://connect.facebook.net/en_US/fbevents.js,,,,https://www.instagram.com/kenstreeserviceinc/,"Tree Service",yellowpages,1,0,0,562526902
,"Joshua Tree Experts",,http://joshuatreeexperts.com,9193417000,info@joshuatreeexperts.com,5,66,,,,,1384,89,1400,1,1,1,1,0,0,0,1,1,0,https://www.facebook.com/JoshuaTreeExperts/,,http://linkedin.com/company/joshuatreeexperts,,https://www.instagram.com/JoshuaTreeExperts,"Tree service",google,1,0,0,490668679
New,"Jackson’s Tree Service, LLC","5709 Timber Ln, Raleigh, NC 27606",http://jacksonstreeandstump.com,9198325212,jacksonstreeservice.llc@gmail.com,4.7,43,,,,,,,,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/JacksonsTreeandStump/,https://twitter.com/JacksonsTreeNC,,,,"Tree service",google,1,0,0,562527223
New,"Humble Tree Professionals","2409 Parkway Dr, Raleigh, NC 27603",http://humbletreeprofessionals.com,9198200937,humbletreeprofessionals@gmail.com,5,8,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/people/Humble-Tree-Professionals/61571547865005/#,,,https://www.youtube.com/@HumbleTreeProfessionals,https://www.instagram.com/humbletreeraleigh/#,"Tree service",google,1,0,0,562527793
,"Henry’s Tree Service","110 Keith Ridge Ct Knightdale, NC 27545",https://www.henrystreeservice.com/contact-us/,9195329141,treecareexpertraleigh@gmail.com,,,5,6,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree Services",yelp,1,0,0,337044433
,"Haul and Install Landscaping","1554 Bunn Farm Rd, Knightdale, NC 27545",https://www.haulandinstalllandscaping.com,9199721315,chris@haulandinstalllandscaping.com,,,5,2,,,804,27,953,1,0,0,0,0,0,0,1,1,1,https://www.facebook.com/haulandinstall,,https://www.linkedin.com/company/haul-and-install-landscaping,,https://www.instagram.com/haul_and_install_landscaping/,"Landscaping,Tree Services,Gardeners",yelp,1,0,0,168424166
,"Hall American Property Pros","Fuquay Varina, NC 27526",https://www.hallamericanpropertypros.com,9199138388,,5,6,3.7,3,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,,"Tree Services,Landscaping",yelp,1,0,0,94183632
,"Bullard's Tree Services","3409 Utica Dr, Raleigh, NC 27609",https://www.gstatic.com/images/branding/product/1x/googleg_48dp.png,9198766040,,5,1,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Tree service in Raleigh, North Carolina",google-places,1,0,0,562527906
,"The Grounds Guys of Northwest Raleigh","Serving theRaleigh Area",https://www.groundsguys.com/northwest-raleigh/?cid=LSTL_GUY000264,9842176441,social@groundsguys.com,,,,,,,66,101,78,1,1,1,0,0,0,0,1,1,0,https://www.facebook.com/groundsguysnorthwestraleigh/,,,https://www.youtube.com/user/GroundsGuys/,https://www.instagram.com/thegroundsguys/?hl=en/,"Tree Service,Landscape Designers & Consultants,Gardeners",yellowpages,1,0,0,436526305
