status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"ZR Pro Landscaping","Sacramento, CA 95820",https://zrprolawncare.com,2797589453,,,,4.5,55,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/zrprolawncare/,,,,https://www.instagram.com/zrprolawncare/,"Lawn Services,Tree Services,Irrigation",yelp,1,0,0,96085512
,"Yellow Tree","Yuba City, CA 95991",https://yellowtreeyubacity.com,5304914758,admin@yellowtreeyubacity.com,4.4,24,4.9,20,,,536,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/1606180122963117,https://www.twitter.com/YellowT98387720,,https://www.youtube.com/watch?v=zG3SdrjAZO8&ab_channel=YellowTree,,"Tree Services",yelp,1,0,0,96085429
,"Wilson Landscape Maintenance Services","6328 Ventura St Sacramento, CA 95822",https://Www.Wilsonlandscapemaintenance.com,9168920183,,,,4.6,22,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Landscaping,Tree Services,Pressure Washers",yelp,1,0,0,96088188
,"Green Tree Service West Sacramento","736 Solano St, West Sacramento, CA 95605",https://www.westsacramentotreeservice.com/,9169150834,,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,,bing,1,0,0,248716320
,"West Coast Tree Care, Inc.","3308 El Camino Ave Ste 300-162, Sacramento, CA 95821",https://www.wctreeexperts.com/contact,8007678733,sacramento@westcoast-tree.org,,,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/westcoasttreeexperts,,,,,"Tree Service,Arborists",yellowpages,1,0,0,102359807
,"Vazquez Tree Service","5905 Green Glen Way, Sacramento, CA 95842",https://www.vazqueztreeserviceca.com/,9163385873,vazqueztree@gmail.com,3,2,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree Service,Gardeners",yellowpages,1,0,0,106552272
,"Tree Tech Services","8609 Weyand Ave, Sacramento, CA 95828",http://treetechservices.com,9166887979,terri@treetechservices.com,4.4,18,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree service",google,1,0,0,8558113
,"Tree Services Sacramento","180 Promenade Cir Ste 300, Sacramento, CA 95834",https://www.treeservicessacramento.org/privacy-policy,9169001167,info@treeservicessacramento.org,,,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/TreeServiceSacramento,,,,,"Tree Service",yellowpages,1,0,0,96086761
,"Tree Care Incorporated","11353 Sunrise Gold Cir STE I, Rancho Cordova, CA 95742",http://treecareinc.biz,9168529500,info@treecareinc.biz,5,118,,,,,148,6,,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/p/Tree-Care-Incorporated-100063471161246/,https://twitter.com/TreeCareIncorp2,https://www.linkedin.com/company/tree-care-incorporated,,https://www.instagram.com/tree_care_sacramento/,"Tree service",google,1,0,0,8559037
,"Top Notch Tree Service","3050 Good Shepard Ln Placerville, CA 95667",https://www.topnotchtreesservice.com,5309199940,,4.1,9,5,14,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree Services",yelp,1,0,0,96090455
,"Tailored Tree Inc.","5170 Golden Foothill Pkwy, El Dorado Hills, CA 95762",https://www.tailoredtree.com/,9165451532,info@tailoredtree.com,4.9,105,,,,,1875,,1900,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/tailoredtree/,,,,,"Tree service in El Dorado Hills, California",google-places,1,0,0,87652978
,"SW Allen Construction Inc","4777 Auburn Blvd Ste 100, Sacramento, CA 95841",https://www.swaci.com/contact-us,9163442098,info@swaci.com,5,3,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,https://www.linkedin.com/company/s-w-allen-construction-inc,,,"Tree Service,General Contractors,Real Estate Developers",yellowpages,1,0,0,378853211
