status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"Yates Tree Inc","1210 Brook Blf, San Antonio, TX 78248",https://yatestreeinc.com/,2103492977,jimcyates@att.net,5,23,,,,,356,3,361,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/YatesTreeInc,https://twitter.com/YatesTree,,https://www.youtube.com/channel/UC5tK-TEFs_wZhZcH56fwljw,https://www.instagram.com/,"Tree Service,Arborists,Stump Removal & Grinding",yellowpages,1,0,0,209015925
,"Yard By Design","San Antonio, TX 78258",https://yardbydesign.com,2106388804,pgyardbydesign@gmail.com,5,12,5,2,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree Services,Landscaping",yelp,0,0,0,95532093
,"Urban Tree Company","137 W Specht Rd San Antonio, TX 78260",https://urbantreecompany.com,2104401049,jenniu@urbantreecompany.com,4.8,131,5,4,,,465,,615,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/urbantreecompany,,,https://www.youtube.com/@urbantreecompany8346,https://www.instagram.com/urbantreecompany/,"Nurseries & Gardening,Landscaping,Tree Services",yelp,1,0,0,95530479
,"Urban Land Tree Soil","137 W Specht Rd, San Antonio, TX 78260",https://www.urbansoiltx.com,2104401049,scotta@urbansoiltx.com,,,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/urbantreecompany,,,https://www.youtube.com/@urbantreecompany8346,https://www.instagram.com/urbantreecompany/,"Tree Service,Grading Contractors",yellowpages,1,0,0,209015824
,"Tree Wise Men","118 Dean St, San Antonio, TX 78212",http://treewisemen.net,2107378733,jennifer@treewisemen.net,4.2,19,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree service",google,1,0,0,8517761
,"Tree Services San Antonio","San Antonio, TX 78207",https://www.treeservicessanantonio.com,2108801293,pw-0f748b6e52b150ad96501057c8b21fbd@privacyguardian.org,,,,,,,,,,1,1,1,0,0,0,0,1,1,1,,,,,,"Tree Services",yelp,1,0,0,95532265
,"Tree Service of San Antonio",,https://www.treeserviceofsanantonio.com/,2103417550,southtexasarborist@gmail.com,4.8,62,,,,,82,,,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/Tree-Service-of-San-Antonio-272955036190675/,https://twitter.com/treeservicesa,,,,,google-places,1,0,0,95528180
New,"The Stump Guy","138 Honeysuckle Ln, San Antonio, TX 78213",https://www.thestumpguysa.com/,2103940227,info@thestumpguysa.com,4.9,70,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/SanAntonioStumpGuy/,https://twitter.com/stumpguysa,,,https://www.instagram.com/stumpguysa/,"Tree service in Castle Hills, Texas",google-places,1,0,0,556238361
,"Texas Sun Tree Services","8403 Old Grissom Rd, San Antonio, TX 78251",https://www.texassuntreeservices.com,2103991380,esteban@texassuntreeservices.com,,,4.8,48,,,144,,154,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/texassuntreeservices,,,,,"Tree Services",yelp,1,0,0,95528247
,"Steel Roots Tree Services","126 Gaiety Ln, Kirby, TX 78219",https://www.steelrootstreeservices.com,2103525692,janet@steelrootstreeservices.com,,,5,2,,,45,,,1,1,0,0,0,0,0,0,1,0,https://facebook.com/jmheckadon,,,,,"Tree Services",yelp,1,0,0,95530194
,"Spiderman Tree Trimming Service","530 Hudson, San Antonio, TX 78202",https://www.spidermantreeservice.net,2102148861,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree Service,Stump Removal & Grinding",yellowpages,1,0,0,209015975
,"Simon Does","Live Oak, TX 78233",https://www.simondoestrees.com,2103659748,simondoestrees@gmail.com,,,4.9,8,,,,,,1,0,0,0,0,0,0,0,1,0,,,,,,"Tree Services,Landscaping",yelp,1,0,0,95530502
,"SA Total Tree Service","12790 Fm 1560 N Ste 1027 Helotes, TX 78023",https://www.satotaltreeservice.com,2108572006,dave@satotaltreeservice.com,,,4.2,6,5,17,,,,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/daveSAtotaltreeservice,,,https://www.youtube.com/channel/UCBWCG_tFz7OHEvkAFLiZ7cw,,"Tree Services,Landscaping",yelp,1,0,0,95531389
,"San Antonio Tree Removal Service","10211 Canton San Antonio, TX 78245",https://www.sanantoniotreeremovalservice.com,2108067719,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,,,,,,"Tree Services",yelp,1,0,0,95532269
,"Tree Removal San Antonio","975 W Bitters Rd Ste 92 San Antonio, TX 78216",https://www.sanantoniotreeremovals.com,2109448100,,,,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Tree Services",yelp,1,0,0,95531394
,"Horton Horticulture Inc","538 Everest Ave, San Antonio, TX 78209",https://www.saaaonline.org/suppliers-directory/horton-horticulture-inc,2108261777,sandra@saaaonline.org,,,,,,,3523,,4200,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/SAAATexas/,,https://www.linkedin.com/company/san-antonio-apartment-association/,,https://www.instagram.com/saaatexas/,"Gardeners,Landscape Designers & Consultants,Tree Service",yellowpages,1,0,0,106616776
,"Rigo's Tree Service","134 Cabot St, San Antonio, TX 78213",https://rigostreeservice.com/,2102557583,rigostreeservice12@gmail.com,5,9,,,,,,,,1,0,0,0,0,0,0,1,1,1,https://www.facebook.com/RigosTreeService,,,,,"Tree service in San Antonio, Texas",google-places,1,0,0,34827538
,"Republic Tree Service","6335 Camp Bullis Rd Suite 21, San Antonio, TX 78257",http://republictreeservice.com,2104808733,info@republictreeservice.com,4.9,734,,,,,527,,,1,1,0,0,0,0,0,0,1,0,https://facebook.com/republictreeservice,https://twitter.com/RepublicTreeSA,https://linkedin.com/company/republic-tree-service-sa?trk=public_post_feed-actor-name,https://youtube.com/channel/UCAA5MzIo1nNGFlSTq0v0TpQ,https://instagram.com/republictreeservices,"Tree service",google,1,0,0,8517129
,"Ramirez Tree Services","470 Cherry Ridge Dr, San Antonio, TX 78213",https://www.ramireztreeservicesa.com/contact-us,2106772414,contactus@ramireztreeservicesa.com,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,,,,,,"Tree Service,Landscape Contractors,Stump Removal & Grinding",yellowpages,1,0,0,485835663
,"Pro Landscape Solutions","7823 Mainland Dr, San Antonio, TX 78250",https://www.prolandscapesolutionsllc.com,2109717771,fernando@prolandscapesolutionsllc.com,4.4,7,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,https://www.linkedin.com/in/fernando-keller-3399157a,,,"Tree Service,Landscape Contractors,Landscape Designers & Consultants",yellowpages,1,0,0,106616283
,"Out On A Limb Tree Care","18765 Redland Rd, San Antonio, TX 78259",http://outonalimbsa.com,2103389042,bixbyinc@att.net,4.4,19,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://facebook.com/outonalimbsa,,,,,"Tree service",google,1,0,0,28966957
,"Noodle Tree","7114 Utsa Blvd, San Antonio, TX 78249",https://www.noodletreetx.com,2102336371,noodletreetx@gmail.com,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,https://connect.facebook.net/en_US/fbevents.js,,,,,"Tree Service",yellowpages,1,0,0,209015935
,"New Heights Tree Service","9498 US Highway 87 E San Antonio, TX 78263",https://www.newheightsco.com,2105498733,mail@newheightsco.com,5,5,5,5,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Tree Services",yelp,1,0,0,95528454
,"Middleman Construction Co","9639 McCullough Ave, San Antonio, TX 78216",https://www.middlemanconstruction.com,2103426322,info@middlemanconstruction.com,2.3,3,,,,,243,25,293,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/middlemanconstructionco,,https://www.linkedin.com/company/middleman-construction-company-llc,,https://www.instagram.com/middlemanconstructionco,"Tree Service,General Contractors,Tile-Contractors & Dealers",yellowpages,1,0,0,390247228
New,"Luna's Tree Service","231 Notre Dame Dr, San Antonio, TX 78228",https://www.lunastreeservice.com/,2104610590,gilbert@lunastreeservice.com,4.9,73,,,,,,,,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/profile.php?id=100057669480597,,,,,"Tree service in San Antonio, Texas",google-places,1,0,0,556237748
,"Luna's Tree Service",,http://lunastreeservice.com,2104610590,gaelgilbert871@gmail.com,4.8,32,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,,google,1,0,0,8517451
,"Lemus Landscaping and Tree Service","San Antonio, TX 78254",https://www.lemuslandscapingandtreeservice.com,2108337013,,,,5,1,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Landscaping,Tree Services,Masonry/Concrete",yelp,1,0,0,95531929
