status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"Greenpal Lawn Care of San Diego","6920 Miramar Rd Ste 102A, San Diego, CA 92121",https://www.yourgreenpal.com/local/lawn-care-san-diego-ca,8582155343,joy@coastalpro.com,,,,,,,3420,24,4100,1,1,1,0,0,0,0,1,1,0,https://www.facebook.com/pages/GreenPal/495779490484818,https://twitter.com/YourGreenPal,https://www.linkedin.com/in/bryan-clayton-2b358327,,https://www.instagram.com/yourgreenpal/,"Tree Service,Landscaping & Lawn Services,Lawn Maintenance",yellowpages,1,0,0,109185119
,"Xtreme Arborists","Escondido, CA 92027",https://www.xtremearborists.com,7604530684,,,,5,9,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree Services",yelp,0,0,0,95532244
,"Western Tree Service","6549 Mission Gorge Rd, San Diego, CA 92120",https://www.westerntreeservice.com,6197984692,westerntree@hotmail.com,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree Service,Stump Removal & Grinding",yellowpages,1,0,0,107892144
,"West Coast Arborists, Inc","8163 Commercial St, La Mesa, CA 91942",http://westcoastarborists.com,8585664204,info@wcainc.com,4.1,27,,,,,5999,246,,0,1,0,0,0,0,0,0,1,0,https://www.facebook.com/WestCoastArborists/,,https://www.linkedin.com/company/west-coast-arborists-inc-,https://www.youtube.com/user/WestCoastArborists,https://www.instagram.com/wcainc/,,google,1,0,0,8517516
,"West Coast Arborists, Inc","8163 Commercial St, La Mesa, CA 91942",https://www.westcoastarborists.com/,8585664204,wcahiring@wcainc.com,4.3,33,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/WestCoastArborists/,,https://www.linkedin.com/company/west-coast-arborists-inc-,https://www.youtube.com/user/WestCoastArborists,https://www.instagram.com/wcainc/,"Tree service in La Mesa, California",google-places,1,0,0,556496212
,"West Coast Tree Co","PO Box 1762, La Jolla, CA 92038",https://www.wctrees.com,6195189507,info@wctrees.com,,,,,,,,,,0,1,1,0,0,0,0,1,1,1,https://www.facebook.com/westcoasttrees/,https://twitter.com/WestCoast_Trees,https://www.linkedin.com/company/west-coast-trees/,,https://www.instagram.com/west_coast_trees/,"Tree Service",yellowpages,1,0,0,95533898
,"Vista Valley Tree Service","Vista, CA 92081",https://www.vistavalleytree.com,7604072888,vistavalleytree@aol.com,,,4.5,61,,,,,,1,1,0,0,0,0,0,1,1,1,https://m.facebook.com/p/Vista-Valley-Tree-Service-Inc-100076437121699/,,,,,"Tree Services",yelp,1,0,0,95532512
,"Vista Tree Service","2270 Bautista Ave, Vista, CA 92084",https://www.vistatreeserviceinc.com,4422245679,vistatreesvc@gmail.com,4.3,15,4.1,54,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree Services",yelp,1,0,0,95530594
,"TruGreen Lawn Care","8676 Production Ave, San Diego, CA 92121",https://www.trugreen.com/?y_source=1_MzI0NTI3NTktNTUzLWxvY2F0aW9uLndlYnNpdGU%3D,4422221794,customercare@trugreenmail.com,2.6,22,,,,,451691,,453000,1,1,1,1,0,0,0,0,1,0,https://www.facebook.com/trugreen,"//www.twitter.com/intent/tweet?url=https%3A%2F%2Fwww.trugreen.com%2Fwhy-choose-trugreen%2Fexperience-and-expertise&text=TruGreen Professional Lawn Care Expertise",,https://www.youtube.com/trugreen,https://www.instagram.com/trugreen_lawn/,"Landscape Contractors,Landscaping & Lawn Services,Lawn Maintenance",yellowpages,1,0,0,107892485
,"San Diego Tree Service Contractor","3445 42nd St, San Diego, CA 92105",https://www.treeservicecontractor.com/,6199443254,sandiego@treeservicecontractor.com,5,70,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/SDTreeService,,,,https://www.instagram.com/sdtreeservicecontractor/,"Tree service in San Diego, California",google-places,1,0,0,8517397
