status,name,address,website,phone,email,first_name,last_name,job_title,email_verified,personal_email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"Zambrano Tree Service","93 Camino Por Los Árboles Atherton, CA 94027",https://zambrano-treeservice.negocio.site,6504815789,,,,,,,,,4.5,8,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Tree Services",yelp,1,0,0,95533786
,"Waraner Tree Experts","1267 Quiet Cir Concord, CA 94521",https://www.waranertreeexperts.com,9254715155,info@waranertreeexperts.com,,,,,,,,4.7,182,,,,,,0,1,0,0,0,0,0,0,1,0,http://www.facebook.com/pages/Waraner-Tree-Experts/286161121768,,,https://www.youtube.com/watch?v=Ji8KTiBOcs4,,"Landscaping,Tree Services,Crane Services",yelp,1,0,0,95532305
,"The Urban Arborist","1550 Davidson Ave, San Francisco, CA 94124",http://www.urbanarborist.co,4156761949,info@urbanarborist.co.uk,,,,,,5,401,4.7,135,,,,,,1,0,0,0,0,0,0,1,1,1,,,,https://www.youtube.com/watch?v=nCDhlexb6og&feature=youtu.be,https://www.instagram.com/the_urban_arborist,"Tree Services,Landscaping",yelp,1,0,0,95531772
,"Tree Services Garden and Landscaping","701 9th Ave Apartamento 3 Redwood City, CA 94063",https://www.treeservicesgardenandlandscaping.com,6503154846,,,,,,,,,4.7,11,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree Services",yelp,1,0,0,95531872
,"Tree Service San Francisco CA","San Francisco, CA 94103",https://www.treeremovalsanfrancisco.com,4153586670,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Tree Services",yelp,1,0,0,95538611
,"Tree Ops","3301 Concord Blvd, Concord, CA 94519",https://www.treeopsco.com,7145893557,jorge.trujillo@treeopsco.com,,,,,,5,15,3.7,6,,,,,,1,1,1,0,0,0,0,1,1,0,https://m.facebook.com/Tree-Ops-101164572131458/,,,,,"Tree Services",yelp,1,0,0,95538602
,"Butler Brothers Tree Services","540 Palmetto Ave, Pacifica, CA 94044",http://treebutler.com,6503590416,treebutler@comcast.net,,,,,,4.7,3,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,google,1,0,0,8528650
,"Traverso Tree Service","4080 Cabrilho Dr, Martinez, CA 94553",http://traversotree.com,9259307901,office@traversotree.com,,,,,,4.6,24,,,,,548,3,562,1,1,0,1,0,0,0,1,1,1,https://www.facebook.com/traversotree,,https://www.linkedin.com/pub/traverso-tree-service/38/6a3/a40,https://www.youtube.com/user/Traversotree,https://www.instagram.com/traversotree/?hl=en,"Tree service",google,1,0,0,8528651
,"Rain tree market","973 Market St, San Francisco, CA 94103",https://www.thewilsonsf.com/?utm_knock=g,4155464979,,,,,,,3.9,59,,,,,,,,1,1,1,0,0,0,0,1,1,0,https://www.facebook.com/TheWilsonSF,,,,https://www.instagram.com/thewilsonsf/,"Tree Service",yellowpages,1,0,0,239162737
,"Sagrero Tree Service","2490 Gonzaga St, East Palo Alto, CA 94303",https://www.ststreeservice.com,6503465377,sagrerotreeservice@hotmail.com,,,,,,,,5,32,,,,,,1,0,0,0,0,0,0,1,1,0,https://web.facebook.com/Sagrero-Tree-Service-340287613137159/?_rdc=1&amp,https://twitter.com/SagreroTree,,,,"Tree Services",yelp,1,0,0,95531318
,"Stephens Tree Care","123 Main St, San Francisco, CA 94105",https://www.stephenstreecare.com/contact.html,5415473465,stephenstreecare@gmail.com,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,,"Tree Service",yellowpages,1,0,0,343601753
,"Saunders Tree Service","22844 Alice St, Hayward, CA 94541",https://www.saunderstreeserviceinc.com,9252009057,ervice@yahoo.com,,,,,,5,44,5,27,,,,,41,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/SaundersTS,,,,,"Tree Services",yelp,1,0,0,95539252
,"Golden City Tree Service","601 Montgomery St, San Francisco, CA 94111",https://www.sanfrancisco-treeremoval.com/,4153900378,support@tcpacompliance.co,,,,,,5,4,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,,bing,1,0,0,243463478
,"Ponderosa Tree Service","2207 San Pablo Ave, Berkeley, CA 94702",https://www.ponderosatreeservice.com/,5108453644,info@ponderosatreeservice.com,,,,,,4.4,12,,,,,377,,371,1,1,1,0,0,0,0,1,1,1,https://web.facebook.com/ponderosatree/?_rdc=1&amp,,,,,"Tree service in Berkeley, California",google-places,1,0,0,8528440
,"Ponderosa Tree Service","2207 San Pablo Ave, Berkeley, CA 94702",http://ponderosatreeservice.com,5108453644,admin@ponderosatreeservice.com,,,,,,4.4,12,,,,,377,,371,1,1,1,0,0,0,0,1,1,1,https://web.facebook.com/ponderosatree/?_rdc=1&amp,,,,,"Tree service",google,1,0,0,8528506
,"Monster Tree Service of North Bay","Novato, CA 94945",https://www.monstertreeservice.com/north-bay/,7078144840,privacyofficer@authoritybrands.co,,,,,,4.5,33,4.7,27,,,,,,1,1,1,0,0,0,0,1,1,0,facebook.net/en_US/fbevents.js,,,,https://www.instagram.com/monstertreeservices/,"Tree Services",yelp,1,0,0,95533902
,"Monster Tree Service of the Coast","111 Industrial Rd Ste 6 https://www.monstertreeservice.com/north-bay/ Belmont, CA 94002",https://www.monstertreeservice.com/coast/,6504190460,ccpa@authoritybrandsllc.com,,,,,,,,4.9,53,3.7,5,,,,1,1,1,0,0,0,0,1,1,0,https://www.facebook.com/MonsteroftheCoast/,,https://www.linkedin.com/company/monster-tree-service,,https://www.instagram.com/monsterofthecoast/,"Tree Services",yelp,1,0,0,95531641
,"Madriz Tree service","545 24th St Richmond, CA 94804",https://www.madriztreeservice.com,5106859076,,,,,,,,,4.9,63,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree Services",yelp,1,0,0,95531451
,"Lime Tree","836 Clement St, San Francisco, CA 94118",https://www.limetreekitchen.com,4158318811,hello@limetreekitchen.com,,,,,,,,,,,,,,160,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree Service",yellowpages,1,0,0,239162716
,"Julian Tree Care","561 Juliga Woods St, Richmond, CA 94804",http://juliantreecare.com,5108608945,juliantreecare@gmail.com,,,,,,4.9,38,,,,,,,,1,1,1,0,0,0,0,1,1,1,,,,https://www.youtube.com/channel/UCSQKiijyJEnhCHhHBZjxPGg,,"Tree service",google,1,0,0,8528418
