status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"West Valley Tree Care","197 Cumulus Ave, Sunnyvale, CA 94087",https://www.westvalleytreecarebayarea.com,4083900316,,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree Service,Arborists",yellowpages,1,0,0,95536665
,"West Coast Arborists Inc","390 Martin Ave, Santa Clara, CA 95050",https://www.westcoastarborists.com,4088558660,wcahiring@wcainc.com,4.8,18,,,,,6042,298,6200,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/WestCoastArborists/,,https://www.linkedin.com/company/west-coast-arborists-inc-,https://www.youtube.com/user/WestCoastArborists,https://www.instagram.com/wcainc/,"Tree Service,Arborists",yellowpages,1,0,0,95535507
,"Strawberry Tree Inc","949 Cascade Dr, Sunnyvale, CA 94087",https://www.volersystems.com/contact-us,4082459844,info@volersystems.com,,,,,,,,,55,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/VolerSystems/,,https://www.linkedin.com/company/voler-systems/,https://www.youtube.com/channel/UCOMfjfdfqKvlJ10wQwKvqAw,,"Tree Service",yellowpages,1,0,0,95536674
,"Luna's Tree Service","350 Demeter St #4b, East Palo Alto, CA 94303",http://treeservicespaloalto.com,6505824123,,5,179,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree service",google,1,1,0,101230886
,"Rodriguez Tree Service",Lakeland,https://www.treeservicesancarlos.com,6506715897,rodrigueztreeservicellc4@gmail.com,5,121,5,39,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree Services,Landscaping",yelp,1,0,0,492985906
,"Tree Movers","2190 Crittenden Ln, Mountain View, CA 94043",https://www.treemovers.com/,6509686117,ted@treemovers.com,4.7,16,,,,,80,3,84,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/treemovers1/,,http://linkedin.com/in/ted-miljevich-8b4b9017,,,"Tree service in Mountain View, California",google-places,1,0,0,503612412
New,"Stump King Removal Specialist","Private Address in San Jose, CA",https://www.stumpking.com/,4082964476,info@stumpking.com,,,,,,,,,,1,0,0,0,0,0,0,1,1,1,,,,,,,bing,1,0,0,558392131
,"SavATree - Tree Care Service","1592 Little Orchard St, San Jose, CA 95110",https://www.savatree.com/locations/san-jose-california/?utm_source=GMB&utm_medium=organic&utm_campaign=san_jose,6693067100,experts@savatree.com,4.9,68,,,,,4268,105,4900,1,1,1,1,0,0,0,0,1,0,https://www.facebook.com/SavATreeHQ/,,https://www.linkedin.com/company/savatree/,https://www.youtube.com/user/naturestrees,https://www.instagram.com/savatree_official/,"Tree service in San Jose, California",google-places,1,0,0,39112553
,"SavATree - Tree Care Service","1592 Little Orchard St, San Jose, CA 95110",http://savatree.com,6693067100,mgalvin@savatree.com,4.9,68,,,,,4268,105,4900,1,1,1,1,0,0,0,0,1,0,https://www.facebook.com/SavATreeHQ/,,https://www.linkedin.com/company/savatree/,https://www.youtube.com/user/naturestrees,https://www.instagram.com/savatree_official/,"Tree service",google,1,0,0,95536590
,"Quality and Low Cost Tree Service","Seaside, CA 93955",https://www.qualityandlowcosttree.com,8314022746,,,,4.1,18,,,587910,,46,1,1,0,1,0,0,0,1,1,0,https://www.facebook.com/wix,https://twitter.com/Wix,https://www.linkedin.com/company/wix-com,,,"Tree Services,Firewood",yelp,1,0,0,95531319
,"Proven Quality Tree Service","Salinas, CA 93907",https://www.provenqualitytreeservice.com,8317839292,provenqualitytreeservice@gmail.com,5,7,5,18,,,,,32,1,1,0,0,0,0,0,1,1,1,http://www.facebook.com/people/Proven-Quality-Tree-Service/100076182706529/?paipv=0&amp,,,http://www.youtube.com/channel/UCY3LBDsexU1SUlWyfr0WeqA,http://instagram.com/proven.quality.tree.service/,"Tree Services",yelp,1,0,0,95530851
,"Procopio’s Tree Service","4184 Mount Hood Way San Jose, CA 95127",https://www.procopiostreeservice.com,4087707879,,,,4.9,17,,,,,,1,0,0,0,0,0,0,0,1,0,,,,,,"Tree Services",yelp,1,0,0,95532712
,"Peppertree Technology Corp","1871 Otoole Ln, San Jose, CA 95131",https://www.peppertreetech.com,4085260588,jenny@peppertreetech.com,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree Service",yellowpages,1,0,0,95536210
,"NewVista Tree Service","545 Meridian Ave #26231, San Jose, CA 95126",http://newvistainc.com,4086469790,contact@newvistainc.com,5,62,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Tree service",google,1,0,0,128259657
,"Monster Tree Service of the Coast","111 Industrial Rd, Ste 6 Belmont, CA 94002",https://www.monstertreeservice.com/coast/,6504190460,privacyofficer@authoritybrands.co,4.8,72,4.9,58,,,,,,1,1,1,0,0,0,0,1,1,0,facebook.net/en_US/fbevents.js,,,,https://www.instagram.com/monsterofthecoast/,"Tree Services",yelp,1,0,0,95529705
New,"Monkey's Tree Service","664 Richmond Ave, San Jose, CA 95128",http://monkeystreesvc.com,4088317844,,,,,,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,,"Tree service",google,1,0,0,558392467
,"Majestic Tree Service","171 Branham Ln Ste 10 #209, San Jose, CA 95136",http://www.majestictreeservice.com/,6692169118,info@majestictreeservice.com,4.8,119,,,,,,,,1,1,1,0,0,0,0,1,1,1,,,,,https://www.instagram.com/majestictreeservice/,"Tree service in San Jose, California",google-places,1,0,0,8522674
,"Ljr Tree Services Inc.","3697 Norwood Ave, San Jose, CA 95148",https://www.ljrtreeservicesinc.com/?y_source=1_NzIxOTM0NzMtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D,4087124823,ljrtreeservicesinc@gmail.com,5,16,,,,,,,,1,1,0,0,0,0,0,0,1,0,https://facebook.com/ljrtreeservices,,,,,"Arborists,Tree Service",yellowpages,1,0,0,95534267
,"Lemus Landscaping & Excavating","San Jose, CA 95117",https://www.lemuslandscapingllc.com,6506302521,lemuslandscapingllc.com@wix-domains.com,,,5,31,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Landscaping,Excavation Services,Artificial Turf",yelp,1,0,0,91933781
,"JC Tree Experts","3173 Heritage Valley Dr, San Jose, CA 95148",http://jctreeexperts.net,4088586123,jctree1990@yahoo.com,5,70,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,https://www.instagram.com/jctreeexperts/?hl=en,"Tree service",google,1,0,0,8532233
,"JC Tree Care & Landscape","2938 Crocker Ave, Redwood City, CA 94063",https://www.jctreecarelandscape.com,6504682413,jc@jctreecarelandscape.com,4.8,76,4.7,156,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree Services,Landscaping",yelp,1,0,0,91931486
,"Hernandez Tree Service","1551 Knox St, Castro Valley, CA 94546",https://www.hernandeztreeservicecv.com,3412457784,al_hernandez@att.net,,,5,62,,,,,,1,1,1,0,0,0,0,1,1,1,,,,,,"Tree Services",yelp,1,0,0,95530025
New,"Green Sierra Landscaping, Inc.","2670 S White Rd Suite #240, San Jose, CA 95148",https://www.greensierraland.com/,4085045752,jorge@greensierraland.com,5,1,,,,,,,,1,0,0,0,0,0,0,0,1,0,,,,,,"Tree service in San Jose, California",google-places,1,0,0,558392468
,"Green Arbor Tree Care","San Jose, CA 95112",https://www.greenarbortreecare.com,6692553919,greenarbortree@yahoo.com,,,5,4,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree Services",yelp,1,0,0,95529363
,"Golden State Tree Care","Fremont, CA 94536",https://www.goldenstatetreecareca.com,5108619022,info@goldenstatetreecareca.com,,,5,5,,,,,,1,0,0,0,0,0,0,0,1,0,https://www.facebook.com/people/Golden-State-Tree-Care/61557594976265/,,,,,"Tree Services",yelp,1,0,0,313188026
,"Encinal Tree Service","3525 Farm Hill Blvd Ste 3 Redwood City, CA 94061",https://www.encinaltreeservice-inc.com,6508621378,encinal.treeservice@gmail.com,,,5,80,,,,,,1,0,0,0,0,0,0,0,1,0,,,,,,"Tree Services",yelp,1,0,0,95530835
,"Emerald View Tree Service","San Jose, CA 95127",https://www.emeraldviewtree.com,4089148601,edgarbenitez@emeraldviewtreeservice.com,5,43,4.8,33,,,4,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/people/Emerald-View-Tree-Service-INC/100070388991258/,,,,https://www.instagram.com/emeraldviewtreeservice/,"Tree Services",yelp,1,0,0,95530669
,"The Davey Tree Expert Company","88 Phelan Ave, San Jose, CA 95112",https://www.davey.com/residential-tree-services/local-offices/south-bay-tree-service/?source=Yelp,4084533389,info@davey.com,4.2,25,2.8,54,,,,,,1,1,1,0,0,0,0,1,1,0,https://www.facebook.com/DaveyTree,https://twitter.com/DaveyTree,http://www.linkedin.com/company/the-davey-tree-expert-company,http://www.youtube.com/user/DaveyTreeExpertCo,https://instagram.com/DaveyTree/,"Tree Services",yelp,0,0,0,95529673
,"Cortez Cortez Tree Services","Redwood City, CA 94061",https://www.cortezcorteztreeservice.com,6505566271,cortezcorteztreeservice.com@wix-domains.com,,,,,,,,,,0,1,0,0,0,0,0,1,1,0,,,,,,"Tree Services",yelp,1,0,0,95532040
,"California Tree Solutions Alum Rock - Stump Removal","3507 Pine Ridge Way, San Jose, CA 95127",https://www.californiatreesolutions.com/index.html,4089105143,californiatreesolutions@yahoo.com,4.2,20,,,,,829,,852,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/CaliforniaTreeSolutions/,,https://www.linkedin.com/in/paul-sousa-402968110,,,"Tree service in San Jose, California",google-places,1,0,0,8525242
,"Califa Tree Care","Antioch, CA 94509",https://www.califatreecare.com,5108155954,califatreecare@gmail.com,,,4.9,125,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree Services",yelp,1,0,0,95532494
,"Boyd's Tree Services","765 E McGlincy Ln, Campbell, CA 95008",https://www.boydstreeservice.com/,4083715040,boydstslm@gmail.com,5,5,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Tree service in Campbell, California",google-places,1,0,0,8525614
,"Bill’s Tree Care And Landscape","12 San Jose Ave, San Jose, CA 95125",https://www.billstreecare.org,4084483956,,3.7,7,3.7,29,,,,,,0,0,0,0,0,0,0,1,1,0,,,https://www.linkedin.com/company/bills-tree-care-and-landscape,,,"Landscaping,Tree Services",yelp,1,0,0,95531317
,"Bartlett Tree Experts","882 Camden Ave, Campbell, CA 95008",http://bartlett.com,4083587888,bfletcher@bartlett.com,4.7,26,,,,,9379,,,1,1,0,0,0,0,0,1,1,1,,http://twitter.com/BartlettTreeExp,https://www.linkedin.com/company/bartlett-tree-experts,https://www.youtube.com/user/BartlettTreeExperts,https://www.instagram.com/lifeatbartlett/?hl=en/,"Tree service",google,1,0,0,8532245
New,"A & Y Expert Tree Service","(408) 355-0220",https://www.ayexperttreeserviceinc.com,4085025190,aandytreeservice@gmail.com,,,5,22,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,https://instagram.com/aandyexperttree?igshid=MzNlNGNkZWQ4Mg==,"Tree Services",yelp,1,0,0,558392569
,"Anderson's Tree Care Specialists","121 N 27th St, San Jose, CA 95116",http://andersonstreecare.com,4085835058,info@andersonstreecare.com,4.4,11,,,,,605,4,584,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/AndersonsTreeCare/,,,,,"Tree service",google,1,0,0,8532244
,"4th of July Tree Service","Serving theSan Jose Area",https://www.4thofjulytreeservice.com,8315859922,,4.5,22,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree Service,Stump Removal &amp; Grinding,Weed Control Service",yellowpages,1,0,0,95534858
