status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"Arbor Tree Care","6250 Stanley Ave S, Seattle, WA 98108",https://www.treeservicesseattlewa.com/,2062011214,,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/Arbor-Tree-Care-1528483027451908/timeline,https://twitter.com/tsseattlewa,,,,,bing,1,0,0,8527511
,"Chop Chop Tree","2702 6th Ave S, Seattle, WA 98134",http://www.treeservicesinseattle.com,2066298020,,,,,,,,,,3,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/Chop-Chop-Tree-414276882112887/,https://twitter.com/Tree_Seattle,,,,"Tree Service",yellowpages,1,0,0,141087335
New,"Bellevue Tree Service","Private Address in Seattle, WA",https://www.treeservicebellevue.com/,2065351497,,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,,bing,1,0,0,560083381
,"Olympic Mountains Tree Service","4744 41st Ave SW, Seattle, Wa 98116",https://www.treeremovalwestseattle.com/,2062031396,support@tcpacompliance.co,5,16,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://connect.facebook.net/en_US/fbevents.js,,,,,,bing,1,0,0,242920289
,"Tree People Tree Care","903 N 128th St, Seattle, WA 98133",https://www.treepeoplenw.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,2068534538,info@treepeoplenw.com,4.9,28,,,,,,,,1,1,1,0,0,0,0,1,1,1,,,,,,"Tree service in Seattle, Washington",google-places,1,0,0,8527506
,"Adalid Treewalker Services","Serving theSeattle Area",https://www.tree-service-seattle.info/,2534572035,emeraldtreeservice@comcast.net,4,9,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/pages/Emerald-Tree-Service-Inc/363661060323172,,,http://www.youtube.com/user/treeserviceinseattle,,"Tree Service",yellowpages,1,0,0,560079713
,"Stump Grinding Northwest, Inc.","Serving theSeattle Area",https://www.stumpgrindingnw.com,2063633144,info@stumpgrindingnw.com,5,224,,,,,,,112,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/stumpgrindingnorthwest,,https://www.linkedin.com/company/stump-grinding-northwest-llc,,https://www.instagram.com/stumpgrindingnw/,"Tree Service,Landscape Contractors,General Contractors",yellowpages,1,0,0,381357516
,"Star Tree Service","3919 Ray Nash Dr NW, Gig Harbor, WA 98335",https://www.startreeservice.net,2538538733,star@startreeservice.net,4.9,107,3.7,15,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Tree Services",yelp,1,0,0,96081644
,"Sound Tree Care","3057 S 146th St, SeaTac, WA 98168",https://www.soundtreecarellc.com/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-listing,2064867790,info@soundtreecarellc.com,4.8,149,,,,,78,,104,1,1,0,1,0,0,0,0,1,0,https://facebook.com/soundtreecarellc,,,https://www.youtube.com/@soundtreecare1932/videos,https://instagram.com/soundtreecare,"Tree service in SeaTac, Washington",google-places,1,0,0,518847371
New,"Seattle Tree Professionals","4716 7th Ave NE, Seattle, WA",https://www.seattletreeprofessionals.com/,4256869894,seattletreeprofessionals@gmail.com,5,9,,,,,,,,1,1,0,0,0,0,0,0,1,0,http://www.facebook.com/2008/fbml,,,,http://www.instagram.com/seattletreeprofessionals,,bing,1,0,0,560083300
,"Seattle Tree Care","4035 23rd Ave W, Seattle, WA 98199",http://seattletreecare.org,2068096159,info@seattletreecare.org,4.9,459,,,,,396,2,,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/SeaTreeCare,,https://www.linkedin.com/company/seattletreecare/,https://www.youtube.com/channel/UC_Mrv3c1RG_dHP3QXQi6HyQ,https://www.instagram.com/seattletreecare/,"Tree service",google,1,1,0,8527516
,"Ron’s Stump Removal & Tree Service","301 Mcclellan St SE Tenino, WA 98589",https://www.ronstreeservicellc.com,3602435924,stumper86@aol.com,,,4.4,14,,,429,81,452,1,1,1,1,0,0,0,1,1,0,https://www.facebook.com/Rons-Stump-Removal-Tree-Service-LLC-1642180912703136,,,,,"Tree Services,Crane Services",yelp,1,0,0,96080267
,"Rock Solid Landscapes","3300 NE 55th St, Seattle, WA 98105",https://www.rocksolidlandscapes.com,2065237625,info@rocksolidlandscapes.com,5,22,,,,,,,,1,1,0,0,0,0,0,0,1,0,http://www.facebook.com/2008/fbml,,https://www.linkedin.com/company/rock-solid-landscapes-llc,,,"Tree Service,Landscape Contractors,Landscape Designers & Consultants",yellowpages,1,0,0,103820241
,"Richard's Tree Care","6905 12th Ave NE, Seattle, WA 98115",https://www.richardstreecare.com/contact.php,2063353476,richardstreecare@aol.com,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,facebook.com/richardstreecare/,,,,,"Tree Service,Arborists,Mulches",yellowpages,1,0,0,141086519
,"Rainier Tree Company","Port Orchard, WA 98366",https://www.rainiertreecompany.com,3605357989,rainiertreecompany@gmail.com,5,12,,,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,,"Tree Services",yelp,1,0,0,96081184
