status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"Tucson Tree Trimming","Tucson, AZ 85705",https://www.tucsontreetrimming.pro,5208661101,,,,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Tree Services",yelp,1,0,0,96088726
,"Trees ""R"" Us LLC",,https://www.treesrusaz.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_term=website-link,,info@treesrusaz.com,4.8,89,,,,,148,,,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/treesrusaz,,,,,,google-places,1,0,0,8557478
,"Danny Young LLC","4890 W Camino De La Amapola, Tucson, AZ 85745",https://www.treeservicetucsonarizona.com/,5204034731,landscaping@dannyyoungllc.com,5,1,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Landscaper in Tucson Mountains, Arizona",google-places,1,0,0,415024734
,"Transformed Trees and Landscaping","Tucson, AZ 85710",https://www.transformedtreesandlandscaping.com,5204451080,transformedtrees1@gmail.com,4.9,81,5,10,,,236,,335,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/transformedtreesandlandscaping/,,,,,"Landscaping,Irrigation,Tree Services",yelp,1,0,0,96085348
,"This & That Contracting Services","Tucson, AZ 85710",https://www.thisandthatcontracting.com,5206680837,thisandthatcontractingservices@gmail.com,,,,,,,197,,227,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/This-That-Handyman-Services-LLC-102921348715908/,,,,https://www.instagram.com/p/CQcuZYhBVCr/?utm_medium=copy_link,"Handyman,TV Mounting,Tree Services",yelp,1,0,0,96084913
,Spreaders,"Tucson, AZ 85719",https://www.spreaderstucson.com,5204486376,,,,5,1,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Landscaping,Junk Removal & Hauling,Masonry/Concrete",yelp,1,0,0,96090109
,"Spearpoint Landscaping","Tucson, AZ 85710",https://www.spearpointlandscaping.com,5203904314,spearpoint2@gmail.com,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,https://www.youtube.com/channel/UCsmbGKW08S_IbRDVdekd2uQ,,"Landscaping,Tree Services,Irrigation",yelp,1,0,0,96089969
,"Skyline Landscape & Maintenance","Tucson, AZ 85705",https://www.skylinelandscapeaz.com,5204253901,,5,3,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree Services",yelp,1,0,0,96084631
,"R.O. Landscape & Tree Service, LLC","3465 E Kleindale Rd, Tucson, AZ 85716",https://www.rolstreeservice.com/,5203203697,contact@rolstreeservice.com,4.7,47,,,,,215,,255,1,1,0,0,0,0,0,1,1,0,https://facebook.com/ROlandscapeandtreeservice/,,,https://youtube.com/channel/UCKV6zkEKTNfN79n_mBgkP1g,,,bing,1,0,0,246290913
,"Rillito Nursery & Garden Center","6303 N La Cholla Blvd Tucson, AZ 85741",https://www.rillitonursery.com,5205750995,retail@rillitonursery.com,4.6,294,3.5,41,,,1964,401,2100,1,1,0,0,0,0,0,1,1,1,https://facebook.com/134961769863187,https://twitter.com/intent/tweet?text=https%3A%2F%2Fwww.facebook.com%2F134961769863187_1178751670919824,https://www.linkedin.com/shareArticle?mini=true&url=https%3A%2F%2Fwww.facebook.com%2F134961769863187_1178751670919824&title=%09Seed%20potatoes%20have%20arrived%21%20Now%20is%20the%20perfect%20time%20to%20plant%20for%20early%20summer%20potato%20harvest%21%,,https://www.instagram.com/rillitonursery/,"Nurseries & Gardening,Landscaping",yelp,1,0,0,96089209
,"Purchase Green Artificial Grass","3781 N Hwy Dr Ste 103 Tucson, AZ 85705",https://www.purchasegreen.com/locations/tucson-az/,5203465091,info@purchasegreen.com,,,5,1,,,1422,80,,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/PurchaseGreen,https://twitter.com/PurchaseGreen,,https://www.youtube.com/user/PurchaseGreen/,https://www.instagram.com/purchase_green/,"Landscaping,Landscape Architects or Designers,Artificial Turf",yelp,1,0,0,96088550
,"Oro Valley Tree Service","Serving theTucson Area",https://www.orovalleytreeservice.com,5202007739,,,,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree Service",yellowpages,0,0,0,96086371
,"Horticulture Unlimited","3237 N Richey Blvd Tucson, AZ 85716",https://www.horticultureunlimited.com,5203214678,info@horticultureunlimited.com,4.6,95,3.4,27,,,931,18,959,1,1,1,1,0,0,0,1,1,1,https://www.facebook.com/HorticultureUnlimitedInc,https://twitter.com/HorticultureAZ,,,https://www.instagram.com/horticultureunlimited/,"Landscaping,Tree Services,Irrigation",yelp,1,0,0,96089056
,"Boulder World Inc","3465 E Kleindale Rd, Tucson, AZ 85716",https://www.gstatic.com/images/branding/product/1x/googleg_48dp.png,5203266387,,5,1,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Tree Service",yellowpages,1,0,0,96086089
,"Sonoran Tree Service Tucson","8677 E Golf Links Rd, Tucson, AZ 85730",https://www.gstatic.com/images/branding/product/1x/googleg_48dp.png,5202105150,,1,1,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Tree service in Tucson, Arizona",google-places,1,0,0,561892487
,"Danny's Tree Service","Serving theTucson Area",https://www.gstatic.com/images/branding/product/1x/googleg_48dp.png,5209090047,,5,1,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Tree Service,Stump Removal &amp; Grinding",yellowpages,1,0,0,96086003
,"Sonoran Tree Service","6061 E Broadway Blvd, Tucson, AZ 85711",http://business.site,5202105155,,3,2,,,,,,,,1,1,1,1,0,0,0,0,1,0,https://www.facebook.com/GoogleSmallBiz/,https://twitter.com/Googlesmallbiz/,https://www.linkedin.com/company/_manworks,https://www.youtube.com/watch?v=-MId593uOSQ&feature=youtu.be,,"Tree service",google,1,0,0,8557676
,"Flame Tree Initiative","5630 E Shadow View Ct, Tucson, AZ 85750",https://www.flametreeinitiative.org/contact,5202700817,admin@flametreeinitiative.org,,,,,,,3440,2,3500,1,1,0,0,0,0,0,1,1,0,,https://twitter.com/FlameTreeMalawi,,https://www.youtube.com/channel/UC_GI7ZAct1-aL4wfYVkIW6g,,"Tree Service",yellowpages,1,0,0,96085866
,"Eunique Desert Landscaping","Tucson, AZ 85743",https://www.euniquedesertlandscaping.com,5202892939,euniquedesertlandscaping@yahoo.com,,,5,3,,,,,317,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/Eunique-Desert-Landscaping-310018156582681/,,,,,"Irrigation,Landscaping,Tree Services",yelp,1,0,0,96088168
,"E.C. Landscape & Excavation","Tucson, AZ 85704",https://www.eclandscapeexcavation.com,5209996026,eclandscapeexcavation@gmail.com,,,4.6,37,,,588941,,,1,1,0,0,0,0,0,1,1,0,,,,,https://www.instagram.com/e.c.landscapeexcavation,"Landscaping,Excavation Services,Masonry/Concrete",yelp,1,0,0,96084482
,"Desert Rain Landscaping","Oro Valley, AZ 85704",https://www.desertrainservices.com,5209297246,info@desertrainservices.com,5,5,5,2,,,11,,,1,1,0,0,0,0,0,1,1,0,http://www.facebook.com/2008/fbml,,,,https://instagram.com/desertrainservices,"Landscaping,Tree Services,Irrigation",yelp,1,0,0,96088723
,"Casa Modelo Landscaping","Tucson, AZ 85746",https://www.casamodelolandscaping.com,5203129903,,3.6,7,4.5,12,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Lawn Services,Tree Services",yelp,1,0,0,96087962
,"BrightView Landscapes","5075 S Swan Rd, Tucson, AZ 85706",https://www.brightview.com/local/tucson-az/landscape-services,5205711575,brightviewsupport@brightview.com,3.3,41,,,,,21372,249,24000,1,1,1,0,0,0,0,1,1,0,https://www.facebook.com/BrightView,https://twitter.com/brightview,https://www.linkedin.com/company/brightview-landscape,https://www.youtube.com/c/brightview,,"Landscaper in Pima County, Arizona",google-places,1,0,0,445985015
,"Beycon Yard Solution","Tucson, AZ 85730",https://www.beyconyardsolutions.com,5209122416,beyconllc@gmail.com,5,4,5,2,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,https://www.instagram.com/beyconyardsolutions/,"Landscaping,Irrigation,Tree Services",yelp,1,0,0,96084629
,"Bartlett Tree Experts - Tucson","2035 E 14th St Tucson, AZ 85719",https://www.bartlett.com/regionSetup.cfm/?utm_source=yelp&utm_medium=yelp_cpc&campaign=yelp_listing,5206289699,lfeilmeier@bartlett.com,4.6,24,4.7,20,,,,,,1,1,0,0,0,0,0,1,1,1,http://www.facebook.com/pages/Bartlett-Tree-Experts/128790543841,http://twitter.com/BartlettTreeExp,https://www.linkedin.com/company/bartlett-tree-experts,https://www.youtube.com/user/BartlettTreeExperts,https://www.instagram.com/lifeatbartlett/?hl=en/,"Tree Services",yelp,1,0,0,96084622
,"Bartlett Tree Experts","2035 E 14th St, Tucson, AZ 85719",https://www.bartlett.com/locations/Tucson-AZ.cfm,5206289699,bfletcher@bartlett.com,4.7,35,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://connect.facebook.net/en_US/fbevents.js,http://twitter.com/BartlettTreeExp,https://www.linkedin.com/company/bartlett-tree-experts,https://www.youtube.com/user/BartlettTreeExperts,https://www.instagram.com/lifeatbartlett/?hl=en/,"Tree service in Tucson, Arizona",google-places,1,0,0,8557435
,"Bartlett Tree Experts","2035 E 14th St, Tucson, AZ 85719",https://www.bartlett.com/locations/tucson-az.cfm,5206289699,tucsonoffice@bartlett.com,4.7,35,,,,,264,5,280,1,1,0,0,0,0,0,1,1,1,,,https://www.linkedin.com/company/bartlett-tree-experts,,,,bing,1,0,0,246291586
,"AZ Tree and Landscaping","3381 E Michigan St, Tucson, AZ 85714",http://aztree.com/,5207901505,contact@aztree.com,4.6,16,,,,,302,,306,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/Aztree3381/,https://twitter.com/Walcottronald,,,,"Tree service in Pima County, Arizona",google-places,1,0,0,485062173
