status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"""Xylem Tree Experts ""","208 E Plume St Ste 250, Norfolk, VA 23510",https://www.xylemtree.com/,7576278873,xylemtreeexperts@xylemtree.com,2.9,121,,,,,3535,41,,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/XylemTreeExperts,http://twitter.com/xylemtree,https://www.linkedin.com/company/xylem-tree-experts-inc,,https://www.instagram.com/xylemtreeexperts/?utm_medium=copy_link,"Tree services",bing,1,0,0,96092102
,"Second Nature Landscaping","2133-126 Upton Dr, Virginia Beach, VA 23454",https://www.weknowgrass.org/,7574302911,secondnaturelandscaping@hotmail.com,5,1,,,,,402,3,,1,1,0,0,0,0,0,1,1,0,https://business.facebook.com/weknowgrassva/,,,,,"Landscaper in Virginia Beach, Virginia",google-places,1,0,0,27979604
,"Walt’s Tree & Stump Removal","109 Bell Hill Dr, Yorktown, VA 23692",https://www.waltstreeandstump.com,7575739124,waltstreeandstump@gmail.com,4.9,166,4.9,7,,,278,2,282,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/waltstreeandstump,,,https://www.youtube.com/user/WaltsTreeVideos,,"Tree Services,Crane Services,Damage Restoration",yelp,1,0,0,96088637
,"Virginia Beach Tree Service Pros","1254 Bells Rd, Virginia Beach, VA 23454",https://www.virginiabeachtreeservicepros.com,7573371350,4e96981b496940b0ae168c44aaf2756f.protect@withheldforprivacy.com,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree Service",yellowpages,1,0,0,96085788
,VBTREEFELLING,"1037 Five Forks Rd, Virginia Beach, VA 23455",http://vbtreefelling.com,7573506500,felledvb@gmail.com,5,1,,,,,,,,1,0,0,0,0,0,0,1,1,1,,,,,,"Tree service",google,1,0,0,96092932
,"Triton Tree Service","Services Available In:, Virginia Beach, VA 23451",https://www.tritontreeservice.com/,7578316273,info@tritontreeservice.com,4.2,10,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree services",bing,1,0,0,8668450
,"Lone Tree Printing Inc","4617 Virginia Beach Blvd, Virginia Beach, VA 23462",https://www.thehappyprinters.com,7574739977,support@thehappyprinters.com,,,,,,,589,,,0,1,0,0,0,0,0,1,1,0,http://www.facebook.com/pages/Spectrum-Printing-Home-of-the-Happy-Printers/100765105311,http://twitter.com/TheHappyPrinter,https://www.linkedin.com/in/spectrum-printing-and-marketing-07264617/,https://www.youtube.com/watch?v=KdK7d7vVL_U,,"Tree Service",yellowpages,1,0,0,96085911
,"Tarzan Tree Service","Serving theVirginia Beach Area",https://www.tarzantreevb.com,7572041390,tarzantree@hotmail.com,4.4,32,,,4.5,49,446,6,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/tarzantreevb/,,,https://www.youtube.com/watch?list=PLIVXpAQoeIciznp61ACQvZ5m3bg5fghmQ&v=Zaw5OWeu_ug&embeds_referring_euri=https%3A%2F%2Fwww.tarzantreevb.com%2F&source_ve_path=MjM4NTE&feature=emb_title,,"Tree Service,Arborists,Stump Removal &amp; Grinding",yellowpages,1,0,0,96086883
New,"Tarzan Tree Service","Private Address in Virginia Beach, VA",https://www.tarzantreevb.com/,7572041390,a.domino@tarzantreevb.com,,,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/tarzantreevb/,,,https://www.youtube.com/watch?list=PLIVXpAQoeIciznp61ACQvZ5m3bg5fghmQ&v=Zaw5OWeu_ug&embeds_referring_euri=https%3A%2F%2Fwww.tarzantreevb.com%2F&source_ve_path=MjM4NTE&feature=emb_title,,,bing,1,0,0,562871239
,"Sweat Brothers Tree Surgery","838 W 45th St, Norfolk, VA 23508",http://sweatbrotherstreeservice.com,7574891969,sweatbrothers3@yahoo.com,4.7,40,,,,,,,,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/login.php?skip_api_login=1&amp,https://twitter.com/login?redirect_after_login=%2Fhome%3Fstatus%3Dhttp%3A%2F%2Fwww.sweatbrotherstreeservice.com%2F,https://www.linkedin.com/start/join?session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fsharing%2Fshare-offsite%3Fmini%3Dtrue%26url%3Dhttp%3A%2F%2Fwww.sweatbrotherstreeservice.com%2F,,,"Tree service",google,1,0,0,8669602
,"Scott Lanes Tree Service","1117 Chesslawn Cir E, Chesapeake, VA 23320",https://www.scottlanestreesrv.com/,7576958733,scottlane100@yahoo.com,4.2,43,,,,,176,7,185,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/profile.php?id=100057359563918,,,,,"Tree service in Chesapeake, Virginia",google-places,1,0,0,34864937
,"Pro Tree Service","404 West Ct, Virginia Beach, Va 23454",https://www.protreeservice.net/,7573398342,,4.7,35,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree services",bing,1,0,0,96091905
New,"Poor Folks Tree Service, Inc.","101 South First Colonial Rd, Virginia Beach, VA 23454",https://www.poorfolkstree.com/,7573632662,admin@poorfolkstree.com,4.1,78,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://facebook.com/104758199268996,,,,,,bing,1,0,0,562871176
,"Poor Folks Tree Service","101 S First Colonial Rd Ste 102 Virginia Beach, VA 23454",https://www.poorfolkstree.com,7573632662,poorfolkstree@hotmail.com,3.8,56,3.6,17,,,,,,1,1,0,0,0,0,0,1,1,0,https://facebook.com/104758199268996,,,,,"Tree Services",yelp,1,0,0,96085772
,"MT’s Landscaping and Tree Removal","Chesapeake, VA 23324",https://www.mtslandscapingandtree.com,7573592758,marcusterrell94@gmail.com,3.7,3,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Gardeners,Tree Services,Lawn Services",yelp,1,0,0,96090815
,"Lawn Doctor of Virginia Beach","568 Central Dr Unit 102 Virginia Beach, VA 23454",https://www.lawndoctor.com/virginiabeach-va,7574364965,customerservice@lawndoctor.com,4.6,94,2,7,,,295,4,,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/plugins/video.php?href=https%3A%2F%2Fwww.facebook.com%2Flawndoctorvirginiabeach%2Fvideos%2F1965811250411743%2F&amp,https://twitter.com/LawnDoctor,,https://www.youtube.com/user/LawnDoctor,http://www.instagram.com/lawndoctorinc,"Pest Control,Tree Services,Lawn Services",yelp,1,0,0,96089820
,"Kono Tree Care","512 Lake Havasu Dr, Virginia Beach, VA 23454",https://www.konotreecare.com,7572024788,konotreecare@gmail.com,,,,,5,20,145,6,199,1,1,1,0,0,0,0,1,1,0,https://facebook.com/konotreecare757,,,,,"Tree Service",yellowpages,1,0,0,96086451
,"Jack Frost Landscapes & Garden Center","3168 Holland Rd Virginia Beach, VA 23453",https://www.jackfrostgardens.com,7573684477,info@jackfrostgardens.com,4.1,115,3.3,16,,,1138,266,1200,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/JackFrostGardens,,,,https://www.instagram.com/jackfrostgardens/?hl=en,"Nurseries & Gardening,Landscaping,Landscape Architects or Designers",yelp,1,0,0,96090728
,Greensward,"900 Commonwealth Pl Ste 200-333 Virginia Beach, VA 23464",https://www.greenswardsolutions.com,7572969480,info@greenswardsolutions.com,,,5,1,,,,,,1,1,0,0,0,0,0,0,1,0,,https://twitter.com/Greenswardturf,http://linkedin.com/company/greensward-solutions,https://www.youtube.com/@greenswardsolutions,https://www.instagram.com/greenswardsolutions/,"Lawn Services",yelp,1,0,0,96091031
,"Green Collar Lawn Care Service","3500 Virginia Beach Blvd Ste 420 Virginia Beach, VA 23452",https://www.greencollarlawn.com,7576180081,info@greencollarlawn.com,4.3,12,4.8,4,,,325,64,322,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/greencollarlawn,,,,,"Landscaping,Landscape Architects or Designers,Masonry/Concrete",yelp,1,0,0,96090225
,"Extra Mile Lawn Care","5511 Stewart Dr, Virginia Beach, VA 23464",https://www.extramilelawncare.com,7573837474,info@extramilelawncare.com,4.5,37,3.7,6,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Lawn Services,Gutter Services,Tree Services",yelp,1,0,0,96091024
,"Elite Tree Service","2424 Castleton Commerce Way, Virginia Beach, VA 23456",http://www.elitetreeserviceva.com/,7576189766,elitetreeservicevb@yahoo.com,4.8,52,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://m.facebook.com/p/Elite-Tree-Service-Professionals-100087220993913/,,,,,"Tree service in Virginia Beach, Virginia",google-places,1,0,0,34866261
New,"DeForest Tree Service","3764 North Landng Rd, Virginia Beach, VA 23456",https://www.deforesttree.com/,7575531864,deforestrees@gmail.com,4.3,54,,,,,,,,1,1,0,0,0,0,0,0,1,0,https://facebook.com/virginia.beach.tree.service,,,,,,bing,1,0,0,562870986
,"Bubba's Tree Experts","1209 Gunn Hall Dr, Virginia Beach, VA 23454",https://www.cityof.com/va/virginia-beach/bubbas-tree-experts-389966,7572277645,staff@cityof.com,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.cityof.com%2Fva%2Fvirginia-beach%2Fbubbas-tree-experts-389966,,http://www.linkedin.com/shareArticle?mini=true&url=https%3A%2F%2Fwww.cityof.com%2Fva%2Fvirginia-beach%2Fbubbas-tree-experts-389966&title=Tree%20Service%20in%20Virginia%20Beach%2C%20VA%20%7C%20Bubba%27s%20Tree%20Experts,https://www.youtube.com/user/cityofcom,,"Tree Service",yellowpages,1,0,0,96086148
,"Chesapeake Tree Guys","741 Tallahassee Dr, Chesapeake, VA 23322",https://chesapeaketreeguys.com/,7579063717,chesapeaketreeguys@gmail.com,5,25,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree service in Chesapeake, Virginia",google-places,1,0,0,8669318
,"Chesapeake Tree Company","1545 Crossways Blvd Ste 250, Chesapeake, VA 23320",https://www.chesapeaketowingcompany.com,7575205075,pw-1345a3e579695f7fa2ec16c7196cc973@privacyguardian.org,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,,https://twitter.com/,,,,"Tree Service",yellowpages,1,0,0,96087030
,"Chesapeake Mowing & Landscape","Chesapeake, VA 23322",https://www.chesapeakemowingandlandscape.com,7579012799,cml@chesapeakemowingandlandscape.com,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,http://www.facebook.com/2008/fbml,,,,,"Lawn Services",yelp,1,0,0,96090732
,"Bushwackers Two","Newport News, VA 23601",https://www.bushwackerstwo.com,7572693244,,,,5,1,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree Services",yelp,1,0,0,96089124
,"Bishops Tree Service Inc.","3419 Virginia Beach Blvd, Virginia Beach, VA 23452",https://www.bishopstreeserviceinc.net/,7574982636,,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/BishopsTreeService/,,,,,,bing,1,0,0,96091707
,"Bishops Tree Service","3419 Virginia Beach Blvd, Virginia Beach, VA 23452",https://www.bishopstreeserviceinc.net,7573943174,,,,4.7,29,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree Services",yelp,1,0,0,96085619
,"Bayview Tree Service","31 Bayview Dr, Poquoson, VA 23662",https://www.bayviewtree.com,7578486501,sales@bayviewtree.com,5,108,5,3,,,,,,1,1,0,0,0,0,0,0,1,1,http://www.facebook.com/BayviewTree,,,,http://instagram.com/bayviewtreeservice/,"Tree Services",yelp,1,0,0,96090084
,"Bay Tree Care",,http://baytreecarevb.com,7578053633,,5,108,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree service",google,1,0,0,8668587
,"Bartlett Tree Experts - Williamsburg","8979 Pocahontas Trail, Unit B, Williamsburg, VA 23185",https://www.bartlett.com/locations/Williamsburg-VA.cfm/?utm_source=yelp&utm_medium=yelp_cpc&campaign=yelp_listing,7578565300,lfeilmeier@bartlett.com,4.6,17,3.4,5,,,9385,,,1,1,0,0,0,0,0,1,1,1,http://www.facebook.com/pages/Bartlett-Tree-Experts/128790543841,http://twitter.com/BartlettTreeExp,https://www.linkedin.com/company/bartlett-tree-experts,https://www.youtube.com/user/BartlettTreeExperts,https://www.instagram.com/lifeatbartlett/?hl=en/,"Tree Services",yelp,1,0,0,96088952
,"Bartlett Tree Experts","3835A Holland Blvd, Chesapeake, VA 23323",http://bartlett.com,7579691069,bfletcher@bartlett.com,4.8,39,,,,,8808,,11634,1,0,0,0,0,0,0,0,1,0,,,,,,"Tree service",google,1,0,0,8670253
,"Bartlett Tree Experts","3835A Holland Blvd, Chesapeake, VA 23323",https://www.bartlett.com/locations/chesapeake-va.cfm,7579691069,jheizer@bartlett.com,4.8,39,,,,,9591,,11000,1,0,0,0,0,0,0,0,1,0,,,,,,"Tree service in Chesapeake, Virginia",google-places,1,0,0,34859326
,"Aubrey's Tree Service & Landscaping","630 Carter Rd, Chesapeake, VA 23322",https://www.aubreyslandscaping.com/,7576211468,office@aubreyslandscaping.com,4.8,278,,,,,891,,927,0,0,0,0,0,0,0,0,1,0,,,,,,"Landscaper in Chesapeake, Virginia",google-places,1,0,0,28730397
,Art-is-Tree,"Virginia Beach, VA 23456",https://www.artistreeva.com,7573195131,artistreeofvirginia@gmail.com,,,3.8,9,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree Services",yelp,1,0,0,96088656
,"Tarzan Tree Service LLC","Serving theVirginia Beach Area",http://www.Tarzantreevb.com,7572041390,info@cheeksinsurance.com,4.4,32,,,4.5,49,445,6,,0,0,0,0,0,0,0,1,1,1,https://www.facebook.com/tarzantreevb/,,,https://www.youtube.com/watch?list=PLIVXpAQoeIciznp61ACQvZ5m3bg5fghmQ&v=Zaw5OWeu_ug&embeds_referring_euri=https%3A%2F%2Fwww.tarzantreevb.com%2F&source_ve_path=MjM4NTE&feature=emb_title,,"Tree Service",yellowpages,1,0,0,8668239
New,"Tarzan Tree Service LLC","Private Address in Virginia-Beach, VA",https://www.angi.com/companylist/us/va/virginia-beach/tarzan-tree-service-reviews-6255617.htm,9487775103,info@federico-angi.com,4.3,35,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,,bing,1,0,0,562871189
New,"All Out Tree and Stump Removal","1912 Clifton Bridge Dr, Virginia Beach, VA 23456-7820",https://www.allouttree.com/,7572661610,allouttreeremoval@gmail.com,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/allouttreeandstump,,,,,,bing,1,0,0,562871255
,"AJ'S TREE REMOVAL","464 Investors Pl Suite 204G, Virginia Beach, VA 23452",https://www.ajstreeremovalva.com/,7579064493,djgreen@ajstreeremoval.com,4.9,44,,,,,,,,1,1,1,1,0,0,0,1,1,0,https://facebook.com/ajstreeremoval,,,https://www.youtube.com/@ajstreeremoval/videos,https://instagram.com/ajstreeremoval,"Tree service in Virginia Beach, Virginia",google-places,1,0,0,8668659
,"Affordable Tree Service & Firewood","Chesapeake, VA 23322",https://www.affordabletreeservice757.com,7574692088,affordabletreeservice757@gmail.com,,,5,2,,,162,,408,1,0,0,0,0,0,0,0,0,0,https://www.facebook.com/107275258946242,,,,https://www.instagram.com/affordabletreeservice757,"Tree Services,Firewood",yelp,1,0,0,96088424
New,"Absolute Tree Surgeons LLC","1140 Stockleybridge Dr, Chesapeake, VA 23322",https://www.absolutetreesurgeons.com/,7577351128,brent@absolutetreesurgeons.com,4.9,241,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree service in Chesapeake, Virginia",google-places,1,0,0,562871420
,"The Whole 9 Tree Service","1317 Kempsville Rd, Chesapeake, VA 23320",http://whole9treeservice.com,7573765019,trevor@whole9treeservice.com,4.9,122,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/VirginiaTreeService,,https://www.linkedin.com/company/the-whole-9-tree-service/,https://www.youtube.com/@Whole9treeservice,,"Tree service",google,1,0,0,8669389
New,"Virginia Beach Tree Removal Services","3877 Holland Rd #508, Virginia Beach, VA 23452",http://virginiabeachtreeremovalservices.com,7578046808,,,,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Tree service",google,1,0,0,562871751
,"Tree Works llc","Virginia Beach, VA 23454",https://vatreework.wixsite.com/treeworksllc,7572015662,,4.5,71,2.2,10,,,,,,0,1,0,0,0,0,0,1,1,0,,,,,,"Tree Services",yelp,1,0,0,96088807
,"Tree Works, LLC","740A Hillwell Rd, Chesapeake, VA 23322",http://treeworksva.com,7576926094,office@treeworksva.com,4.5,98,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/Treeworksllc/,,,,,"Tree service",google,1,0,0,96092595
,"Tree Work","Virginia Beach, VA 23454",https://treeworksva.com,7576926094,vatreework@gmail.com,,,,,,,,,,1,0,0,0,0,0,0,1,1,1,,,,,,"Tree Service",yellowpages,1,0,0,96086082
New,"Tree Trimming Richmond","3700 Forest Glen Rd, Virginia Beach, VA 23452",https://treetrimmingrichmond.com/,8045333943,contact@treetrimmingrichmond.com,,,,,,,,,,1,0,0,0,0,0,0,1,1,1,,,,,,,google-places,1,0,0,562873462
,"Tree Tops Tree Service","1230 Cedar Mill Square, Chesapeake, VA 23320",https://treetopstreeservice.com,7578220262,nrobert@broofa.com,5,115,5,1,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,,"Tree Services",yelp,1,0,0,96089121
,"Tree Tops Tree Service","1230 Cedar Mill Square, Chesapeake, VA 23320",http://treetopstreeservice.com,7578220262,treetopstreeservices@gmail.com,5,158,,,,,,,,1,1,0,0,0,0,0,0,1,0,http://www.facebook.com/2008/fbml,,,,https://www.instagram.com/treetopstreeservice/,"Tree service",google,1,0,0,96092395
,"Tree Stump Removal and Excavation","1160 W Ocean View Ave APT B, Norfolk, VA 23503",http://treestumpremoval.us,7578999700,jamiespc1@gmail.com,5,51,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/TheGreenStumpGrinders?mibextid=LQQJ4d,,,https://www.youtube.com/@stumpgrinders5084,https://www.instagram.com/jamiespc1/,"Tree service",google,1,0,0,552548622
,"Trees R Us","113 Hunter Rd, Newport News, VA 23601",https://treesrusincva.com,7575940500,,4.4,48,3.9,9,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,"Tree Services",yelp,1,0,0,96088427
New,"A Tree M.D. LLC","308 Dauphin Ln, Virginia Beach, VA 23452",https://treeservicevb.com/,7574046302,jayvanhouten12@icloud.com,5,39,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/atreemd/,,,,,"Tree service in Virginia Beach, Virginia",google-places,1,0,0,562871065
,"A Top To Bottom Tree & Lawn","1122 Priddy Ln, Virginia Beach, VA 23455",https://tree-trimming-virginia-beach.com/,7572329197,atoptobottom@yahoo.com,5,15,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/atoptobottomtreeservice/,,,https://www.youtube.com/watch?v=M_JitE9y4uA&feature=youtu.be,,"Tree service in Virginia Beach, Virginia",google-places,1,0,0,8669270
,"Tracstar Tree Experts","3220 Cedarville Rd, Chesapeake, VA 23322",https://tracstartrees.com,7575156933,info@tracstartrees.com,5,17,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Tree Services",yelp,1,0,0,96089673
,"Tony's Tree Service","Serving theVirginia Beach Area",https://tonystreeservice-treeservice.business.site/,7573333353,,5,21,,,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,,"Tree Service",yellowpages,1,0,0,96086828
,"Tk’s Landscaping","3000 Reflections Way, Virginia Beach, VA 23452",https://tkslandscape.com/,7576489051,tknaub300@gmail.com,4.9,127,,,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,https://www.instagram.com/tkslandscapingandlawncare/,"Landscaper in Virginia Beach, Virginia",google-places,1,0,0,435665960
,"Tidewater Trees - Sales & Transplant","5700 Fitztown Rd, Virginia Beach, VA 23457",http://tidewatertrees.com,7574266002,info@tidewatertrees.com,5,8,,,,,217,11,227,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/tidewatertree,,,,,"Tree farm",google,1,0,0,96092962
,"Sun Valley Tree Experts","2697 International Pkwy Ste 100, Virginia Beach, VA 23452",https://sunvalleytreeexperts.com/,7574968733,contact@sunvalleytreeexperts.com,4,5,,,,,,,,1,1,1,0,0,0,0,1,1,1,,,,,,"Tree services",bing,1,0,0,96091870
,"Specialty Tree Service","3500 Virginia Beach Blvd #202, Virginia Beach, VA 23452",http://specialtytreeservicevb.com,7577393888,,,,,,,,,,,1,0,0,0,0,0,0,1,1,1,https://www.facebook.com/specialtytreeservicevb,,https://www.linkedin.com/in/mike-boggan-98840911,,,"Tree service",google,1,0,0,96092765
,"Simmons Tree Care","26 McDonald Rd, Hampton, VA 23669",http://simmonstreecare.com,7572560059,info@simmonstreecare.com,4.5,31,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/Simmons-Tree-Care-1924592611146652/,,,,,"Tree service",google,1,0,0,14837493
,"Shane’s Tree Service","Bolling Rd, Portsmouth, VA 23701",https://shanes-tree-service.business.site/,7578168505,,5,2,1,1,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,,"Tree Services",yelp,1,0,0,96090352
,"Seabreeze Landscaping","120 Pinewood Rd, Virginia Beach, VA 23451",https://seabreezelandscapingva.com/,7572155598,info@seabreezelandscapingva.com,4.7,14,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/profile.php?id=61554273032579,,,https://www.youtube.com/@SeabreezeLandscaping,https://www.instagram.com/seabreezelandscaping/,"Landscaper in Virginia Beach, Virginia",google-places,1,0,0,35232539
,"Right Coast Landscapes","Virginia Beach, VA 23452",https://rightcoastlandscapesva.com,7577064110,,,,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Masonry/Concrete,Landscaping",yelp,1,0,0,96090906
,"Putnam Inc","Serving theVirginia Beach Area",https://putmantreeservicellc.com/,7573017011,,4.4,62,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,"Tree Service",yellowpages,1,0,0,8668373
New,"Putman tree service","1740 Virginia Beach Blvd, Virginia Beach, VA 23454",https://putmantree.com/,7575753737,,,,,,,,,,,1,0,0,0,0,0,0,1,1,0,,,,,,,google-places,1,0,0,562873531
