status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"Your Way Tree Service Inc.","12318 Branford St, Sun Valley, CA 91352",http://yourwaytreeserviceinc.com,8188822335,support@marketing360.com,4.5,28,,,,,2663,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Tree service",google,1,0,0,34829804
,"Your Way Tree Service","Tarzana, CA 91335",https://yourwaytreeserviceinc.com,8187219855,,4.6,22,4.6,478,,,2659,2,2500,1,1,1,0,0,0,0,1,1,1,https://www.facebook.com/YourWayTreeServiceInc/,,,https://www.youtube.com/@yourwaytreeserviceinc.8266,https://www.instagram.com/yourwaytreeservice/,"Tree Services",yelp,1,0,0,95225492
,"West Hollywood Tree Preservation","1044 N Harper Ave, West Hollywood, CA 90046",https://www.whtps.org,3236508187,whtpstrees@gmail.com,,,,,,,,,456,1,0,0,0,0,0,0,1,1,0,http://www.facebook.com/WestHollywoodTreePreservationSociety,,,,,"Tree Service",yellowpages,1,0,0,115801484
,"West Hollywood Tree Service",,https://www.westhollywoodtreeservice.com/,4242846723,,5,4,,,,,,,,1,1,0,0,0,0,0,1,1,1,http://www.facebook.com/West-Hollywood-Tree-Service-102684661646756,,,https://www.youtube.com/channel/UCDx2GtRS62V3K8jCAj-qPjQ,,,google-places,1,0,0,34837248
,"L.A. Certified Portable Welding","Los Angeles, CA 91343",https://www.weldingla.com/,2139096139,,5,2,5,12,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"General Contractors,Metal Fabricators",yelp,1,0,0,34836467
,"Tree Trimming 4 Less","Sylmar, CA 91342",https://www.tt4l.com/contact-us,8182130061,prof.treetrimming4less@gmail.com,,,4.9,69,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,"Tree Services",yelp,1,0,0,110565659
,"TSL Tree Service & Landscaping","22416 5th St, Unit 2, Santa Clarita, CA 91321",https://www.tsltreeservice.com,6617559530,franciscogarcialandscaping@gmail.com,,,5,12,,,,,,1,1,1,0,0,0,0,0,1,0,https://facebook.com/profile.php?id=100095256751022,,,,,"Tree Services,Landscaping",yelp,1,0,0,243471868
,"Trees'N Things","9354 Oso Ave, Chatsworth, CA 91311",https://www.treesnthings.com,8182012566,office@treesnthings.com,4.7,38,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Landscape Contractors,Landscaping & Lawn Services,Arborists",yellowpages,1,0,0,103567364
,"Pasadena Tree Services","624 W Howard St, Pasadena, CA 91103",https://www.treeserviceslosangeles.com/pasadena/,6267901414,sales@treeserviceslosangeles.com,,,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree services",bing,1,0,0,238969489
,"Chop Chop Tree","339 E 58th St, Los Angeles, CA 90011",https://www.treeserviceinlosangelesca.com/,3232838990,,3,1,,,,,,6,,0,0,0,0,0,0,0,1,1,0,,,,,,"Tree service in Los Angeles, California",google-places,1,0,0,34837395
,"Premier Tree Removal Springfield Missouri",,https://www.treeremovalspringfieldmissouri.com/,4172588542,emailaddress@info.com,,,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,,google-places,1,0,0,8513513
