status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"Yellow Wagon Landscaping","682 Clark Ave Ridgefield, NJ 07657",https://yellowwagonlandscaping.com,2019450595,office@yellowwagonlandscaping.com,,,2.3,6,,,729,,774,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/YellowWagonLandscaping,https://twitter.com/yellowwagonllc,,,https://instagram.com/yellowwagonlandscaping,"Snow Removal,Landscaping,Landscape Architects or Designers",yelp,1,0,0,94600200
,"G&C Landscaping","Brooklyn, NY 11236",https://yc1385.wixsite.com/g-clandscaping,6466679127,,,,4.6,23,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Landscaping,Tree Services,Gardeners",yelp,1,0,0,282814086
,"WisdomTree, Inc.","250 West 34th St, 3rd Floor, New York, NY 10018",https://www.wisdomtree.com/,8669099473,sbell@wisdomtree.com,3.7,3,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,,bing,1,0,0,462742907
,"USA Pro Tree Service LLC","40 Harrison Ave, West Orange, NJ 07052",http://usaprotreeservice.com,9733368360,usaprotreeservice86@gmail.com,4.3,36,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Tree service",google,1,0,0,275079159
,"Urban Garden Center","1640 Park Ave New York, NY 10035",http://www.urbangardennyc.com,6468723991,info@urbangardennyc.com,4.3,267,3.6,121,4.5,145,6686,1858,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/pages/Urban-Garden-Center-LLC/146506495394715,https://twitter.com/UrbanGardenNYC,,http://www.youtube.com/watch?v=hpG3LFLB66Q,https://www.instagram.com/urbangardencenter/,"Nurseries & Gardening,Landscaping,Christmas Trees",yelp,1,0,0,94600113
,"Urban Arborists Inc","522 State St, Brooklyn, NY 11217",https://www.urbanarb.com/contact-1,7182540818,connie@urbanarb.com,5,10,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,https://www.linkedin.com/company/urban-arborists-inc,,https://www.instagram.com/urban_arborists/,"Tree Service,Arborists,Lawn Maintenance",yellowpages,1,0,0,107941688
,"Arbor Tree Care","42 Robin Rd, Staten Island, NY 10305",https://www.treeservicestatenislandny.com/,9178096867,carlore20166@outlook.com,,,,,,,,,,0,0,0,0,0,0,0,1,1,0,,,,,,,google-places,1,0,0,8513582
,"Chop Chop Tree","681 Bay St, Staten Island, NY 10304",https://www.treeservicesstatenislandny.com/,7182159227,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,,,,,,,google-places,1,0,0,316184904
,"Mauricio's Tree Service","Peekskill, NY, United States, New York",https://www.treeservicesnewyork.com/,9144036535,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,,bing,1,0,0,94600102
,"A and H Tree Service","116 Roosevelt Ave, Bergenfield, NJ 07621",https://www.treeservicebergencountynj.com,5513364769,aandhtree@hotmail.com,4.9,228,4,23,,,221,,252,1,1,1,0,0,0,0,1,1,0,http://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.treeservicebergencountynj.com,,,,,"Tree Services,Crane Services",yelp,1,0,0,94599963
,"Big Apple Tree Service","277 Park Ave, New York, NY 10172",http://treeremoval-newyorkcity.com,5169089149,853c0c8b547f4f438185f38da7415869.protect@withheldforprivacy.com,4.1,21,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree service",google,1,0,0,94600156
,"Big Apple Tree Service","277 Park Ave New York, NY 10172",https://www.treeremoval-newyorkcity.com,5169089149,support@tcpacompliance.co,4.1,20,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree Services",yelp,1,0,0,94600563
,"Tree King of Long Island","Levittown, NY 11756",https://www.treekingofli.com,5162262325,,,,4.6,49,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,"Tree Services",yelp,0,0,0,316184360
,"Tree Boss Tree Service","Dover, NJ 07801",https://www.treebosstreeservice.com,9736202755,thebosstreeservice@gmail.com,,,5,1,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/Tree-Boss-Tree-Service-101756159310902,,,,https://www.instagram.com/treebosstreeservice/,"Tree Services,Crane Services",yelp,1,0,0,94600321
,"Sweat Brothers Tree Surgery","838 W 45th St, New York, NY 10036",https://www.sweatbrotherstreeservice.com/copy-of-removal,7574891969,sweatbrothers3@yahoo.com,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,https://www.facebook.com/login.php?skip_api_login=1&amp,https://twitter.com/login?redirect_after_login=%2Fhome%3Fstatus%3Dhttp%3A%2F%2Fwww.sweatbrotherstreeservice.com%2F,https://www.linkedin.com/start/join?session_redirect=https%3A%2F%2Fwww.linkedin.com%2Fsharing%2Fshare-offsite%3Fmini%3Dtrue%26url%3Dhttp%3A%2F%2Fwww.sweatbrotherstreeservice.com%2F,,,"Tree Service",yellowpages,1,0,0,94599946
,"Suffolk County Tree Service","342 Ivy Ave, Westbury, NY 11590",https://www.suffolkcountytreeservice.com/,6312312010,info@clearviewtree.com,,,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/Clearview-Tree-Service-10150116756435315/,http://twitter.com/clearviewtree,https://www.linkedin.com/company/11528694/admin/overview/,https://www.youtube.com/user/Clearviewtree,https://www.instagram.com/clearviewtree/,,bing,1,0,0,497214863
,"Scottie’s Tree Service","4288 Arthur Kill Rd Staten Island, NY 10309",https://www.scottiestreeservice.net,6465295248,scottytree21@aol.com,4.8,33,4.4,21,,,395,2,420,1,1,0,0,0,0,0,1,1,0,https://facebook.com/scottiestreeservice,https://twitter.com/ScottiesTreeNY,,,https://instagram.com/scottietree,"Tree Services",yelp,1,0,0,94600135
,"SavATree - Tree Service & Lawn Care","531 Fayette Ave, Mamaroneck, NY 10543",http://savatree.com,9147771399,mgalvin@savatree.com,4.8,100,,,,,,,,1,1,1,0,0,0,0,0,1,0,https://www.facebook.com/SavATreeHQ/,,https://www.linkedin.com/company/savatree/,https://www.youtube.com/user/naturestrees,https://www.instagram.com/savatree_official/,"Tree service",google,1,0,0,94600488
,"Roots &","Brooklyn, NY 11231",https://www.rootsand.com,9175000448,,,,5,1,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Tree Services",yelp,1,0,0,94600757
,"Proven Tree Service Staten Island","1855 Victory Blvd #1A, Staten Island, NY 10314",http://proventreeservice.com,6467413445,proventreeservice.com@domainsbyproxy.com,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,,,,,,"Tree service",google,1,0,0,453515631
,"Prestige Tree Service, LLC",,https://www.prestigetreeservice.net/,9735775600,,5,28,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/Prestige-Tree-Service-LLC-104730028529139,,,,,,google-places,1,0,0,94604540
,"Potanovic & Sons Professional Tree Care","32 Fullerton Ave, Yonkers, NY 10704",https://www.potanovicandsons.net/contact/3183957,19149696943,potanovicandsons.net@contactprivacy.com,,,,,,,,,,1,1,0,0,0,0,0,1,1,0,facebook.net/en_US/sdk.js#xfbml=1&version=v2.8&appId=1822295708016537,,,,,"Tree services in Yonkers, United States",bing,1,0,0,453514933
