status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"Tree Pro","212 Market St, Belle Vernon, PA 15012",https://www.treepro.com/,7249296097,sales@treepro.com,,,,,,,593,,633,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/TreeProtectors,,,https://www.youtube.com/channel/UCDHMOIQrUByXIBd6BfxO_Ig,,,bing,1,0,0,538239727
New,"Timber & Beyond Tree Service","5095 Spring Rd, Shermans Dale, PA 17090",https://www.timberbeyond.com/tree-service,7179513705,,5,23,,,,,,,,1,1,1,0,0,0,0,1,1,0,https://connect.facebook.net/en_US/fbevents.js,,https://www.linkedin.com/company/timber-and-beyond-tree-service/?viewAsMember=true,,,"Tree service in Shermansdale, Pennsylvania",google-places,1,0,0,553375097
,"Sunny Slope Tree Service","157 N Westview Dr, Gordonville, PA 17529",https://www.sunnyslopetreeservice.com/,7177680114,sunnyslopetreesvc@gmail.com,4.9,127,,,,,,,,1,0,1,0,0,0,0,1,1,1,,,,,,"Tree service in Lancaster County, Pennsylvania",google-places,1,0,0,86211113
,"SavATree - Tree Service & Lawn Care","1955 Pioneer Rd, Huntingdon Valley, PA 19006",http://savatree.com,2156827704,mgalvin@savatree.com,4.8,296,,,,,4276,106,4900,1,1,1,1,0,0,0,0,1,0,https://www.facebook.com/SavATreeHQ/,,https://www.linkedin.com/company/savatree/,https://www.youtube.com/user/naturestrees,https://www.instagram.com/savatree_official/,"Tree service",google,1,0,0,93674716
New,"Sam The Tree Guy LLC","714 Georgetown Rd, Ronks, PA 17572",http://samthetreeguy.com,7175480886,info@samthetreeguy.com,4.4,41,,,,,,,,1,1,0,0,0,0,0,1,1,0,,,,,,"Tree service",google,1,0,0,553375522
New,"Saar's Tree Service, LLC","Private Address in Lock Haven, PA",https://www.saarstreeservice.com/,5707692482,saarstreeservicellc@gmail.com,4.9,35,,,,,,,,1,1,0,0,0,0,0,0,1,0,https://facebook.com/Saars-Tree-Service-160972457257162/,,,,,,bing,1,0,0,553376282
,"Rubio's Tree Services & Landscaping","1156 Old Eagle Rd, Lancaster, PA 17601",http://rubiostree.com,7174593281,rubiostreesvc@aol.com,4.9,129,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree service",google,1,0,0,86212941
,"Professional Stump Removal","742 Walnut Spring Ln, State College, PA 16801",http://prostumpremoval.com/,8148839444,contact@prostumpremoval.com,5,89,,,,,,,,1,1,1,0,0,0,0,0,1,0,,,,https://www.youtube.com/channel/UCHnpViRUB_ZuqQnOfhnLyVQ,,"Tree service in State College, Pennsylvania",google-places,1,0,0,521710565
,"Martin's Tree Service Inc.","644 Pine Hill Rd, Hummelstown, PA 17036",https://www.martinstrees.com/,7175662990,brian@martinstrees.com,5,39,,,,,,,,1,1,0,0,0,0,0,0,1,0,https://facebook.com/Martins-Tree-Service/100046353017825/,,,,,"Tree service in Dauphin County, Pennsylvania",google-places,1,0,0,343958452
,"Long's Tree Service","5059 School Creek Ln, Annville, PA 17003",https://www.longstreeservice.net/,7178670400,longstreellc@gmail.com,4.9,88,,,,,,,282,1,1,0,0,0,0,0,0,1,0,https://facebook.com/people/Longs-Tree-Service/100094494992353/,,,,,"Tree service in Lebanon County, Pennsylvania",google-places,1,0,0,86213356
