status,name,address,website,phone,email,google_rating,google_reviews,yelp_rating,yelp_reviews,fb_rating,fb_reviews,fb_likes,fb_checkins,fb_followers,is_title,is_description,is_adwords,is_facebook_ads,is_twitter_ads,is_linkedin_ads,is_bing_ads,is_robot,is_ssl,is_wordpress,fb_url,twitter_url,linkedin_url,youtube_url,instagram_url,category,search_type,crawler_status,women_owned,black_owned,business_id
,"Yanez Tree Service Experts","886 College Pkwy, Rockville, MD 20850",https://yaneztreeserviceexperts.com/,3015039806,,4.9,96,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/yanez.tree.service/,,,,https://www.instagram.com/yanez_treeexperts/,"Tree service in Rockville, Maryland",google-places,1,0,0,317049733
New,"Washington DC Tree Service Pros","840 1st St NE, Washington, DC 20002",https://www.washingtondctreeservicepros.com/,3014505395,30b37f53720c4ae8ac169148640c3a4a.protect@withheldforprivacy.com,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,,,,,,,bing,1,0,0,553976793
,"Grant Brothers Tree Service","13603 Ellendale Dr, Chantilly, VA 20151",https://www.virginiatreecare.com/,7036598733,order@grantbrosva.com,5,118,,,,,128,,205,1,1,1,1,0,0,0,1,1,1,https://www.facebook.com/grantbrosva,,,,,"Tree service in Chantilly, Virginia",google-places,1,0,0,346155209
,"Virginia Tree Care & Landscaping","5902 Accomac St, Springfield, VA 22150",https://www.vatreecarelandscaping.com/,7033142603,info@virginiatreecarelandscaping.com,5,20,,,,,,,12,1,1,0,0,0,0,0,1,1,0,https://facebook.com/Vatreecareylandscaping/,,,,https://instagram.com/vatreecareylandscaping/,"Landscaper in Springfield, Virginia",google-places,1,0,0,399815055
New,"Frasier Tree Service Arlington","1408 N Fillmore St, Arlington, VA 22201-3819",https://www.treeservicealexandriava.com/treeservicearlington.html,7033978862,pw-4beac8010e037a32d94b11a1e3431cb6@privacyguardian.org,,,,,,,,,,1,1,0,0,0,0,0,0,1,0,https://www.facebook.com/pg/Trinity-Tree-Service-Alexandria-1151182605050468/about/,http://twitter.com/share?url=https://www.treeservicealexandriava.com/1/post/2025/01/dangerous-lean-expert-black-oak-removal-protects-alexandria-property.html,https://www.linkedin.com/company/trinity-tree-service-alexandria/about/,,,,bing,1,0,0,553976777
New,"American Tree Farm System","2000 M St NW Ste 550, Washington, DC 20036",https://www.treefarmsystem.org/,2027653660,info@forestfoundation.org,5,1,,,,,,,,1,1,1,0,0,0,0,1,1,0,http://www.facebook.com/AmericanTreeFarmSystem,,,,,,bing,1,0,0,553976788
,"The Heart of Wood Tree Service","1100 N Kenilworth St #2, Arlington, VA 22205",https://www.theheartofwood.com/,5714820996,theheartofwood@gmail.com,4.9,52,,,,,,,,1,1,0,0,0,0,0,1,1,1,,,,,,"Tree service in Arlington, Virginia",google-places,1,0,0,34731893
New,"Washington Dc Tree Removal Experts","Private Address in Washington, DC",https://www.takomatree.com/,2029329450,,4.9,56,,,,,,,,1,1,0,0,0,0,0,1,1,1,https://www.facebook.com/TakomaTree,https://twitter.com/TakomaTreeExper,,https://www.youtube.com/@TakomaTreeExpertsLLC,https://www.instagram.com/takomatreeexperts,,bing,1,0,0,553976818
,"SavATree - Tree Service & Lawn Care","14628 Southlawn Ln, Rockville, MD 20850",https://www.savatree.com/tree-service-md,3015451712,experts@savatree.com,4.7,170,,,,,4266,105,4900,1,1,1,1,0,0,0,0,1,0,https://www.facebook.com/SavATreeHQ/,,https://www.linkedin.com/company/savatree/,https://www.youtube.com/user/naturestrees,https://www.instagram.com/savatree_official/,"Tree service in Montgomery County, Maryland",google-places,1,0,0,75769003
,SavATree,"5330 Port Royal Rd Suite A, Springfield, VA 22151",http://savatree.com,5712822500,mgalvin@savatree.com,4.9,272,,,,,4259,105,4900,1,1,1,1,0,0,0,0,1,0,https://www.facebook.com/SavATreeHQ/,,https://www.linkedin.com/company/savatree/,https://www.youtube.com/user/naturestrees,https://www.instagram.com/savatree_official/,"Tree service",google,1,0,0,128342960
